id,legislative_session:number,start_date,item:title,item:number,motion:title,
1001,1,2010-11-15,program,3,hlasování o programu,
1002,1,2010-11-15,VOLBA STAROSTY,4,"Zastupitelé zvolení na kandidátce ODS a nezávislí navrhují, aby starostou obce byl zvolen ing. Vladimír Dráb",
1003,1,2010-11-15,VOLBA MÍSTOSTAROSTY A ČLENŮ RADY OBCE,5,"Starosta do návrhové komise navrhl zvolit předsedu p. Haase, členy: p. Bečka a pí. Pilátová.",
1004,1,2010-11-15,VOLBA MÍSTOSTAROSTY A ČLENŮ RADY OBCE,5,"Na funkci místostarosty obce navrhl, aby byl zvolen pan František Haas",
1005,1,2010-11-15,VOLBA MÍSTOSTAROSTY A ČLENŮ RADY OBCE,5,"Dráb navrhl, aby členy rady byli zvoleni: ing. Doksanský, p. Votava a pí. Cábová.",
1006,1,2010-11-15,ZŘÍZENÍ KONTROLNÍHO A FINANČNÍHO VÝBORU,6,"Dráb navrhl, aby předsedkyní kontrolního výboru byla zvolena pí. Miloslava Vostrá",
1007,1,2010-11-15,ZŘÍZENÍ KONTROLNÍHO A FINANČNÍHO VÝBORU,6,"Dráb navrhl, aby předsedkyní kontrolního výboru byla zvolena pí. Miloslava VostráZa členy kontrolního výboru starosta navrhl paní Marii Cábovou a pana Jiřího Sochnu. ",
1008,1,2010-11-15,ZŘÍZENÍ KONTROLNÍHO A FINANČNÍHO VÝBORU,6,Do funkce předsedy finančního výboru navrhl ing. Dráb paní ing. Moniku Randákovou,
1009,1,2010-11-15,ZŘÍZENÍ KONTROLNÍHO A FINANČNÍHO VÝBORU,6,"Za členy finančního výboru starosta navrhl pana Josefa Havlíka, paní Naděždu Cernošovou a paní Štěpánku Pilátovou",
1010,1,2010-11-15,SCHVÁLENÍ JEDNACÍHO ŘÁDU ZASTUPITELSTVA,7,"Kdo souhlasí, s návrhem jednacího řádu",
1011,1,2010-11-15,různé,8,"starosta navrhl, aby odměny neuvolněným členům zastupitelstva byly oproti výši podle vládního nařízení sníženy o 15%",
1012,1,2010-11-15,různé,8,"Kdo souhlasí, s odkoupení bývalé prodejny Valdek za cenu do 3.200 tis. Kč?",
1013,1,2010-11-15,různé,8,"Starosta uvedl, že ve Velké Dobré má vzniknout experimentální spalovna plastových součástí z vozidel a pneumatik. Na internetu a obci je volně k dispozici dokumentace EIA- popsání vlivu na životní prostředí. Uvádí se max. zvýšení úmrtnosti obyvatel naší obce 3%. Předpokládáme negativní vliv na naší obec. Je vydáno stavební povolení, které obec napadne, neboť není vydáno v souladu se zákonem, starosta konzultoval s primátorem Kladna Jiránkem. Návrh stanoviska obce zastupitelé obdrželi. Kdo souhlasí s tím, abychom k uvedenému záměru vyslovili zásadní nesouhlas",
1014,1,2010-11-15,různé,8,Kdo souhlasí se zrušením územně plánovací smlouvy schválené na 19. zasedání ZQ,
1015,1,2010-11-15,různé,8,Kdo souhlasí se schválením nové územně plánovací smlouvy,
1016,1,2010-11-15,různé,8,"Navrhl určit do funkce zastupitele, ktetý bude spolupracovat s pořizovatelem ÚP, p. F. Haase.",
1017,1,2010-11-15,různé,8,Kdo souhlasí s pořízením auta pro mladé hasiče,
1018,1,2010-11-15,různé,8,Schválení výběrového řízení na výkon stavebního dozoru na akci „Dětské hřiště a in-line dráha na Háj,
1019,1,2010-11-15,různé,8,Souhlas se žádostí o dotace z FRQM a ROP,
1020,1,2010-11-15,různé,8,"souhlas se Smlouvou na zpracování SEA k územnímu plánu, která bude uzavřena s ing. Horákovou",
1021,1,2010-11-15,usnesení a závěr,10,Kdo souhlasí s navrženým usnesením,
2001,2,2010-12-13,program,1,hlasování o programu,
2002,2,2010-12-13,ZMENA ROZPOČTU OBCE PRO R. 2010,3,"Kdo souhlasí, s návrhem 3. změny rozpočtu na rok 2010?",
2003,2,2010-12-13,ROZPOČET OBCE NA ROK 2011,4,Kdo souhlasí s návrhem rozpočtu obce na rok 2011,
2004,2,2010-12-13,různé,7,Kdo souhlasí s uzavřením smlouvy S ING. ČERVENÝM NA ZPRACOVÁNÍ STUDIE NA REKONSTRUKCI PRODEJNY VALDEK,
2005,2,2010-12-13,různé,7,Kdo souhlasí s návrhem na složení inventarizačních komisí?,
2006,2,2010-12-13,různé,7,Kdo souhlasí s návrhem ing. Dolejšové na pojištění prodejny,
2007,2,2010-12-13,různé,7,Kdo souhlasí s uzavřením smlouvy o pronájmu prodejny Valdek,
2008,2,2010-12-13,různé,7,Kdo souhlasí s vypsáním výběrového řízení NA PRACOVNICI OBECNÍHO ÚŘADU,
2009,2,2010-12-13,usnesení a závěr,9,Kdo souhlasí s navrženým usnesením,
3001,3,2011-04-04,program,1,hlasování o programu,
3002,3,2011-04-04,VÝSLEDEK HOSPODAŘENÍ OBCE K 31.12.2010,3,"Ředitelka MŠ žádá o převedení hospodářského výsledku za rok 2010 ve výši 10.634,56 Kč do rezervního fondu školy",
3003,3,2011-04-04,NÁVRH 1. ZMĚNY ROZPOČTU OBCE NA ROK 2011,4,"Kdo souhlasí, s návrhem 1. změny rozpočtu na rok 2011",
3004,3,2011-04-04,ROZPOČTOVÝ VÝHLED DO R. 2014,5,Kdo souhlasí s rozpočtovým výhledem do r. 2014,
3005,3,2011-04-04,PROGRAM VÝSTAVBY OBCE. STAV PRŮBĚHU JEHO PLNĚNÍ A PODÁNÍ ŽÁDOSTÍ O DOTACE,6,"Kdo souhlasí, s návrhem programu výstavby obce",
3006,3,2011-04-04,různé,7,"Kdo souhlasí, s návrhem na uzavření smlouvy o zřízení věc, břemene s CEZ v ul. V Jezerech?",
3007,3,2011-04-04,různé,7,"Kdo souhlasí, s návrhem na uzavření smlouvy o zřízení věc, břemene s RWE v ul. Zahradní?",
3008,3,2011-04-04,různé,7,"Kdo souhlasí, s výsledky výběr, řízení a financováním PD na jednotlivé stavební akce",
