vote_event_id,voter_id,option,group_id,
1001,2010-532126-1-53-4,yes,ods_party,
1001,2010-532126-1-47-1,yes,kscm_party,
1001,2010-532126-1-902-3,yes,nk_party,
1001,2010-532126-1-901-3,yes,nk_party,
1001,2010-532126-1-53-2,yes,ods_party,
1001,2010-532126-1-53-1,yes,ods_party,
1001,2010-532126-1-901-1,yes,nk_party,
1001,2010-532126-1-53-3,yes,ods_party,
1001,2010-532126-1-53-7,yes,ods_party,
1001,2010-532126-1-902-1,yes,nk_party,
1001,2010-532126-1-53-6,yes,ods_party,
1001,2010-532126-1-53-5,yes,ods_party,
1001,2010-532126-1-53-8,yes,ods_party,
1001,2010-532126-1-47-10,yes,kscm_party,
1001,2010-532126-1-901-2,yes,nk_party,
1001,2010-532126-1-47-4,abstain,kscm_party,
1002,2010-532126-1-53-4,yes,ods_party,
1002,2010-532126-1-47-1,yes,kscm_party,
1002,2010-532126-1-902-3,yes,nk_party,
1002,2010-532126-1-901-3,yes,nk_party,
1002,2010-532126-1-53-2,yes,ods_party,
1002,2010-532126-1-53-1,abstain,ods_party,
1002,2010-532126-1-901-1,yes,nk_party,
1002,2010-532126-1-53-3,yes,ods_party,
1002,2010-532126-1-53-7,yes,ods_party,
1002,2010-532126-1-902-1,yes,nk_party,
1002,2010-532126-1-53-6,yes,ods_party,
1002,2010-532126-1-53-5,yes,ods_party,
1002,2010-532126-1-53-8,yes,ods_party,
1002,2010-532126-1-47-10,yes,kscm_party,
1002,2010-532126-1-901-2,yes,nk_party,
1002,2010-532126-1-47-4,abstain,kscm_party,
1003,2010-532126-1-53-4,yes,ods_party,
1003,2010-532126-1-47-1,yes,kscm_party,
1003,2010-532126-1-902-3,yes,nk_party,
1003,2010-532126-1-901-3,yes,nk_party,
1003,2010-532126-1-53-2,yes,ods_party,
1003,2010-532126-1-53-1,yes,ods_party,
1003,2010-532126-1-901-1,yes,nk_party,
1003,2010-532126-1-53-3,yes,ods_party,
1003,2010-532126-1-53-7,yes,ods_party,
1003,2010-532126-1-902-1,yes,nk_party,
1003,2010-532126-1-53-6,yes,ods_party,
1003,2010-532126-1-53-5,yes,ods_party,
1003,2010-532126-1-53-8,yes,ods_party,
1003,2010-532126-1-47-10,yes,kscm_party,
1003,2010-532126-1-901-2,yes,nk_party,
1003,2010-532126-1-47-4,abstain,kscm_party,
1004,2010-532126-1-53-4,yes,ods_party,
1004,2010-532126-1-47-1,yes,kscm_party,
1004,2010-532126-1-902-3,yes,nk_party,
1004,2010-532126-1-901-3,yes,nk_party,
1004,2010-532126-1-53-2,yes,ods_party,
1004,2010-532126-1-53-1,yes,ods_party,
1004,2010-532126-1-901-1,abstain,nk_party,
1004,2010-532126-1-53-3,yes,ods_party,
1004,2010-532126-1-53-7,yes,ods_party,
1004,2010-532126-1-902-1,yes,nk_party,
1004,2010-532126-1-53-6,yes,ods_party,
1004,2010-532126-1-53-5,yes,ods_party,
1004,2010-532126-1-53-8,yes,ods_party,
1004,2010-532126-1-47-10,yes,kscm_party,
1004,2010-532126-1-901-2,yes,nk_party,
1004,2010-532126-1-47-4,abstain,kscm_party,
1005,2010-532126-1-53-4,yes,ods_party,
1005,2010-532126-1-47-1,abstain,kscm_party,
1005,2010-532126-1-902-3,yes,nk_party,
1005,2010-532126-1-901-3,abstain,nk_party,
1005,2010-532126-1-53-2,yes,ods_party,
1005,2010-532126-1-53-1,yes,ods_party,
1005,2010-532126-1-901-1,yes,nk_party,
1005,2010-532126-1-53-3,yes,ods_party,
1005,2010-532126-1-53-7,yes,ods_party,
1005,2010-532126-1-902-1,yes,nk_party,
1005,2010-532126-1-53-6,yes,ods_party,
1005,2010-532126-1-53-5,yes,ods_party,
1005,2010-532126-1-53-8,yes,ods_party,
1005,2010-532126-1-47-10,yes,kscm_party,
1005,2010-532126-1-901-2,abstain,nk_party,
1005,2010-532126-1-47-4,abstain,kscm_party,
1006,2010-532126-1-53-4,yes,ods_party,
1006,2010-532126-1-47-1,yes,kscm_party,
1006,2010-532126-1-902-3,yes,nk_party,
1006,2010-532126-1-901-3,yes,nk_party,
1006,2010-532126-1-53-2,yes,ods_party,
1006,2010-532126-1-53-1,yes,ods_party,
1006,2010-532126-1-901-1,yes,nk_party,
1006,2010-532126-1-53-3,yes,ods_party,
1006,2010-532126-1-53-7,yes,ods_party,
