id,name,organization:party,organization:affiliation,organization:list,
2014-532126-1-901-6,BEČKA Bohumil,nk_party,bezpp_affiliation,901_list,
2014-532126-1-901-3,DOKSANSKÝ Miroslav Ing.,nk_party,bezpp_affiliation,901_list,
2014-532126-1-901-2,DOLEJŠOVÁ Kateřina Ing. Arch.,nk_party,bezpp_affiliation,901_list,
2014-532126-1-901-1,DRÁB Vladimír Ing.,nk_party,bezpp_affiliation,901_list,
2014-532126-1-902-1,HAAS František,nk_party,bezpp_affiliation,902_list,
2014-532126-1-902-7,HORNÍK Pavel,nk_party,bezpp_affiliation,902_list,
2014-532126-1-901-4,KOLRUSZ Jiří Ing.,nk_party,bezpp_affiliation,901_list,
2014-532126-1-901-7,KONEČNÁ Ilona MUDr.,nk_party,bezpp_affiliation,901_list,
2014-532126-1-901-8,PETÁK Jiří,nk_party,bezpp_affiliation,901_list,
2014-532126-1-901-10,PILÁTOVÁ Štěpánka,nk_party,bezpp_affiliation,901_list,
2014-532126-1-901-9,RANDÁKOVÁ Monika Ing. Ph.D.,nk_party,bezpp_affiliation,901_list,
2014-532126-1-47-2,SOCHNA Jiří,kscm_party,bezpp_affiliation,47_list,
2014-532126-1-901-5,STÁDNÍK Pavel,nk_party,bezpp_affiliation,901_list,
2014-532126-1-47-7,VOSTRÁ Miloslava Ing.,kscm_party,kscm_affiliation,47_list,
2014-532126-1-902-2,VOTAVA Tomáš,nk_party,bezpp_affiliation,902_list,
2014-532126-1-901-11,STŘELEČKOVÁ Eva,nk_party,bezpp_affiliation,901_list,
