"id","start_date","start_time","number","motion.title","result","legislative_session.id","legislative_session.number"
"zmb-z7-01/20141125-1-30758","25.11.2014","8:32:38",1," Bod è. 3 - ovìøovatelé zápisu Urèení ovìøovatelù zápisu a schválení programu ustavujícího zasedání Zastupitelstva mìsta Brna ","Pøijato",2862,1
"zmb-z7-01/20141125-2-30863","25.11.2014","8:34:24",2," Bod è. 3 - program - zaøazení bodu è. 17 Urèení ovìøovatelù zápisu a schválení programu ustavujícího zasedání Zastupitelstva mìsta Brna ","Pøijato",2862,1
"zmb-z7-01/20141125-3-30899","25.11.2014","8:34:59",3," Bod è. 3 - program - zaøazení bodu è. 18 Urèení ovìøovatelù zápisu a schválení programu ustavujícího zasedání Zastupitelstva mìsta Brna ","Pøijato",2862,1
"zmb-z7-01/20141125-4-30926","25.11.2014","8:35:26",4," Bod è. 3 - program Urèení ovìøovatelù zápisu a schválení programu ustavujícího zasedání Zastupitelstva mìsta Brna ","Pøijato",2862,1
"zmb-z7-01/20141125-5-31017","25.11.2014","8:36:57",5," Bod è. 4 Návrh stanovení poètu èlenù Rady mìsta Brna ","Pøijato",2862,1
"zmb-z7-01/20141125-6-31182","25.11.2014","8:39:42",6," Bod è. 5 Návrh zøízení vıborù Zastupitelstva mìsta Brna ve volebním období 2014-2018 ","Pøijato",2862,1
"zmb-z7-01/20141125-7-31212","25.11.2014","8:40:12",7," Bod è. 5 Poèet èlenù Finanèního vıboru ","Pøijato",2862,1
"zmb-z7-01/20141125-8-31240","25.11.2014","8:40:40",8," Bod è. 5 Poèet èlenù KOntrolního vıboru ","Pøijato",2862,1
"zmb-z7-01/20141125-9-31271","25.11.2014","8:41:12",9," Bod è. 5 Poèet èlenù Vıboru pro národnostní menšiny ","Pøijato",2862,1
"zmb-z7-01/20141125-10-32146","25.11.2014","8:55:46",10," Bod è. 6 - funkce dlouhodobì uvolnìného èlena Zastupitelstva mìsta Brna – èlena Rady mìsta Brna pro správu mìstskıch úèastí Návrh urèení funkcí, pro které budou èlenové Zastupitelstva mìsta Brna dlouhodobì uvolnìni ","Pøijato",2862,1
"zmb-z7-01/20141125-11-32174","25.11.2014","8:56:14",11," Bod è. 6 Návrh urèení funkcí, pro které budou èlenové Zastupitelstva mìsta Brna dlouhodobì uvolnìni ","Pøijato",2862,1
"zmb-z7-01/20141125-12-32363","25.11.2014","8:59:23",12," Bod è. 7 Návrh Volebního øádu pro volbu primátora, námìstkù primátora, dalších èlenù Rady mìsta Brna a pro volbu dalších dlouhodobì uvolnìnıch èlenù Zastupitelstva mìsta Brna Volební komise - Ides, Crha, Karasová, Hofmannová, Urubek ","Pøijato",2862,1
"zmb-z7-01/20141125-13-32395","25.11.2014","8:59:55",13," Bod è. 7 Návrh Volebního øádu pro volbu primátora, námìstkù primátora, dalších èlenù Rady mìsta Brna a pro volbu dalších dlouhodobì uvolnìnıch èlenù Zastupitelstva mìsta Brna ","Pøijato",2862,1
"zmb-z7-01/20141125-14-33244","25.11.2014","9:14:04",14," Bod è. 8 Volba primátora mìsta Brna - Ing. Petr Vokøál ","Pøijato",2862,1
"zmb-z7-01/20141125-15-34047","25.11.2014","9:27:27",15," Bod è. 9 Volba námìstkù primátora mìsta Brna - do funkce prvního námìstka primátora - Ing. Klára Liptáková ","Pøijato",2862,1
"zmb-z7-01/20141125-16-34156","25.11.2014","9:29:17",16," Bod è. 9 - opakované hlasování Volba námìstkù primátora mìsta Brna - do funkce prvního námìstka primátora - Ing. Klára Liptáková ","Pøijato",2862,1
"zmb-z7-01/20141125-17-34853","25.11.2014","9:40:53",17," Bod è. 9 Volba námìstkù primátora mìsta Brna - do funkce v poøadí druhého námìstka primátora - Richard Mrázek ","Pøijato",2862,1
"zmb-z7-01/20141125-18-35883","25.11.2014","9:58:03",18," Bod è. 9 Volba námìstkù primátora mìsta Brna - do funkce v poøadí tøetího námìstka primátora - Bc. Matìj Hollan ","Pøijato",2862,1
"zmb-z7-01/20141125-19-36668","25.11.2014","10:11:08",19," Bod è. 9 Volba námìstkù primátora mìsta Brna - do funkce v poøadí ètvrtého námìstka primátora - Mgr. Martin Ander, Ph.D. ","Pøijato",2862,1
"zmb-z7-01/20141125-20-38705","25.11.2014","10:45:05",20," Bod è. 10 Volba dalších èlenù Rady mìsta Brna - do funkce dlouhodobì uvolnìného èlena Zastupitelstva mìsta Brna – èlena Rady mìsta Brna pro správu mìstskıch úèastí - Bc. Tomáš Kratochvíl ","Pøijato",2862,1
"zmb-z7-01/20141125-21-39302","25.11.2014","10:55:02",21," Bod è. 10 Volba dalších èlenù Rady mìsta Brna - do funkce èlena Rady mìsta Brna - MUDr. Daniel Rychnovskı ","Pøijato",2862,1
"zmb-z7-01/20141125-22-40317","25.11.2014","11:11:57",22," Bod è. 10 Volba dalších èlenù Rady mìsta Brna - do funkce èlena Rady mìsta Brna - JUDr. Petra Rusòáková, Ph.D. ","Pøijato",2862,1
"zmb-z7-01/20141125-23-40842","25.11.2014","11:20:42",23," Bod è. 10 Volba dalších èlenù Rady mìsta Brna - do funkce èlena Rady mìsta Brna - Ing. Vít Beran ","Pøijato",2862,1
"zmb-z7-01/20141125-24-41332","25.11.2014","11:28:52",24," Bod è. 10 Volba dalších èlenù Rady mìsta Brna - do funkce èlena Rady mìsta Brna - Marek Janíèek ","Pøijato",2862,1
"zmb-z7-01/20141125-25-42142","25.11.2014","11:42:22",25," Bod è. 10 Volba dalších èlenù Rady mìsta Brna - do funkce èlena Rady mìsta Brna - Mgr. Jiøí Ulip ","Pøijato",2862,1
