"group:id","option","vote_event:id","voter:id"
"ANO 2011","Ano","zmb-z7-01/20141125-1-30758","Lubora Bednaříková"
"ANO 2011","Ano","zmb-z7-01/20141125-1-30758","Petr Bořecký"
"ANO 2011","Ano","zmb-z7-01/20141125-1-30758","Marek Janíček"
"ANO 2011","Ano","zmb-z7-01/20141125-1-30758","Karin Karasová"
"ANO 2011","Ano","zmb-z7-01/20141125-1-30758","Tomáš Kratochvíl"
"ANO 2011","Ano","zmb-z7-01/20141125-1-30758","Barbora Maťáková"
"ANO 2011","Ano","zmb-z7-01/20141125-1-30758","Richard Mrázek"
"ANO 2011","Ano","zmb-z7-01/20141125-1-30758","René Novotný"
"ANO 2011","Ano","zmb-z7-01/20141125-1-30758","Robert Plaga"
"ANO 2011","Ano","zmb-z7-01/20141125-1-30758","Petra Rusňáková"
"ANO 2011","Ano","zmb-z7-01/20141125-1-30758","Martin Schwab"
"ANO 2011","Ano","zmb-z7-01/20141125-1-30758","Pavel Staněk"
"ANO 2011","Ano","zmb-z7-01/20141125-1-30758","Petr Vokřál"
"ČSSD","Ano","zmb-z7-01/20141125-1-30758","Pavel Boleslav"
"ČSSD","Ano","zmb-z7-01/20141125-1-30758","Miloslav Humpolíček"
"ČSSD","Ano","zmb-z7-01/20141125-1-30758","Jiří Ides"
"ČSSD","Ano","zmb-z7-01/20141125-1-30758","Naděžda Křemečková"
"ČSSD","Ano","zmb-z7-01/20141125-1-30758","Jiří Novotný"
"ČSSD","Ano","zmb-z7-01/20141125-1-30758","Jiří Oliva"
"ČSSD","Ano","zmb-z7-01/20141125-1-30758","Roman Onderka"
"ČSSD","Ano","zmb-z7-01/20141125-1-30758","Oliver Pospíšil"
"ČSSD","Ano","zmb-z7-01/20141125-1-30758","Pavel Sázavský"
"ČSSD","Ano","zmb-z7-01/20141125-1-30758","Petr Šafařík"
"ČSSD","Ano","zmb-z7-01/20141125-1-30758","Vlastimil Žďárský"
"KDU-ČSL","Ano","zmb-z7-01/20141125-1-30758","Vít Beran"
"KDU-ČSL","Ano","zmb-z7-01/20141125-1-30758","Antonín Crha"
"KDU-ČSL","Ano","zmb-z7-01/20141125-1-30758","Petr Hladík"
"KDU-ČSL","Ano","zmb-z7-01/20141125-1-30758","Stanislav Juránek"
"KDU-ČSL","Ano","zmb-z7-01/20141125-1-30758","Klára Liptáková"
"KDU-ČSL","Ano","zmb-z7-01/20141125-1-30758","Daniel Rychnovský"
"KDU-ČSL","Ano","zmb-z7-01/20141125-1-30758","Jaroslav Suchý"
"KSČM","Ano","zmb-z7-01/20141125-1-30758","Daniel Borecký"
"KSČM","Ano","zmb-z7-01/20141125-1-30758","Jiří Hráček"
"KSČM","Ano","zmb-z7-01/20141125-1-30758","Martin Říha"
"KSČM","Ano","zmb-z7-01/20141125-1-30758","Helena Sýkorová"
"ODS","Ano","zmb-z7-01/20141125-1-30758","Šárka Cechová"
"ODS","Ano","zmb-z7-01/20141125-1-30758","Robert Kerndl"
"ODS","Ano","zmb-z7-01/20141125-1-30758","Petr Kratochvíl"
"ODS","Ano","zmb-z7-01/20141125-1-30758","Libor Šťástka"
"ODS","Ano","zmb-z7-01/20141125-1-30758","František Vižďa"
"SZ","Ano","zmb-z7-01/20141125-1-30758","Martin Ander"
"SZ","Ano","zmb-z7-01/20141125-1-30758","Jana Drápalová"
"SZ","Ano","zmb-z7-01/20141125-1-30758","Ivana Fajnorová"
"SZ","Ano","zmb-z7-01/20141125-1-30758","Mojmír Vlašín"
"TOP 09","Ano","zmb-z7-01/20141125-1-30758","Josef Drbal"
"TOP 09","Ano","zmb-z7-01/20141125-1-30758","Zdeňka Dubová"
"TOP 09","Ano","zmb-z7-01/20141125-1-30758","Jaroslav Kacer"
"TOP 09","Ano","zmb-z7-01/20141125-1-30758","Pavel Urubek"
"ŽTB","Ano","zmb-z7-01/20141125-1-30758","Martin Freund"
"ŽTB","Ano","zmb-z7-01/20141125-1-30758","Karla Hofmannová"
"ŽTB","Ano","zmb-z7-01/20141125-1-30758","Jan Hollan"
"ŽTB","Ano","zmb-z7-01/20141125-1-30758","Matěj Hollan"
"ŽTB","Ano","zmb-z7-01/20141125-1-30758","Hana Kašpaříková"
"ŽTB","Ano","zmb-z7-01/20141125-1-30758","Tomáš Koláčný"
"ŽTB","Ano","zmb-z7-01/20141125-1-30758","Jiří Ulip"
"ANO 2011","Ano","zmb-z7-01/20141125-10-32146","Lubora Bednaříková"
"ANO 2011","Ano","zmb-z7-01/20141125-10-32146","Petr Bořecký"
"ANO 2011","Ne","zmb-z7-01/20141125-10-32146","Marek Janíček"
"ANO 2011","Zdržel se","zmb-z7-01/20141125-10-32146","Karin Karasová"
"ANO 2011","Ne","zmb-z7-01/20141125-10-32146","Tomáš Kratochvíl"
"ANO 2011","Ano","zmb-z7-01/20141125-10-32146","Barbora Maťáková"
"ANO 2011","Ano","zmb-z7-01/20141125-10-32146","Richard Mrázek"
"ANO 2011","Ano","zmb-z7-01/20141125-10-32146","René Novotný"
"ANO 2011","Zdržel se","zmb-z7-01/20141125-10-32146","Robert Plaga"
"ANO 2011","Zdržel se","zmb-z7-01/20141125-10-32146","Petra Rusňáková"
"ANO 2011","Zdržel se","zmb-z7-01/20141125-10-32146","Martin Schwab"
"ANO 2011","Zdržel se","zmb-z7-01/20141125-10-32146","Pavel Staněk"
