id,classification_id,classification,name,
nk_party,party,Navrhující strana,Nezávislí kandidáti,
ods_party,party,Navrhující strana,Občanská demokratická strana,
cssd_party,party,Navrhující strana,Česká strana sociálně demokratická,
top-09_party,party,Navrhující strana,TOP 09,
bezpp_affiliation,affiliation,Stranická příslušnost,Bez politické příslušnosti,
top-09_affiliation,affiliation,Stranická příslušnost,TOP 09,
901_list,list,Kandidátní listina,listina nezávislých kandidátů,
53_list,list,Kandidátní listina,Občanská demokratická strana,
7_list,list,Kandidátní listina,Česká strana sociálně demokratická,
659_list,list,Kandidátní listina,Koalice "STAN" a TOP 09,
