id,legislative_session:number,start_date,item:title,item:number,motion:title,
1001,1,2010-11-15,,0,"Zastupitelstvo obce Čepí schvaluje následující program ustavujícího zasedání:1. Určení zapisovatele a dvou ověřovatelů zápisu ($ 95 odst. t zákona o obcích)2. Volba starosty a místostarosty obce Čepí- určení, které funkce budou členové zastupitelstva vykonávat jako dlouhodobě uvolnění($ 71 zákona o obcích)- volba starosty a místostarosty3. Zřízení výborů4. Rozhodnutí o odměnách za výkon funkcí neuvolněných členů zastupitelstva ($ 72 zákona oobcích)5. Diskuze6. Závěr",
1002,1,2010-11-15,Určení zapisovatele a dvou ověřovatelů zápisu,1,Zastupitelstvo obce Čepí určuje zapisovatelem sl. Lucii Pohorelcovou aověřovateli zápisu paní Miroslavu Pleskotovou a pana Jiřího Pekárka.,
1003,1,2010-11-15,"Volba starosty a místostrarosty obce Čepí -určení, které funkce budou členové zastupitelstva vykonávat jako dlouhodobě uvolněni($ 71 zákona o obcích)- volba starosty- volba místostarosty",2,"Zastupitelstvo obce Čepí v souladu s $ 84 odst. 2 písml. k) zákona o obcíchurčuje, že pro výkon funkce starosty obce bude člen zastupitelstva dlouhodobě uvolněn.",
1004,1,2010-11-15,"Volba starosty a místostrarosty obce Čepí -určení, které funkce budou členové zastupitelstva vykonávat jako dlouhodobě uvolněni($ 71 zákona o obcích)- volba starosty- volba místostarosty",2,Zastupitelstvo obce Čepí volí starostkou paní MVDr. Zuzanu Dvořákovou.,
1005,1,2010-11-15,"Volba starosty a místostrarosty obce Čepí -určení, které funkce budou členové zastupitelstva vykonávat jako dlouhodobě uvolněni($ 71 zákona o obcích)- volba starosty- volba místostarosty",2,Zastupitelstvo obce Čepí volí místostarostkou Lucii Pohorelcovou.,
1006,1,2010-11-15,Zřízení výborů-volba předsedy a členů finančního výboru-volba předsedy a členů kontrolního výboru-volba předsedv a členů stavebního výboru-volba předsedy a členů výboru pro kulturu a sport-vtilba předsedy a členů výboru pro obecní správu,3,Zastupitelstvo obce Čepí zřizuje členné.finanční výbor a kontrolní výbor. Obavýbory budou minimálně 5-ti členné.,
1007,1,2010-11-15,Zřízení výborů-volba předsedy a členů finančního výboru-volba předsedy a členů kontrolního výboru-volba předsedv a členů stavebního výboru-volba předsedy a členů výboru pro kulturu a sport-vtilba předsedy a členů výboru pro obecní správu,3,Zastupitelstvo obce Čepí volí předsedou finančního výboru pana Mgr. Roberta Ritschela.,
1008,1,2010-11-15,Zřízení výborů-volba předsedy a členů finančního výboru-volba předsedy a členů kontrolního výboru-volba předsedv a členů stavebního výboru-volba předsedy a členů výboru pro kulturu a sport-vtilba předsedy a členů výboru pro obecní správu,3,"Zastupitelstvo obce Čepí volí členy finančního výboru: Petra Černíková,Ing. Jana Jelínková, Edita Pekárková, Miroslav Suchý.",
1009,1,2010-11-15,Zřízení výborů-volba předsedy a členů finančního výboru-volba předsedy a členů kontrolního výboru-volba předsedv a členů stavebního výboru-volba předsedy a členů výboru pro kulturu a sport-vtilba předsedy a členů výboru pro obecní správu,3,"Zastupitelstvo obce Čepí volí předsedou kontrolního výtloru pana JanaPohorelce, st.",
1010,1,2010-11-15,Zřízení výborů-volba předsedy a členů finančního výboru-volba předsedy a členů kontrolního výboru-volba předsedv a členů stavebního výboru-volba předsedy a členů výboru pro kulturu a sport-vtilba předsedy a členů výboru pro obecní správu,3,"Zastupitelstvo obce Čepí volí členy kontrolního výboru: Marta Francová,Jana Surová, Jana Kořínková, Jitka Michková,Iva Čížková, Lenka Kadlecová.",
