id,name,organization:party,organization:affiliation,organization:list,
2010-581496-1-902-1,Bartošová Jitka Mgr.,nk_party,bezpp_affiliation,902_list,
2010-581496-1-904-3,Burýšek Zdeněk Mgr.,nk_party,bezpp_affiliation,904_list,
2010-581496-1-53-5,Křížová Eva MUDr.,ods_party,bezpp_affiliation,53_list,
2010-581496-1-901-1,Měšťan Ondřej Ing.,nk_party,bezpp_affiliation,901_list,
2010-581496-1-7-2,Regec Jozef,cssd_party,cssd_affiliation,7_list,
2010-581496-1-901-8,Sejbal Darek,nk_party,bezpp_affiliation,901_list,
2010-581496-1-1-6,Slavíčková Ludmila,kdu-csl_party,bezpp_affiliation,1_list,
2010-581496-1-47-1,Šabrňáková Naděžda Ing.,kscm_party,kscm_affiliation,47_list,
2010-581496-1-904-1,Virdzek František Ing.,nk_party,bezpp_affiliation,904_list,
2010-581496-1-903-1,Vladík Jiří,nk_party,bezpp_affiliation,903_list,
2010-581496-1-901-3,Zavřelová Petra Ing.,nk_party,bezpp_affiliation,901_list,
