id,legislative_session:number,start_date,item:title,item:number,motion:title,
1001,1,2014-11-06,"Určení ověřovatelů zápisu a zapisovatele, schválení programu",3,ZM schvaluje Ing. Miloše Bílého a Mgr. Martina Poděbradského ověřovateli zápisu.,
1002,1,2014-11-06,"Určení ověřovatelů zápisu a zapisovatele, schválení programu",3,"ZM schvaluje následující program ustavujícího zasedání:1. Zahájení2. Složení slibu členy zastupitelstva3. Určení ověřovatelů zápisu a zapisovatele, schválení programu4. Určení funkcí, pro které budou členové zastupitelstva uvolněni5. Schválení volebního řádu6. Volba volební komise7. Volba starosty městyse8. Volba místostarosty městyse9. Zřízení výborů zastupitelstva, určení počtu jejich členů a volba jejich předsedů10. Volba zástupce městyse ve „Svazku vodovodů a kanalizací“ měst a obcí11. Odměňování neuvolněných členů zastupitelstva",
1003,1,2014-11-06,"Určení funkcí, pro které budou členové zastupitelstva uvolněni",4,"ZM v souladu § 84 odst. 2 písm. k) zákona o obcích určuje, že pro výkon funkce starosty městyse",
1004,1,2014-11-06,Schválení volebního řádu,5,ZM schvaluje Volební řád Zastupitelstva městyse Černá Hora.,
1005,1,2014-11-06,Volba volební komise,6,"ZM schvaluje volební komisi ve složení JUDr. Pavel Hlaváček, Ing. Aleš Lukš a pan Jan Štrof.",
1006,1,2014-11-06,"Zřízení výborů zastupitelstva, určení počtu jejich členů a volba jejich předsedů",9,"Zastupitelstvo městyse Černá Hora zřizuje finanční výbor, stanovuje, že bude mít 3 členy a jeho předsedou volí pana Darka Sejbala.",
1007,1,2014-11-06,"Zřízení výborů zastupitelstva, určení počtu jejich členů a volba jejich předsedů",9,"Zastupitelstvo městyse Černá Hora zřizuje kontrolní výbor, stanovuje, že bude mít 3 členy a jeho předsedou volí Ing. Jaroslava Žáčka.",
1008,1,2014-11-06,"Zřízení výborů zastupitelstva, určení počtu jejich členů a volba jejich předsedů",9,"Zastupitelstvo městyse Černá Hora zřizuje výbor bytový a sociální, stanovuje, že bude mít 3 členy a jeho předsedou volí pana Františka Trtílka.",
1009,1,2014-11-06,"Zřízení výborů zastupitelstva, určení počtu jejich členů a volba jejich předsedů",9,"Zastupitelstvo městyse Černá Hora zřizuje výbor pro kulturu a sport, stanovuje, že bude mít 5 členů a jeho předsedou volí Ing. Františka Virdzeka.",
1010,1,2014-11-06,Volba zástupce městyse ve Svazku vodovodů a kanalizací měst a obcí,10,"Zastupitelstvo městyse Černá Hora pověřuje Ing. Ondřeje Měšťana zastupováním městyse Černá Hora ve „Svazku vodovodů a kanalizací“ měst a obcí se sídlem 17. listopadu 14, 680 19 Boskovice ve volebním období 2014 – 2018.",
1011,1,2014-11-06,Odměňování neuvolněných členů zastupitelstva,11,"Zastupitelstvo městyse Černá Hora schvaluje v souladu s nařízením vlády č. 37/2003 Sb., o odměnách za výkon funkce členům zastupitelstev, ve znění pozdějších předpisů, měsíční odměny poskytované za výkon jednotlivých funkcí neuvolněným členům ZM v této výši:- místostarostka 9.653 Kč,- předseda výboru ZM 1.300 Kč,- člen výboru ZM 1.060 Kč,- člen ZM bez dalších funkcí 540 Kčs tím, že při souběhu výkonu několika funkcí se odměna neuvolněnému členovi ZM poskytne pouze za výkon funkce, za niž náleží nejvyšší odměna a s tím, že odměny se budou poskytovat ode dne přijetí tohoto usnesení a v případě nového zvolení do funkce místostarosty, předsedy výboru nebo člena výboru ode dne zvolení do této funkce.",
2001,2,2014-12-30,"Zahájaní, schválení ověřovatelů a programu",1,ZM schvaluje Ing. Ludmilu Slavíčkovou a Františka Trtílka ověřovateli zápisu.,
2002,2,2014-12-30,"Zahájaní, schválení ověřovatelů a programu",1,ZM souhlasí s programem jednání v navržené podobě.,
2003,2,2014-12-30,Kontrola úkolů,2,ZM ruší usnesení ZM č. 11 z 28.8.2014 a s ním související úkol č. 7.,
2004,2,2014-12-30,Kontrola úkolů,2,ZM bere na vědomí zprávu o plnění úkolů z minulých zasedání.,
2005,2,2014-12-30,Jednací řád ZM,3,ZM schvaluje Jednací řád Zastupitelstva městyse Černá Hora s úpravami navrženými Petrou Zavřelovou a ruší Jednací řád schválený ZM dne 30.12.2010.,
2006,2,2014-12-30,Volba členů výborů ZM,4,ZM volí Ing. Miloše Bažanta a Zdeňka Burýška ml. členy kontrolního výboru.,
2007,2,2014-12-30,Volba členů výborů ZM,4,ZM volí Ing. Ludmilu Slavíčkovou a Ing. Lindu Vlkovou členkami finančního výboru.,
2008,2,2014-12-30,Volba členů výborů ZM,4,ZM volí MUDr. Evu Křížovou a Ing. Ludmilu Slavíčkovou členkami výboru bytového a sociálního.,
2009,2,2014-12-30,Volba členů výborů ZM,4,"ZM volí Mgr. Janu Kubelkovou, Petru Dvořáčkovou, Radka Stejskala a Ing. Jana Čillíka, Ph.D. členy výboru pro kulturu a sport.",
2010,2,2014-12-30,Delegování zástupců zřizovatele do školské rady ZŠ Černá Hora,5,ZM deleguje jako zástupce zřizovatele do školské rady Základní školy Černá Hora Ing. Ondřeje Měšťana a Ing. Naděždu Šabrňákovou.,
2011,2,2014-12-30,Rozpočtové opatření městyse Černá Hora č. 5,6,"ZM schvaluje rozpočtové opatření městyse Černá Hora č. 5, kterým se příjmy zvyšují o 194.300 Kč a výdaje snižují o 3,604.200 Kč.",
