id,name,organization:party,organization:affiliation,organization:list,
2014-539121-1-480-4,Jiras Vladimír Ing.,nk_party,bezpp_affiliation,480_list,
2014-539121-1-901-4,Kalivodová Helena,nk_party,bezpp_affiliation,901_list,
2014-539121-1-901-3,Kruf Radka,nk_party,bezpp_affiliation,901_list,
2014-539121-1-901-1,Macela Aleš,nk_party,bezpp_affiliation,901_list,
2014-539121-1-480-3,Michal Jiří,top-09_party,top-09_affiliation,480_list,
2014-539121-1-480-2,Mudr Jiří,nk_party,bezpp_affiliation,480_list,
2014-539121-1-480-6,Ondrášek Michal,nk_party,bezpp_affiliation,480_list,
2014-539121-1-480-5,Sgalitzerová Lenka,nk_party,bezpp_affiliation,480_list,
2014-539121-1-480-1,Schmidt Pavel,top-09_party,top-09_affiliation,480_list,
2014-539121-1-901-2,Dlouhý Zdeněk,nk_party,bezpp_affiliation,901_list,
