id,classification_id,classification,name,
nk_party,party,Navrhující strana,Nezávislí kandidáti,
usz_party,party,Navrhující strana,Unie pro sport a zdraví,
ods_party,party,Navrhující strana,Občanská demokratická strana,
cssd_party,party,Navrhující strana,Česká strana sociálně demokratická,
bezpp_affiliation,affiliation,Stranická příslušnost,Bez politické příslušnosti,
usz_affiliation,affiliation,Stranická příslušnost,Unie pro sport a zdraví,
ods_affiliation,affiliation,Stranická příslušnost,Občanská demokratická strana,
cssd_affiliation,affiliation,Stranická příslušnost,Česká strana sociálně demokratická,
901_list,list,Kandidátní listina,listina nezávislých kandidátů,
119_list,list,Kandidátní listina,Unie pro sport a zdraví,
53_list,list,Kandidátní listina,Občanská demokratická strana,
7_list,list,Kandidátní listina,Česká strana sociálně demokratická,
902_list,list,Kandidátní listina,listina nezávislých kandidátů,
