id,legislative_session:number,start_date,item:title,item:number,motion:title,
1001,1,2014-11-04,program,4,hlasování o programu,
1002,1,2014-11-04,Určení způsobu volby,5,"veřejné hlasování; postup hlasování - uvolněný starosta, 1 neuvolněný místostarosta, neuvolnění členové rady, předseda a členové kontrolního výboru a předseda a členové finančního výboru; hlasování o jednotlivých kandidátech v pořadí dle abecedy.",
1003,1,2014-11-04,Volba starosty,6,V souladu s odsouhlaseným volebním řádem předložila předsedající Jiřina Nováková návrh na zvolení Petra Jindřicha do funkce starosty,
1004,1,2014-11-04,Volba místostarosty,7,V souladu s odsouhlaseným volebním řádem předložil starosta návrh na zvolení Jiřiny Novákové do funkce místostarosty.,
1005,1,2014-11-04,Volba členů rady,8,Lenka Hronková členkou rady,
1006,1,2014-11-04,Volba členů rady,8,Jaromír Makarius členem rady,
1007,1,2014-11-04,Volba členů rady,8,Kateřina Varmužová členkou rady,
1008,1,2014-11-04,Volba kontrolního výboru,9,Miroslav Bartl členem výboru a předsedou,
1009,1,2014-11-04,Volba kontrolního výboru,9,Alena Petržilková členem výboru,
1010,1,2014-11-04,Volba kontrolního výboru,9,František Rybka členem výboru,
1011,1,2014-11-04,Volba finančního výboru,10,Zdeněk Bor členem výboru a předsedou,
1012,1,2014-11-04,Volba finančního výboru,10,Věra Pokorná členem výboru,
1013,1,2014-11-04,Volba finančního výboru,10,Miroslav Šponia členem výboru,
1014,1,2014-11-04,Stanovení výše odměn členům zastupitelstva,11,Zastupitelé schválili odměny neuvolněných členů zastupitelstva v 75% výši maxima stanoveného zákonem s platností ode dne schválení.,
2001,2,2014-12-11,program,0,hlasování o programu,
2002,2,2014-12-11,Rozpočtové opatření č. 3/2014,2,Zastupitelé schválili předložený návrh rozpočtového opatření č. 3/2014 zahrnující posílení příjmových položek o 276 tis. Kč a výdajových položek o 211. tis. Kč v rámci závazných ukazatelů - paragrafů v důsledku skutečného čerpání k 30.11.2014 a předpokladu čerpání k 31.12.2014.,
2003,2,2014-12-11,Rozpočet 2015,3,"Zastupitelé schválili předložený návrh schodkového rozpočtu Městyse Cítoliby na rok 2015. Příjmová část rozpočtu činí 12,235.400,- Kč, výdajová část rozpočtu činí 12,400.940,- Kč, financování splátek úvěr činí 1,000.000,- Kč. Rozdíl ve výši 1,165.540,- Kč je kryt finančními rezervami na účtech městyse. V okamžiku poskytnutí dotace na investiční akce „Revitalizace Bažantnice' a „Pořízení nového kotle do ZŠ' budou prostředky rezervované na účtech městyse určené na spoluúčast městyse ve výši 1,4 mil. Kč zapojeny do rozpočtu",
3001,3,2015-03-05,program,0,hlasování o programu,
3002,3,2015-03-05,Vyhláška č. 1/2015 O stanovení systému shromažďování komunálních odpadů a nakládání se stavebním odpadem na území Městyse Cítoliby,2,Zastupitelé schválili předložený návrh Vyhlášky č. 1/2015 O stanovení systému shromažďování komunálních odpadů a nakládání se stavebním odpadem na území Městyse Cítoliby s účinností ode dne vyhlášení,
3003,3,2015-03-05,Rozpočtové opatření č. 1/2015,3,"Zastupitelé schválili předložený návrh rozpočtového opatření č. 1/2015 zahrnující přiznaný příspěvek od Krajského úřadu Ústeckého kraje na výkon státní správy v působnosti obcí ve výši 186.400,- Kč na rok 2015.",
3004,3,2015-03-05,Petice doručená Městvsu Cítolibv dne 10.12.2014,4,"Zastupitelé potvrzují že v příspěvkové organizaci Základní škola a Mateřská škola Cítoliby, sídlo Cítoliby, nám. Miroslava Tyrše č.p.56, PSČ 439 02, IČ: 61357502, zapsané v obchodním rejstříku Krajského soudu v Ústí nad Labem, oddíl P, vložka 770 jsou samostatné organizační útvary Základní škola a Mateřská škola. Současně prohlašují, že rozdělení příspěvkové organizace Základní škola a Mateřská škola Cítoliby, sídlo Cítoliby, nám. Miroslava Tyrše č.p.56, PSČ 439 02, IČ: 61357502, zapsané v obchodním rejstříku Krajského soudu v Ústí nad Labem, oddíl P, vložka 770 na samostatné právnické osoby - Základní škola Cítoliby, příspěvková organizace a Mateřská škola Cítoliby, příspěvková organizace považuje za neměnné.",
