id,name,organization:party,organization:affiliation,organization:list,
2014-542571-1-119-1,Bláha Svatopluk,usz_party,usz_affiliation,119_list,
2014-542571-1-902-1,Bartl Miroslav,nk_party,bezpp_affiliation,902_list,
2014-542571-1-901-2,Borl Zdeněk Ing.,nk_party,bezpp_affiliation,901_list,
2014-542571-1-768-2,Gebelt Lubomír,ano-2011_party,bezpp_affiliation,768_list,
2014-542571-1-167-3,Hejlíková Blanka,hnpd_party,bezpp_affiliation,167_list,
2014-542571-1-901-3,Hronková Lenka,nk_party,bezpp_affiliation,901_list,
2014-542571-1-53-1,Jindřich Petr,ods_party,ods_affiliation,53_list,
2014-542571-1-53-3,Makarius Jaromír,ods_party,bezpp_affiliation,53_list,
2014-542571-1-7-1,Neudert Josef,cssd_party,cssd_affiliation,7_list,
2014-542571-1-901-1,Nováková Jiřina,nk_party,bezpp_affiliation,901_list,
2014-542571-1-53-5,Rybka František,ods_party,bezpp_affiliation,53_list,
2014-542571-1-53-4,Šponiar Miroslav,ods_party,bezpp_affiliation,53_list,
2014-542571-1-7-4,Typoltová Helena DiS.,cssd_party,bezpp_affiliation,7_list,
2014-542571-1-167-1,Varmužová Kateřina,hnpd_party,bezpp_affiliation,167_list,
2014-542571-1-901-7,Veselá Kateřina JUDr.,nk_party,bezpp_affiliation,901_list,
2014-542571-1-7-6,Němcová Alena,cssd_party,bezpp_affiliation,7_list,
2014-542571-1-7-3,Ságl Jaroslav,cssd_party,bezpp_affiliation,7_list,
2014-542571-1-119-3,Ságlová Miroslava Mgr.,usz_party,bezpp_affiliation,119_list,
