vote_event_id,voter_id,option,group_id,
1001,2014-542571-1-119-1,yes,usz_party,
1001,2014-542571-1-902-1,yes,nk_party,
1001,2014-542571-1-901-2,yes,nk_party,
1001,2014-542571-1-768-2,yes,ano-2011_party,
1001,2014-542571-1-167-3,yes,hnpd_party,
1001,2014-542571-1-901-3,yes,nk_party,
1001,2014-542571-1-53-1,yes,ods_party,
1001,2014-542571-1-53-3,yes,ods_party,
1001,2014-542571-1-7-1,absent,cssd_party,
1001,2014-542571-1-901-1,yes,nk_party,
1001,2014-542571-1-53-5,yes,ods_party,
1001,2014-542571-1-53-4,yes,ods_party,
1001,2014-542571-1-7-4,yes,cssd_party,
1001,2014-542571-1-167-1,yes,hnpd_party,
1001,2014-542571-1-901-7,yes,nk_party,
1001,2014-542571-1-7-6,abstain,cssd_party,
1001,2014-542571-1-7-3,abstain,cssd_party,
1001,2014-542571-1-119-3,abstain,usz_party,
1002,2014-542571-1-119-1,yes,usz_party,
1002,2014-542571-1-902-1,yes,nk_party,
1002,2014-542571-1-901-2,yes,nk_party,
1002,2014-542571-1-768-2,yes,ano-2011_party,
1002,2014-542571-1-167-3,yes,hnpd_party,
1002,2014-542571-1-901-3,yes,nk_party,
1002,2014-542571-1-53-1,yes,ods_party,
1002,2014-542571-1-53-3,yes,ods_party,
1002,2014-542571-1-7-1,absent,cssd_party,
1002,2014-542571-1-901-1,yes,nk_party,
1002,2014-542571-1-53-5,yes,ods_party,
1002,2014-542571-1-53-4,yes,ods_party,
1002,2014-542571-1-7-4,yes,cssd_party,
1002,2014-542571-1-167-1,yes,hnpd_party,
1002,2014-542571-1-901-7,yes,nk_party,
1002,2014-542571-1-7-6,abstain,cssd_party,
1002,2014-542571-1-7-3,abstain,cssd_party,
1002,2014-542571-1-119-3,abstain,usz_party,
1003,2014-542571-1-119-1,abstain,usz_party,
1003,2014-542571-1-902-1,yes,nk_party,
1003,2014-542571-1-901-2,yes,nk_party,
1003,2014-542571-1-768-2,no,ano-2011_party,
1003,2014-542571-1-167-3,yes,hnpd_party,
1003,2014-542571-1-901-3,yes,nk_party,
1003,2014-542571-1-53-1,yes,ods_party,
1003,2014-542571-1-53-3,yes,ods_party,
1003,2014-542571-1-7-1,absent,cssd_party,
1003,2014-542571-1-901-1,yes,nk_party,
1003,2014-542571-1-53-5,yes,ods_party,
1003,2014-542571-1-53-4,yes,ods_party,
1003,2014-542571-1-7-4,abstain,cssd_party,
1003,2014-542571-1-167-1,yes,hnpd_party,
1003,2014-542571-1-901-7,yes,nk_party,
1003,2014-542571-1-7-6,abstain,cssd_party,
1003,2014-542571-1-7-3,abstain,cssd_party,
1003,2014-542571-1-119-3,abstain,usz_party,
1004,2014-542571-1-119-1,no,usz_party,
1004,2014-542571-1-902-1,yes,nk_party,
1004,2014-542571-1-901-2,yes,nk_party,
1004,2014-542571-1-768-2,no,ano-2011_party,
1004,2014-542571-1-167-3,yes,hnpd_party,
1004,2014-542571-1-901-3,yes,nk_party,
1004,2014-542571-1-53-1,yes,ods_party,
1004,2014-542571-1-53-3,yes,ods_party,
1004,2014-542571-1-7-1,absent,cssd_party,
1004,2014-542571-1-901-1,yes,nk_party,
1004,2014-542571-1-53-5,yes,ods_party,
1004,2014-542571-1-53-4,yes,ods_party,
1004,2014-542571-1-7-4,abstain,cssd_party,
1004,2014-542571-1-167-1,yes,hnpd_party,
1004,2014-542571-1-901-7,yes,nk_party,
1004,2014-542571-1-7-6,abstain,cssd_party,
1004,2014-542571-1-7-3,abstain,cssd_party,
1004,2014-542571-1-119-3,abstain,usz_party,
1005,2014-542571-1-119-1,yes,usz_party,
1005,2014-542571-1-902-1,yes,nk_party,
1005,2014-542571-1-901-2,yes,nk_party,
1005,2014-542571-1-768-2,abstain,ano-2011_party,
1005,2014-542571-1-167-3,yes,hnpd_party,
1005,2014-542571-1-901-3,yes,nk_party,
1005,2014-542571-1-53-1,yes,ods_party,
1005,2014-542571-1-53-3,yes,ods_party,
1005,2014-542571-1-7-1,absent,cssd_party,
1005,2014-542571-1-901-1,yes,nk_party,
1005,2014-542571-1-53-5,yes,ods_party,
1005,2014-542571-1-53-4,yes,ods_party,
1005,2014-542571-1-7-4,yes,cssd_party,
1005,2014-542571-1-167-1,yes,hnpd_party,
1005,2014-542571-1-901-7,yes,nk_party,
1005,2014-542571-1-7-6,abstain,cssd_party,
1005,2014-542571-1-7-3,abstain,cssd_party,
1005,2014-542571-1-119-3,abstain,usz_party,
1006,2014-542571-1-119-1,yes,usz_party,
1006,2014-542571-1-902-1,yes,nk_party,
1006,2014-542571-1-901-2,yes,nk_party,
1006,2014-542571-1-768-2,yes,ano-2011_party,
1006,2014-542571-1-167-3,yes,hnpd_party,
1006,2014-542571-1-901-3,yes,nk_party,
1006,2014-542571-1-53-1,yes,ods_party,
1006,2014-542571-1-53-3,abstain,ods_party,
1006,2014-542571-1-7-1,absent,cssd_party,
1006,2014-542571-1-901-1,yes,nk_party,
1006,2014-542571-1-53-5,yes,ods_party,
1006,2014-542571-1-53-4,yes,ods_party,
1006,2014-542571-1-7-4,yes,cssd_party,
1006,2014-542571-1-167-1,yes,hnpd_party,
1006,2014-542571-1-901-7,yes,nk_party,
1006,2014-542571-1-7-6,abstain,cssd_party,
1006,2014-542571-1-7-3,abstain,cssd_party,
1006,2014-542571-1-119-3,abstain,usz_party,
1007,2014-542571-1-119-1,no,usz_party,
1007,2014-542571-1-902-1,abstain,nk_party,
1007,2014-542571-1-901-2,no,nk_party,
1007,2014-542571-1-768-2,no,ano-2011_party,
1007,2014-542571-1-167-3,yes,hnpd_party,
1007,2014-542571-1-901-3,yes,nk_party,
1007,2014-542571-1-53-1,yes,ods_party,
1007,2014-542571-1-53-3,yes,ods_party,
1007,2014-542571-1-7-1,absent,cssd_party,
1007,2014-542571-1-901-1,yes,nk_party,
1007,2014-542571-1-53-5,yes,ods_party,
1007,2014-542571-1-53-4,yes,ods_party,
1007,2014-542571-1-7-4,abstain,cssd_party,
1007,2014-542571-1-167-1,abstain,hnpd_party,
1007,2014-542571-1-901-7,yes,nk_party,
1007,2014-542571-1-7-6,abstain,cssd_party,
1007,2014-542571-1-7-3,abstain,cssd_party,
1007,2014-542571-1-119-3,abstain,usz_party,
1008,2014-542571-1-119-1,yes,usz_party,
1008,2014-542571-1-902-1,abstain,nk_party,
1008,2014-542571-1-901-2,yes,nk_party,
1008,2014-542571-1-768-2,yes,ano-2011_party,
1008,2014-542571-1-167-3,yes,hnpd_party,
1008,2014-542571-1-901-3,yes,nk_party,
1008,2014-542571-1-53-1,yes,ods_party,
1008,2014-542571-1-53-3,yes,ods_party,
1008,2014-542571-1-7-1,absent,cssd_party,
1008,2014-542571-1-901-1,yes,nk_party,
1008,2014-542571-1-53-5,yes,ods_party,
1008,2014-542571-1-53-4,abstain,ods_party,
1008,2014-542571-1-7-4,yes,cssd_party,
1008,2014-542571-1-167-1,yes,hnpd_party,
1008,2014-542571-1-901-7,yes,nk_party,
1008,2014-542571-1-7-6,abstain,cssd_party,
1008,2014-542571-1-7-3,abstain,cssd_party,
1008,2014-542571-1-119-3,abstain,usz_party,
1009,2014-542571-1-119-1,yes,usz_party,
1009,2014-542571-1-902-1,yes,nk_party,
1009,2014-542571-1-901-2,yes,nk_party,
1009,2014-542571-1-768-2,yes,ano-2011_party,
1009,2014-542571-1-167-3,yes,hnpd_party,
1009,2014-542571-1-901-3,yes,nk_party,
1009,2014-542571-1-53-1,yes,ods_party,
1009,2014-542571-1-53-3,yes,ods_party,
1009,2014-542571-1-7-1,absent,cssd_party,
1009,2014-542571-1-901-1,yes,nk_party,
1009,2014-542571-1-53-5,yes,ods_party,
1009,2014-542571-1-53-4,yes,ods_party,
1009,2014-542571-1-7-4,yes,cssd_party,
1009,2014-542571-1-167-1,yes,hnpd_party,
1009,2014-542571-1-901-7,yes,nk_party,
1009,2014-542571-1-7-6,abstain,cssd_party,
