id,classification_id,classification,name,
nk_party,party,Navrhující strana,Nezávislí kandidáti,
top-09_party,party,Navrhující strana,TOP 09,
kscm_party,party,Navrhující strana,Komunistická strana Čech a Moravy,
ods_party,party,Navrhující strana,Občanská demokratická strana,
cssd_party,party,Navrhující strana,Česká strana sociálně demokratická,
bezpp_affiliation,affiliation,Stranická příslušnost,Bez politické příslušnosti,
kscm_affiliation,affiliation,Stranická příslušnost,Komunistická strana Čech a Moravy,
ods_affiliation,affiliation,Stranická příslušnost,Občanská demokratická strana,
cssd_affiliation,affiliation,Stranická příslušnost,Česká strana sociálně demokratická,
sz_affiliation,affiliation,Stranická příslušnost,Strana zelených,
903_list,list,Kandidátní listina,listina nezávislých kandidátů,
901_list,list,Kandidátní listina,listina nezávislých kandidátů,
721_list,list,Kandidátní listina,TOP 09,
47_list,list,Kandidátní listina,Komunistická strana Čech a Moravy,
53_list,list,Kandidátní listina,Občanská demokratická strana,
7_list,list,Kandidátní listina,Česká strana sociálně demokratická,
