id,legislative_session:number,start_date,item:title,item:number,motion:title,
1001,1,2014-11-06,Schválení programu zasedání,4,Zastupitelstvo města Cvikov schvaluje program ustavujícího zasedání.,
1002,1,2014-11-06,Určení ověřovatelů zápisu a zapisovatele,5,Zastupitelstvo města Cvikov určuje ověřovateli zápisu paní Martu Studničnou a pana Michala Vojtěcha a zapisovatelem paní Marii Svobodovou.,
1003,1,2014-11-06,Volba členů návrhové komise,6,Zastupitelstvo města Cvikov určuje předsedu návrhové komise: Mgr. Ivo Čeřovského a členy návrhové komise PharmDr. Skopovou Jarmilu a Prof. Dr. Ing. Vojtěcha Dalibora,
1004,1,2014-11-06,Schválení Jednacího řádu Zastupitelstva města Cvikov,7,Zastupitelstvo města schvaluje Jednací řad Zastupitelstva města Cvikov.,
1005,1,2014-11-06,Schválení Volebního řádu Zastupitelstva města Cvikov,8,Zastupitelstvo města schvaluje Volební řád Zastupitelstva města Cvikov.,
1006,1,2014-11-06,Volba členů volební komise,9,"Zastupitelstvo města jmenuje volební komisi ve složení: Ing. Hokr Miroslav (KSČM), Houžvička Pavel (ANO 2011), Kavan Tomáš (Sdružení pro rozvoj a budoucnost města Cvikov a městských částí), Neckař Pavel (Nezávislí), Říha Marek (ODS), Stejskal Darek (ČSSD) a zapisovatelkou paní Marii Svobodovou.",
1007,1,2014-11-06,Stanovení počtu členů rady města,10,Zastupitelstvo města stanovuje počet členů rady města Cvikov na 7 členů.,
1008,1,2014-11-06,Stanovení počtu uvolněných zastupitelů,11,"Zastupitelstvo města Cvikov v souladu s § 84 odst. 2 písm. k) zákona č. 128/2000 Sb. o obcích (obecní zřízení) ve znění pozdějších předpisů určuje (dále jen zákon o obcích), že pro výkon funkce starosty obce bude člen zastupitelstva dlouhodobě uvolněn.",
1009,1,2014-11-06,Stanovení počtu uvolněných zastupitelů,11,"Zastupitelstvo města Cvikov v souladu se zákonem o obcích určuje, že pro výkon funkce místostarosty obce bude člen zastupitelstva neuvolněn.",
1010,1,2014-11-06,Určení způsobu volby starosty a místostarosty,12,Zastupitelstvo města Cvikov schvaluje tajný způsob volby starosty a místostarosty postupem uvedeným ve volebním řádu.,
1011,1,2014-11-06,Určení způsobu volby členů rady města,15,Zastupitelstvo města Cvikov schvaluje tajný způsob volby členů rady města Cvikov postupem uvedeným ve volebním řádu.,
