id,name,organization:party,organization:affiliation,organization:list,
2014-561479-1-901-3,Čeřovský Ivo Mgr.,nk_party,bezpp_affiliation,901_list,
2014-561479-1-47-1,Hokr Miroslav Ing.,kscm_party,kscm_affiliation,47_list,
2014-561479-1-768-5,Houžvička Pavel,ano-2011_party,bezpp_affiliation,768_list,
2014-561479-1-901-1,Jakobi Šárka Mgr.,nk_party,bezpp_affiliation,901_list,
2014-561479-1-902-8,Jakubová Ivana Mgr.,nk_party,bezpp_affiliation,902_list,
2014-561479-1-902-1,Kavan Tomáš,nk_party,bezpp_affiliation,902_list,
2014-561479-1-7-3,Klátil Martin pprap. Bc.,cssd_party,bezpp_affiliation,7_list,
2014-561479-1-901-4,Neckař Pavel,nk_party,bezpp_affiliation,901_list,
2014-561479-1-901-2,Novotný Miroslav Mgr.,nk_party,bezpp_affiliation,901_list,
2014-561479-1-53-11,Pačinek Jiří,ods_party,bezpp_affiliation,53_list,
2014-561479-1-53-3,Říha Marek,ods_party,bezpp_affiliation,53_list,
2014-561479-1-901-7,Skopová Jaroslava PharmDr.,nk_party,sz_affiliation,901_list,
2014-561479-1-7-2,Stejskal Darek,cssd_party,cssd_affiliation,7_list,
2014-561479-1-47-2,Studničná Marta,kscm_party,kscm_affiliation,47_list,
2014-561479-1-53-1,Švehla Jaroslav JUDr.,ods_party,ods_affiliation,53_list,
2014-561479-1-902-7,Urbancová Ivana,nk_party,bezpp_affiliation,902_list,
2014-561479-1-7-7,Vojtěch Dalibor Prof. Dr. Ing.,cssd_party,cssd_affiliation,7_list,
2014-561479-1-7-1,Vojtěch Michal,cssd_party,cssd_affiliation,7_list,
2014-561479-1-768-3,Zahrádka Josef,ano-2011_party,bezpp_affiliation,768_list,
2014-561479-1-53-2,Jirák Jiří,ods_party,ods_affiliation,53_list,
2014-561479-1-902-2,Straka Jan,nk_party,bezpp_affiliation,902_list,
2014-561479-1-7-4,Petrus Martin Bc.,cssd_party,cssd_affiliation,7_list,
2014-561479-1-47-3,Kořínek Petr,kscm_party,bezpp_affiliation,47_list,
