vote_event_id,voter_id,option,group_id,
1001,2014-561479-1-901-3,yes,nk_party,
1001,2014-561479-1-47-1,yes,kscm_party,
1001,2014-561479-1-768-5,yes,ano-2011_party,
1001,2014-561479-1-901-1,yes,nk_party,
1001,2014-561479-1-902-8,yes,nk_party,
1001,2014-561479-1-902-1,yes,nk_party,
1001,2014-561479-1-7-3,yes,cssd_party,
1001,2014-561479-1-901-4,yes,nk_party,
1001,2014-561479-1-901-2,yes,nk_party,
1001,2014-561479-1-53-11,yes,ods_party,
1001,2014-561479-1-53-3,yes,ods_party,
1001,2014-561479-1-901-7,yes,nk_party,
1001,2014-561479-1-7-2,yes,cssd_party,
1001,2014-561479-1-47-2,yes,kscm_party,
1001,2014-561479-1-53-1,yes,ods_party,
1001,2014-561479-1-902-7,yes,nk_party,
1001,2014-561479-1-7-7,yes,cssd_party,
1001,2014-561479-1-7-1,yes,cssd_party,
1001,2014-561479-1-768-3,yes,ano-2011_party,
1001,2014-561479-1-53-2,yes,ods_party,
1001,2014-561479-1-902-2,yes,nk_party,
1001,2014-561479-1-7-4,abstain,cssd_party,
1001,2014-561479-1-47-3,abstain,kscm_party,
1002,2014-561479-1-901-3,yes,nk_party,
1002,2014-561479-1-47-1,yes,kscm_party,
1002,2014-561479-1-768-5,yes,ano-2011_party,
1002,2014-561479-1-901-1,yes,nk_party,
1002,2014-561479-1-902-8,yes,nk_party,
1002,2014-561479-1-902-1,yes,nk_party,
1002,2014-561479-1-7-3,yes,cssd_party,
1002,2014-561479-1-901-4,yes,nk_party,
1002,2014-561479-1-901-2,yes,nk_party,
1002,2014-561479-1-53-11,yes,ods_party,
1002,2014-561479-1-53-3,yes,ods_party,
1002,2014-561479-1-901-7,yes,nk_party,
1002,2014-561479-1-7-2,yes,cssd_party,
1002,2014-561479-1-47-2,abstain,kscm_party,
1002,2014-561479-1-53-1,yes,ods_party,
1002,2014-561479-1-902-7,yes,nk_party,
1002,2014-561479-1-7-7,yes,cssd_party,
1002,2014-561479-1-7-1,abstain,cssd_party,
1002,2014-561479-1-768-3,yes,ano-2011_party,
1002,2014-561479-1-53-2,yes,ods_party,
1002,2014-561479-1-902-2,yes,nk_party,
1002,2014-561479-1-7-4,abstain,cssd_party,
1002,2014-561479-1-47-3,abstain,kscm_party,
1003,2014-561479-1-901-3,yes,nk_party,
1003,2014-561479-1-47-1,yes,kscm_party,
1003,2014-561479-1-768-5,yes,ano-2011_party,
1003,2014-561479-1-901-1,yes,nk_party,
1003,2014-561479-1-902-8,yes,nk_party,
1003,2014-561479-1-902-1,yes,nk_party,
1003,2014-561479-1-7-3,yes,cssd_party,
1003,2014-561479-1-901-4,yes,nk_party,
1003,2014-561479-1-901-2,yes,nk_party,
1003,2014-561479-1-53-11,yes,ods_party,
1003,2014-561479-1-53-3,yes,ods_party,
1003,2014-561479-1-901-7,abstain,nk_party,
1003,2014-561479-1-7-2,yes,cssd_party,
1003,2014-561479-1-47-2,yes,kscm_party,
1003,2014-561479-1-53-1,yes,ods_party,
1003,2014-561479-1-902-7,yes,nk_party,
1003,2014-561479-1-7-7,abstain,cssd_party,
1003,2014-561479-1-7-1,yes,cssd_party,
1003,2014-561479-1-768-3,yes,ano-2011_party,
1003,2014-561479-1-53-2,yes,ods_party,
1003,2014-561479-1-902-2,yes,nk_party,
1003,2014-561479-1-7-4,abstain,cssd_party,
1003,2014-561479-1-47-3,abstain,kscm_party,
1004,2014-561479-1-901-3,yes,nk_party,
1004,2014-561479-1-47-1,yes,kscm_party,
1004,2014-561479-1-768-5,yes,ano-2011_party,
1004,2014-561479-1-901-1,yes,nk_party,
1004,2014-561479-1-902-8,yes,nk_party,
1004,2014-561479-1-902-1,yes,nk_party,
1004,2014-561479-1-7-3,yes,cssd_party,
1004,2014-561479-1-901-4,yes,nk_party,
1004,2014-561479-1-901-2,yes,nk_party,
1004,2014-561479-1-53-11,yes,ods_party,
1004,2014-561479-1-53-3,yes,ods_party,
1004,2014-561479-1-901-7,yes,nk_party,
1004,2014-561479-1-7-2,yes,cssd_party,
1004,2014-561479-1-47-2,yes,kscm_party,
1004,2014-561479-1-53-1,yes,ods_party,
1004,2014-561479-1-902-7,yes,nk_party,
1004,2014-561479-1-7-7,yes,cssd_party,
1004,2014-561479-1-7-1,yes,cssd_party,
1004,2014-561479-1-768-3,yes,ano-2011_party,
1004,2014-561479-1-53-2,yes,ods_party,
1004,2014-561479-1-902-2,yes,nk_party,
1004,2014-561479-1-7-4,abstain,cssd_party,
1004,2014-561479-1-47-3,abstain,kscm_party,
1005,2014-561479-1-901-3,yes,nk_party,
1005,2014-561479-1-47-1,yes,kscm_party,
1005,2014-561479-1-768-5,yes,ano-2011_party,
1005,2014-561479-1-901-1,yes,nk_party,
1005,2014-561479-1-902-8,yes,nk_party,
1005,2014-561479-1-902-1,yes,nk_party,
1005,2014-561479-1-7-3,yes,cssd_party,
1005,2014-561479-1-901-4,yes,nk_party,
1005,2014-561479-1-901-2,yes,nk_party,
1005,2014-561479-1-53-11,yes,ods_party,
1005,2014-561479-1-53-3,yes,ods_party,
1005,2014-561479-1-901-7,yes,nk_party,
1005,2014-561479-1-7-2,yes,cssd_party,
1005,2014-561479-1-47-2,yes,kscm_party,
1005,2014-561479-1-53-1,yes,ods_party,
1005,2014-561479-1-902-7,yes,nk_party,
1005,2014-561479-1-7-7,yes,cssd_party,
1005,2014-561479-1-7-1,yes,cssd_party,
1005,2014-561479-1-768-3,yes,ano-2011_party,
1005,2014-561479-1-53-2,yes,ods_party,
1005,2014-561479-1-902-2,yes,nk_party,
1005,2014-561479-1-7-4,abstain,cssd_party,
1005,2014-561479-1-47-3,abstain,kscm_party,
1006,2014-561479-1-901-3,yes,nk_party,
1006,2014-561479-1-47-1,yes,kscm_party,
1006,2014-561479-1-768-5,yes,ano-2011_party,
1006,2014-561479-1-901-1,yes,nk_party,
1006,2014-561479-1-902-8,yes,nk_party,
1006,2014-561479-1-902-1,yes,nk_party,
1006,2014-561479-1-7-3,yes,cssd_party,
1006,2014-561479-1-901-4,yes,nk_party,
1006,2014-561479-1-901-2,yes,nk_party,
1006,2014-561479-1-53-11,yes,ods_party,
1006,2014-561479-1-53-3,yes,ods_party,
1006,2014-561479-1-901-7,yes,nk_party,
1006,2014-561479-1-7-2,yes,cssd_party,
1006,2014-561479-1-47-2,yes,kscm_party,
1006,2014-561479-1-53-1,yes,ods_party,
1006,2014-561479-1-902-7,yes,nk_party,
1006,2014-561479-1-7-7,yes,cssd_party,
1006,2014-561479-1-7-1,yes,cssd_party,
1006,2014-561479-1-768-3,yes,ano-2011_party,
1006,2014-561479-1-53-2,yes,ods_party,
1006,2014-561479-1-902-2,yes,nk_party,
1006,2014-561479-1-7-4,abstain,cssd_party,
1006,2014-561479-1-47-3,abstain,kscm_party,
1007,2014-561479-1-901-3,yes,nk_party,
1007,2014-561479-1-47-1,yes,kscm_party,
1007,2014-561479-1-768-5,yes,ano-2011_party,
1007,2014-561479-1-901-1,yes,nk_party,
1007,2014-561479-1-902-8,yes,nk_party,
1007,2014-561479-1-902-1,yes,nk_party,
1007,2014-561479-1-7-3,yes,cssd_party,
1007,2014-561479-1-901-4,yes,nk_party,
