id,legislative_session:number,start_date,item:title,item:number,motion:title,
1001,1,2010-10-01,Volba starosty a místostarosty,5,Místostarostou obce byl zvolen p. Roman Krejčí,
2001,2,2010-11-16,program,1,hlasování o programu,
2002,2,2010-11-16,Odměna bývalého starosty,3,"Zastupitelstvo schvaluje počtem 7 hlasů, odměnu odstupujícímu starostovi vyplatit jednorázově.",
2003,2,2010-11-16,Rozpočtové opatření č. III. a IV,4,Zastupitelstvo obce počtem 7 hlasů schvaluje rozpočtové změny č. III. a IV,
2004,2,2010-11-16,Určení zástupce do svazku Mikroregionu Táborská,5,Zástupce do Svazku Mikroregion Táborsko byl jmenován p. Roman Krejčí. Zastupitelé počtem 7 hlasů souhlasí,
2005,2,2010-11-16,Otevření jednání o smlouvách s fa Manage Consult - v zastoupení Ing. V. Prinke a Bezpečnostní službou „IVA" s.r.o.,6,informaci starosty o znovu otevření smluv o podmínkách provozu s firmou Manage Consult a Bezpečnostní službou „IVA",
2006,2,2010-11-16,Rozpočet 2011,7,Ing. Fialová se členy finanční komise byla pověřena vypracováním zprávy pro sestavení rozpočtu 2011. bude čerpat z materiálů za poslední 3 roky zpět. Zprávu předloží do 15.12.2010.,
2007,2,2010-11-16,Volba členů komisí,8,Zastupitelstvo obce odvolává z finančního výboru p. Václava Klicmana.,
2008,2,2010-11-16,Volba členů komisí,8,Zastupitelstvo obce schvaluje do finančního výboru p.Mgr. Zdenka Trsku.,
2009,2,2010-11-16,Volba členů komisí,8,"Zastupitelstvo obce schvaluje členy do výborů a komisí v obci takto:- Finanční výbor - člen - Ing. Radka Schneiderová, Mgr. Zdeněk Trska - Kontrolní výbor - člen - Václav Klicman, Vlastimil Mynařík - Komise životního prostředí - člen - Pavel Adam, Josef Šonka - Komise pro děti a mládež - člen - Věra Šedivá, Jana Žákova - Komise kulturní - člen - Jitka Pósingerová, Miroslav Martínek, Markéta Martínková, Marcela Bočanova",
