id,classification_id,classification,name,
nk_party,party,Navrhující strana,Nezávislí kandidáti,
kdu-csl_party,party,Navrhující strana,Křesťan.a demokrat.unie-Českosl.strana lidová,
bezpp_affiliation,affiliation,Stranická příslušnost,Bez politické příslušnosti,
kdu-csl_affiliation,affiliation,Stranická příslušnost,Křesťan.a demokrat.unie-Českosl.strana lidová,
810_list,list,Kandidátní listina,listina nezávislých kandidátů,
806_list,list,Kandidátní listina,listina nezávislých kandidátů,
815_list,list,Kandidátní listina,listina nezávislých kandidátů,
813_list,list,Kandidátní listina,listina nezávislých kandidátů,
1_list,list,Kandidátní listina,Křesťan.a demokrat.unie-Českosl.strana lidová,
802_list,list,Kandidátní listina,listina nezávislých kandidátů,
811_list,list,Kandidátní listina,listina nezávislých kandidátů,
814_list,list,Kandidátní listina,listina nezávislých kandidátů,
809_list,list,Kandidátní listina,listina nezávislých kandidátů,
