id,legislative_session:number,start_date,item:title,item:number,motion:title,
1001,1,2010-11-10,Schválení odměn zastupitelstvu,5,"Odměny zachovat ve stejné výši, kterou byli odměňováni zastupitelé v r. 2010",
2001,2,2010-12-01,Schválení programu,2,Schválení programu,
2002,2,2010-12-01,Kontrola zápisu z minulé schůze,3,Zápis schválen a podepsán,
2003,2,2010-12-01,Setkání důchodců a jubilantu 2010,6,"Schváleno setkání na dne 11.12. od 16 hodin, pro jubilanty bude připraven dárkový balíček.Pro důchodce a jubilanty bude zajištěno pohoštění a hudba.",
2004,2,2010-12-01,Příspěvek na svoz popelic 2011,7,Schválen příspěvek v hodnotě 1/3 z celkové ceny známek,
2005,2,2010-12-01,Různé,8,Žádost p. Miroslava Kadlece o odprodej obecního pozemku v katastru obce Drhovy p. č. 343/6,
2006,2,2010-12-01,Různé,8,Směna pozemků mezi p. Simonou Kalvodovou a obcí,
3001,3,2010-12-17,,2,Schválení programu,
3002,3,2010-12-17,Kontrola zápisu z minulé schůze,3,Zápis schválen a podepsán ověřovateli,
3003,3,2010-12-17,Návrh akcí pro rozpočet na rok 2011 a jeho schválení,4,"Navržený rozpočet bude vyrovnaný,nelze již schválené finance navyšovat",
3004,3,2010-12-17,Hlasování o rozpočtových návrzích ,5,dokončení asfaltového povrchu  na Homoli ,
3005,3,2010-12-17,Hlasování o rozpočtových návrzích ,5,"Návrh na opravu budovy školy a to věcí poničených v zimním období a věcí bránících            případné obnově školky pronájmem, nebo jejímu pronajmutí k jiné podnik. činnosti,      ( sněhové zábrany, okapy, nové jímky a okna ze severní strany,oprava hromosvodů",
3006,3,2010-12-17,Hlasování o rozpočtových návrzích ,5,Hlasování o žádosti asfaltového povrchu na Homoli,
3007,3,2010-12-17,Hlasování o rozpočtových návrzích ,5,Hlasování o žádosti opravy bývalé školy v Drhovech,
3008,3,2010-12-17,Hlasování o rozpočtových návrzích ,5,Hlasování o společné žádosti asfaltový povrch v Homoli + bývalá škola Drhovy,
3009,3,2010-12-17,Hlasování o rozpočtových návrzích ,5,Dokončení svodu dešťové vody proti p. Poslušnému,
3010,3,2010-12-17,Hlasování o rozpočtových návrzích ,5,Odhlášení či případné sjednocení elektroměru v budově bývalé školy – elektroměry se nechají sjednotit na dvoutarif,
3011,3,2010-12-17,Hlasování o rozpočtových návrzích ,5,Rozpočet na rok 2011 schválen jako vyrovnaný,
3012,3,2010-12-17,Hlasování o rozpočtových návrzích ,5,Rozpočtové opatření na rok 2011,
3013,3,2010-12-17,Hlasování o rozpočtových návrzích ,5,Inventarizační komise,
3014,3,2010-12-17,Různé,6,"Žádost o příspěvek na činnost TJ Vltavan Borotice ve výši 1.000,- Kč",
