vote_event_id,voter_id,option,group_id,
1001,2014-540188-1-808-1,yes,nk_party,
1001,2014-540188-1-813-1,yes,nk_party,
1001,2014-540188-1-806-1,yes,nk_party,
1001,2014-540188-1-810-1,yes,nk_party,
1001,2014-540188-1-812-1,yes,nk_party,
1001,2014-540188-1-801-1,yes,nk_party,
1001,2014-540188-1-805-1,yes,nk_party,
1001,2014-540188-1-811-1,yes,nk_party,
1001,2014-540188-1-807-1,yes,nk_party,
1002,2014-540188-1-808-1,yes,nk_party,
1002,2014-540188-1-813-1,yes,nk_party,
1002,2014-540188-1-806-1,yes,nk_party,
1002,2014-540188-1-810-1,yes,nk_party,
1002,2014-540188-1-812-1,yes,nk_party,
1002,2014-540188-1-801-1,yes,nk_party,
1002,2014-540188-1-805-1,yes,nk_party,
1002,2014-540188-1-811-1,yes,nk_party,
1002,2014-540188-1-807-1,yes,nk_party,
1003,2014-540188-1-808-1,yes,nk_party,
1003,2014-540188-1-813-1,yes,nk_party,
1003,2014-540188-1-806-1,yes,nk_party,
1003,2014-540188-1-810-1,yes,nk_party,
1003,2014-540188-1-812-1,yes,nk_party,
1003,2014-540188-1-801-1,yes,nk_party,
1003,2014-540188-1-805-1,yes,nk_party,
1003,2014-540188-1-811-1,yes,nk_party,
1003,2014-540188-1-807-1,yes,nk_party,
1004,2014-540188-1-808-1,abstain,nk_party,
1004,2014-540188-1-813-1,abstain,nk_party,
1004,2014-540188-1-806-1,yes,nk_party,
1004,2014-540188-1-810-1,yes,nk_party,
1004,2014-540188-1-812-1,abstain,nk_party,
1004,2014-540188-1-801-1,abstain,nk_party,
1004,2014-540188-1-805-1,yes,nk_party,
1004,2014-540188-1-811-1,yes,nk_party,
1004,2014-540188-1-807-1,abstain,nk_party,
1005,2014-540188-1-808-1,yes,nk_party,
1005,2014-540188-1-813-1,yes,nk_party,
1005,2014-540188-1-806-1,yes,nk_party,
1005,2014-540188-1-810-1,abstain,nk_party,
1005,2014-540188-1-812-1,yes,nk_party,
1005,2014-540188-1-801-1,yes,nk_party,
1005,2014-540188-1-805-1,abstain,nk_party,
1005,2014-540188-1-811-1,no,nk_party,
1005,2014-540188-1-807-1,yes,nk_party,
1006,2014-540188-1-808-1,yes,nk_party,
1006,2014-540188-1-813-1,yes,nk_party,
1006,2014-540188-1-806-1,yes,nk_party,
1006,2014-540188-1-810-1,yes,nk_party,
1006,2014-540188-1-812-1,yes,nk_party,
1006,2014-540188-1-801-1,yes,nk_party,
1006,2014-540188-1-805-1,abstain,nk_party,
