"group:id","option","vote_event:id","voter:id"
"ČSSD","PRO","452099","Adam Miroslav, MUDr."
"ČSSD","PROTI","452099","Chýlek Jaroslav, Ing."
"ČSSD","PRO","452099","Čudek Jiří, Ing."
"ČSSD","PRO","452099","Cvik Petr, Mgr."
"ČSSD","PRO","452099","Deutscher Karel"
"KSČM","PRO","452099","Dokoupil Miroslav, JUDr."
"Sdružení","PRO","452099","Hájek Michal"
"Sdružení","PRO","452099","Hartmann Petr, Ing."
"KSČM","PRO","452099","Holý Pavel"
"Sdružení","PRO","452099","Hrabec Dalibor, Ing."
"NEZ","PRO","452099","Jurtíková Drahomíra, Mgr."
"Sdružení","PRO","452099","Kocich Pavel, Ing."
"Sdružení","PRO","452099","Konečná Martina, Ing."
"Sdružení","PRO","452099","Konůpka Petr, Ing."
"Sdružení","PRO","452099","Koval Libor"
"ČSSD","PRO","452099","Kožušníková Jarmila, Mgr."
"Sdružení","PRO","452099","Kučík Rafael, Ing."
"Sdružení","PROTI","452099","Merta Miroslav"
"ČSSD","ZDRŽEL SE","452099","Muroň Jaroslav"
"ČSSD","PRO","452099","Nytrová Pavlína, Ing."
"Sdružení","PRO","452099","Pavlas Ivan, Ing."
"ČSSD","PRO","452099","Pavlátová Štěpánka, Mgr."
"ČSSD","PRO","452099","Pobucký Michal, Bc. DiS."
"ČSSD","PRO","452099","Pobuda Vítězslav"
"KSČM","ZDRŽEL SE","452099","Pospíšil Oldřich, Ing."
"Sdružení","PRO","452099","Přádka Miroslav, MUDr. Ing. PhD."
"ČSSD","PROTI","452099","Rafaj Petr, Ing."
"KSČM","PRO","452099","Recman Svatomír, RSDr., Ing."
"ČSSD","PRO","452099","Richtrová Eva, Ing."
"Sdružení","PROTI","452099","Roubal Vít, Ing."
"ČSSD","PROTI","452099","Skotnica Petr"
"ČSSD","PRO","452099","Slezák Miroslav"
"NEZ","PRO","452099","Stolař Zdeněk, PhDr."
"Sdružení","PRO","452099","Švejkovský Dalibor, Ing."
"Sdružení","ZDRŽEL SE","452099","Svoják Igor, Ing."
"Sdružení","PRO","452099","Urban Ondřej, MUDr."
"ČSSD","ZDRŽEL SE","452099","Velčovský Jiří"
"Sdružení","ZDRŽEL SE","452099","Vojvodík Josef, Mgr."
"KSČM","ZDRŽEL SE","452099","Vrba Ivan, Mgr."
"ČSSD","PRO","452099","Zaoral Jiří"
"ČSSD","PRO","452100","Adam Miroslav, MUDr."
"ČSSD","PROTI","452100","Chýlek Jaroslav, Ing."
"ČSSD","NEHLASOVAL","452100","Čudek Jiří, Ing."
"ČSSD","PROTI","452100","Cvik Petr, Mgr."
"ČSSD","PROTI","452100","Deutscher Karel"
"KSČM","PRO","452100","Dokoupil Miroslav, JUDr."
"Sdružení","PROTI","452100","Hájek Michal"
"Sdružení","PROTI","452100","Hartmann Petr, Ing."
"KSČM","PRO","452100","Holý Pavel"
"Sdružení","PROTI","452100","Hrabec Dalibor, Ing."
"NEZ","PRO","452100","Jurtíková Drahomíra, Mgr."
"Sdružení","PROTI","452100","Kocich Pavel, Ing."
"Sdružení","PROTI","452100","Konečná Martina, Ing."
"Sdružení","PROTI","452100","Konůpka Petr, Ing."
"Sdružení","ZDRŽEL SE","452100","Koval Libor"
"ČSSD","PRO","452100","Kožušníková Jarmila, Mgr."
"Sdružení","PRO","452100","Kučík Rafael, Ing."
"Sdružení","ZDRŽEL SE","452100","Merta Miroslav"
"ČSSD","PRO","452100","Muroň Jaroslav"
"ČSSD","ZDRŽEL SE","452100","Nytrová Pavlína, Ing."
"Sdružení","PRO","452100","Pavlas Ivan, Ing."
"ČSSD","PROTI","452100","Pavlátová Štěpánka, Mgr."
"ČSSD","PROTI","452100","Pobucký Michal, Bc. DiS."
"ČSSD","PROTI","452100","Pobuda Vítězslav"
"KSČM","PRO","452100","Pospíšil Oldřich, Ing."
"Sdružení","PRO","452100","Přádka Miroslav, MUDr. Ing. PhD."
"ČSSD","PROTI","452100","Rafaj Petr, Ing."
"KSČM","PROTI","452100","Recman Svatomír, RSDr., Ing."
"ČSSD","PRO","452100","Richtrová Eva, Ing."
"Sdružení","ZDRŽEL SE","452100","Roubal Vít, Ing."
"ČSSD","PROTI","452100","Skotnica Petr"
"ČSSD","PROTI","452100","Slezák Miroslav"
"NEZ","NEHLASOVAL","452100","Stolař Zdeněk, PhDr."
"Sdružení","ZDRŽEL SE","452100","Švejkovský Dalibor, Ing."
"Sdružení","PROTI","452100","Svoják Igor, Ing."
"Sdružení","PROTI","452100","Urban Ondřej, MUDr."
"ČSSD","PROTI","452100","Velčovský Jiří"
"Sdružení","PRO","452100","Vojvodík Josef, Mgr."
"KSČM","PRO","452100","Vrba Ivan, Mgr."
"ČSSD","PRO","452100","Zaoral Jiří"
"ČSSD","PRO","452101","Adam Miroslav, MUDr."
"ČSSD","PRO","452101","Chýlek Jaroslav, Ing."
"ČSSD","PRO","452101","Čudek Jiří, Ing."
"ČSSD","PRO","452101","Cvik Petr, Mgr."
"ČSSD","PRO","452101","Deutscher Karel"
"KSČM","PRO","452101","Dokoupil Miroslav, JUDr."
"Sdružení","PRO","452101","Hájek Michal"
"Sdružení","PRO","452101","Hartmann Petr, Ing."
"KSČM","PRO","452101","Holý Pavel"
"Sdružení","PRO","452101","Hrabec Dalibor, Ing."
"NEZ","PRO","452101","Jurtíková Drahomíra, Mgr."
"Sdružení","PRO","452101","Kocich Pavel, Ing."
"Sdružení","PRO","452101","Konečná Martina, Ing."
"Sdružení","PRO","452101","Konůpka Petr, Ing."
"Sdružení","PRO","452101","Koval Libor"
"ČSSD","PRO","452101","Kožušníková Jarmila, Mgr."
"Sdružení","PRO","452101","Kučík Rafael, Ing."
"Sdružení","PRO","452101","Merta Miroslav"
"ČSSD","PRO","452101","Muroň Jaroslav"
"ČSSD","PRO","452101","Nytrová Pavlína, Ing."
"Sdružení","PRO","452101","Pavlas Ivan, Ing."
"ČSSD","PRO","452101","Pavlátová Štěpánka, Mgr."
"ČSSD","PRO","452101","Pobucký Michal, Bc. DiS."
"ČSSD","NEHLASOVAL","452101","Pobuda Vítězslav"
"KSČM","PRO","452101","Pospíšil Oldřich, Ing."
"Sdružení","PRO","452101","Přádka Miroslav, MUDr. Ing. PhD."
"ČSSD","PRO","452101","Rafaj Petr, Ing."
"KSČM","PRO","452101","Recman Svatomír, RSDr., Ing."
"ČSSD","PRO","452101","Richtrová Eva, Ing."
"Sdružení","PRO","452101","Roubal Vít, Ing."
"ČSSD","PRO","452101","Skotnica Petr"
"ČSSD","NEHLASOVAL","452101","Slezák Miroslav"
"NEZ","PRO","452101","Stolař Zdeněk, PhDr."
"Sdružení","PRO","452101","Švejkovský Dalibor, Ing."
"Sdružení","PRO","452101","Svoják Igor, Ing."
"Sdružení","PRO","452101","Urban Ondřej, MUDr."
"ČSSD","NEHLASOVAL","452101","Velčovský Jiří"
"Sdružení","PRO","452101","Vojvodík Josef, Mgr."
"KSČM","PRO","452101","Vrba Ivan, Mgr."
"ČSSD","PRO","452101","Zaoral Jiří"
"ČSSD","PRO","452102","Adam Miroslav, MUDr."
"ČSSD","PRO","452102","Chýlek Jaroslav, Ing."
"ČSSD","PRO","452102","Čudek Jiří, Ing."
"ČSSD","PRO","452102","Cvik Petr, Mgr."
"ČSSD","PRO","452102","Deutscher Karel"
"KSČM","PRO","452102","Dokoupil Miroslav, JUDr."
"Sdružení","PRO","452102","Hájek Michal"
"Sdružení","PRO","452102","Hartmann Petr, Ing."
"KSČM","PRO","452102","Holý Pavel"
"Sdružení","PRO","452102","Hrabec Dalibor, Ing."
"NEZ","PRO","452102","Jurtíková Drahomíra, Mgr."
"Sdružení","PRO","452102","Kocich Pavel, Ing."
"Sdružení","PRO","452102","Konečná Martina, Ing."
"Sdružení","PRO","452102","Konůpka Petr, Ing."
"Sdružení","PRO","452102","Koval Libor"
"ČSSD","PRO","452102","Kožušníková Jarmila, Mgr."
"Sdružení","PRO","452102","Kučík Rafael, Ing."
"Sdružení","PRO","452102","Merta Miroslav"
"ČSSD","PRO","452102","Muroň Jaroslav"
"ČSSD","PRO","452102","Nytrová Pavlína, Ing."
"Sdružení","PRO","452102","Pavlas Ivan, Ing."
"ČSSD","PRO","452102","Pavlátová Štěpánka, Mgr."
"ČSSD","PRO","452102","Pobucký Michal, Bc. DiS."
"ČSSD","PRO","452102","Pobuda Vítězslav"
"KSČM","PRO","452102","Pospíšil Oldřich, Ing."
"Sdružení","PRO","452102","Přádka Miroslav, MUDr. Ing. PhD."
"ČSSD","PRO","452102","Rafaj Petr, Ing."
"KSČM","PRO","452102","Recman Svatomír, RSDr., Ing."
"ČSSD","PRO","452102","Richtrová Eva, Ing."
"Sdružení","PRO","452102","Roubal Vít, Ing."
"ČSSD","PRO","452102","Skotnica Petr"
"ČSSD","PRO","452102","Slezák Miroslav"
"NEZ","PRO","452102","Stolař Zdeněk, PhDr."
"Sdružení","PRO","452102","Švejkovský Dalibor, Ing."
"Sdružení","PRO","452102","Svoják Igor, Ing."
"Sdružení","NEHLASOVAL","452102","Urban Ondřej, MUDr."
"ČSSD","PRO","452102","Velčovský Jiří"
"Sdružení","PRO","452102","Vojvodík Josef, Mgr."
"KSČM","PRO","452102","Vrba Ivan, Mgr."
"ČSSD","PRO","452102","Zaoral Jiří"
"ČSSD","PRO","452103","Adam Miroslav, MUDr."
"ČSSD","PRO","452103","Chýlek Jaroslav, Ing."
"ČSSD","PRO","452103","Čudek Jiří, Ing."
"ČSSD","PRO","452103","Cvik Petr, Mgr."
"ČSSD","PRO","452103","Deutscher Karel"
"KSČM","PRO","452103","Dokoupil Miroslav, JUDr."
"Sdružení","PRO","452103","Hájek Michal"
"Sdružení","PRO","452103","Hartmann Petr, Ing."
"KSČM","PRO","452103","Holý Pavel"
"Sdružení","PRO","452103","Hrabec Dalibor, Ing."
"NEZ","PRO","452103","Jurtíková Drahomíra, Mgr."
"Sdružení","PRO","452103","Kocich Pavel, Ing."
"Sdružení","PRO","452103","Konečná Martina, Ing."
"Sdružení","PRO","452103","Konůpka Petr, Ing."
"Sdružení","PRO","452103","Koval Libor"
"ČSSD","PRO","452103","Kožušníková Jarmila, Mgr."
"Sdružení","PRO","452103","Kučík Rafael, Ing."
"Sdružení","PRO","452103","Merta Miroslav"
"ČSSD","PRO","452103","Muroň Jaroslav"
"ČSSD","PRO","452103","Nytrová Pavlína, Ing."
"Sdružení","PRO","452103","Pavlas Ivan, Ing."
"ČSSD","PRO","452103","Pavlátová Štěpánka, Mgr."
"ČSSD","PRO","452103","Pobucký Michal, Bc. DiS."
"ČSSD","PRO","452103","Pobuda Vítězslav"
"KSČM","PRO","452103","Pospíšil Oldřich, Ing."
"Sdružení","PRO","452103","Přádka Miroslav, MUDr. Ing. PhD."
"ČSSD","PRO","452103","Rafaj Petr, Ing."
"KSČM","PRO","452103","Recman Svatomír, RSDr., Ing."
"ČSSD","PRO","452103","Richtrová Eva, Ing."
"Sdružení","PRO","452103","Roubal Vít, Ing."
"ČSSD","PRO","452103","Skotnica Petr"
"ČSSD","PRO","452103","Slezák Miroslav"
"NEZ","PRO","452103","Stolař Zdeněk, PhDr."
"Sdružení","PRO","452103","Švejkovský Dalibor, Ing."
"Sdružení","PRO","452103","Svoják Igor, Ing."
"Sdružení","PRO","452103","Urban Ondřej, MUDr."
"ČSSD","PRO","452103","Velčovský Jiří"
"Sdružení","PRO","452103","Vojvodík Josef, Mgr."
