"id","legislative_session:number","motion:title","start_date","start_time"
"453260",1,"Zkouška zařízení - hlasování","2010-11-29","09:37:41"
"453261",1,"Zkouška - hlasování tajné","2010-11-29","09:40:29"
"453262",1,"Návrh p.  Konůpka  zařadit do programu  bod diskuse do bodu 13	","2010-11-29","09:42:30"
"453263",1,"4. Schválení programu ustavujícího Zasedání zastupitelstva města Frýdku-Místku","2010-11-29","09:43:06"
"453264",1,"Informace o výsledcích voleb do ZMFM pro volební období 2010 - 2014 ","2010-11-29","09:47:14"
"453265",1,"5. Schválení postupu jednání ZM dle Jednacího řádu ZMFM vč. přílohy č. l volebního řádu ","2010-11-29","09:48:50"
"453266",1,"Návrh na předsedu volební komise - Ing. Jaroslav Chýlek, MBA","2010-11-29","09:51:42"
"453267",1,"Návrh na člena volební komise - MUDr. Adamec","2010-11-29","09:54:17"
"453268",1,"Návrh na člena volební komise - Ing. Adamus","2010-11-29","09:54:47"
"453269",1,"Návrh na ověřovatele zápisu  - MUDr. Adam, MUDr. Přádka","2010-11-29","09:56:21"
"453270",1,"7. Stanovení počtu dlouhodobě uvolněných členů ZMFM - 5 a počet členů rady města - 11 pro v.o. 2010-2014","2010-11-29","09:58:41"
"453271",1,"Návrh, aby všechny volby na zasedání probíhaly veřejně (aklamací) ","2010-11-29","10:32:42"
"453272",1,"Návrh na primátora - Mgr. Petr Cvik","2010-11-29","10:33:57"
"453273",1,"Návrh na náměstka primátora - Mgr. Michal Pobucký, DiS. ","2010-11-29","11:43:21"
"453274",1,"Návrh na náměstka primátora - Ing. Dalibor Hrabec","2010-11-29","11:44:31"
"453275",1,"Návrh na náměstka primátora - Mgr. Michal Novák ","2010-11-29","11:45:34"
"453276",1,"Návrh na náměstka primátora - p. Libor Koval","2010-11-29","11:47:14"
"453277",1,"Návrh na člena RM - MUDr. Miroslav Adam","2010-11-29","12:02:17"
"453278",1,"Návrh na člena RM - Ing. Jaroslav Chýlek, MBA","2010-11-29","12:03:26"
