"group:id","option","vote_event:id","voter:id"
"KSÈM","Pro","24zmh_2010/h001","JUDr. Bronislav Bujok"
"KSÈM","Pro","24zmh_2010/h001","Vladislav Fukala"
"KSÈM","Pro","24zmh_2010/h001","Ing. Jaroslav Gongol CSc."
"KSÈM","Pro","24zmh_2010/h001","PaedDr. Milada Halíková"
"KSÈM","Pro","24zmh_2010/h001","Ing. Miloslav Hanus"
"KSÈM","Pro","24zmh_2010/h001","Monika Havlíèková"
"KSÈM","Pro","24zmh_2010/h001","Ing. Eduard Heczko"
"KSÈM","Pro","24zmh_2010/h001","Alice Hegyi"
"KSÈM","Pro","24zmh_2010/h001","Ing. Karel Chodura"
"KSÈM","Pro","24zmh_2010/h001","Jaroslav Jeziorski"
"KSÈM","Pro","24zmh_2010/h001","Miroslav Kronenberg"
"KSÈM","Pro","24zmh_2010/h001","Dana Brùnová"
"KSÈM","Pro","24zmh_2010/h001","Karel Sachmerda"
"KSÈM","Pro","24zmh_2010/h001","Ing. Jiøí Šebesta"
"KSÈM","Pro","24zmh_2010/h001","Mgr. Rudolfa Treichelová"
"ÈSSD","Pro","24zmh_2010/h001","Jiøina Brablcová"
"ÈSSD","Pro","24zmh_2010/h001","František Chobot"
"ÈSSD","Nehlasoval","24zmh_2010/h001","Jaroslava Koneèná"
"ÈSSD","Pro","24zmh_2010/h001","Vojtìch Kozák"
"ÈSSD","Pro","24zmh_2010/h001","Radim Mudra"
"ÈSSD","Pro","24zmh_2010/h001","PaedDr. Svatopluk Novák"
"ÈSSD","Pro","24zmh_2010/h001","Ing. Zdenìk Osmanczyk"
"ÈSSD","Pro","24zmh_2010/h001","Ing. Bøetislav Petr"
"ÈSSD","Pro","24zmh_2010/h001","Miroslav Polák"
"ÈSSD","Pro","24zmh_2010/h001","Jarmila Svìtlíková"
"ÈSSD","Pro","24zmh_2010/h001","Ing. Tamara Šeligová"
"Hnutí p.H.","Nehlasoval","24zmh_2010/h001","MUDr. Jiøina Heroková"
"Hnutí p.H.","Pro","24zmh_2010/h001","Mgr. Rudolf Šimek"
"ODS","Nehlasoval","24zmh_2010/h001","Libor Ètvrka"
"ODS","Pro","24zmh_2010/h001","MUDr. Roman Dziedzinskyj"
"Bez p.p","Nehlasoval","24zmh_2010/h001","Ing. Zdenìk Fikáèek"
"ODS","Pro","24zmh_2010/h001","Ing. Radek Foldyna"
"ODS","Pro","24zmh_2010/h001","Ing. Tomáš Foldyna"
"ODS","Nehlasoval","24zmh_2010/h001","Dalibor Klimša"
"ODS","Pro","24zmh_2010/h001","Tomáš Kovalèík"
"ODS","Pro","24zmh_2010/h001","Ing. Karel Langer"
"ODS","Nehlasoval","24zmh_2010/h001","Ing. Petr Podstavka"
"ODS","Omluven","24zmh_2010/h001","Aleš Rádl"
"ODS","Nehlasoval","24zmh_2010/h001","MUDr. Radomil Schreiber"
"ODS","Omluven","24zmh_2010/h001","Ing. Adam Støíšovský"
"ODS","Pro","24zmh_2010/h001","MUDr. Karel Žïánský"
"KDU-ÈSL","Pro","24zmh_2010/h001","Bc. Marek Plawny"
"KDU-ÈSL","Omluven","24zmh_2010/h001","Ing. Jiøí Špiøík"
"KSÈM","Pro","24zmh_2010/h002","JUDr. Bronislav Bujok"
"KSÈM","Pro","24zmh_2010/h002","Vladislav Fukala"
"KSÈM","Pro","24zmh_2010/h002","Ing. Jaroslav Gongol CSc."
"KSÈM","Pro","24zmh_2010/h002","PaedDr. Milada Halíková"
"KSÈM","Pro","24zmh_2010/h002","Ing. Miloslav Hanus"
"KSÈM","Pro","24zmh_2010/h002","Monika Havlíèková"
"KSÈM","Pro","24zmh_2010/h002","Ing. Eduard Heczko"
"KSÈM","Pro","24zmh_2010/h002","Alice Hegyi"
"KSÈM","Pro","24zmh_2010/h002","Ing. Karel Chodura"
"KSÈM","Pro","24zmh_2010/h002","Jaroslav Jeziorski"
"KSÈM","Pro","24zmh_2010/h002","Miroslav Kronenberg"
"KSÈM","Pro","24zmh_2010/h002","Dana Brùnová"
"KSÈM","Pro","24zmh_2010/h002","Karel Sachmerda"
"KSÈM","Pro","24zmh_2010/h002","Ing. Jiøí Šebesta"
"KSÈM","Pro","24zmh_2010/h002","Mgr. Rudolfa Treichelová"
"ÈSSD","Pro","24zmh_2010/h002","Jiøina Brablcová"
"ÈSSD","Pro","24zmh_2010/h002","František Chobot"
"ÈSSD","Nehlasoval","24zmh_2010/h002","Jaroslava Koneèná"
"ÈSSD","Pro","24zmh_2010/h002","Vojtìch Kozák"
"ÈSSD","Pro","24zmh_2010/h002","Radim Mudra"
"ÈSSD","Pro","24zmh_2010/h002","PaedDr. Svatopluk Novák"
"ÈSSD","Pro","24zmh_2010/h002","Ing. Zdenìk Osmanczyk"
"ÈSSD","Pro","24zmh_2010/h002","Ing. Bøetislav Petr"
"ÈSSD","Pro","24zmh_2010/h002","Miroslav Polák"
"ÈSSD","Pro","24zmh_2010/h002","Jarmila Svìtlíková"
"ÈSSD","Pro","24zmh_2010/h002","Ing. Tamara Šeligová"
"Hnutí p.H.","Nehlasoval","24zmh_2010/h002","MUDr. Jiøina Heroková"
"Hnutí p.H.","Pro","24zmh_2010/h002","Mgr. Rudolf Šimek"
"ODS","Pro","24zmh_2010/h002","Libor Ètvrka"
"ODS","Pro","24zmh_2010/h002","MUDr. Roman Dziedzinskyj"
