vote_event_id,voter_id,option,group_id,
2001,2014-560481-1-809-1,yes,nk_party,
2001,2014-560481-1-801-1,yes,nk_party,
2001,2014-560481-1-807-1,yes,nk_party,
2001,2014-560481-1-810-1,yes,nk_party,
2001,2014-560481-1-802-1,yes,nk_party,
2001,2014-560481-1-804-1,yes,nk_party,
2001,2014-560481-1-806-1,yes,nk_party,
2002,2014-560481-1-809-1,yes,nk_party,
2002,2014-560481-1-801-1,yes,nk_party,
2002,2014-560481-1-807-1,yes,nk_party,
2002,2014-560481-1-810-1,yes,nk_party,
2002,2014-560481-1-802-1,yes,nk_party,
2002,2014-560481-1-804-1,yes,nk_party,
2002,2014-560481-1-806-1,yes,nk_party,
2003,2014-560481-1-809-1,yes,nk_party,
2003,2014-560481-1-801-1,yes,nk_party,
2003,2014-560481-1-807-1,yes,nk_party,
2003,2014-560481-1-810-1,abstain,nk_party,
2003,2014-560481-1-802-1,yes,nk_party,
2003,2014-560481-1-804-1,yes,nk_party,
2003,2014-560481-1-806-1,yes,nk_party,
2004,2014-560481-1-809-1,yes,nk_party,
2004,2014-560481-1-801-1,yes,nk_party,
2004,2014-560481-1-807-1,yes,nk_party,
2004,2014-560481-1-810-1,yes,nk_party,
2004,2014-560481-1-802-1,yes,nk_party,
2004,2014-560481-1-804-1,yes,nk_party,
2004,2014-560481-1-806-1,abstain,nk_party,
2005,2014-560481-1-809-1,yes,nk_party,
2005,2014-560481-1-801-1,yes,nk_party,
2005,2014-560481-1-807-1,yes,nk_party,
2005,2014-560481-1-810-1,yes,nk_party,
2005,2014-560481-1-802-1,yes,nk_party,
2005,2014-560481-1-804-1,yes,nk_party,
2005,2014-560481-1-806-1,yes,nk_party,
2006,2014-560481-1-809-1,yes,nk_party,
2006,2014-560481-1-801-1,yes,nk_party,
2006,2014-560481-1-807-1,yes,nk_party,
2006,2014-560481-1-810-1,yes,nk_party,
2006,2014-560481-1-802-1,yes,nk_party,
2006,2014-560481-1-804-1,yes,nk_party,
2006,2014-560481-1-806-1,yes,nk_party,
2007,2014-560481-1-809-1,yes,nk_party,
2007,2014-560481-1-801-1,yes,nk_party,
2007,2014-560481-1-807-1,yes,nk_party,
2007,2014-560481-1-810-1,yes,nk_party,
2007,2014-560481-1-802-1,yes,nk_party,
2007,2014-560481-1-804-1,yes,nk_party,
2007,2014-560481-1-806-1,yes,nk_party,
2008,2014-560481-1-809-1,yes,nk_party,
2008,2014-560481-1-801-1,yes,nk_party,
2008,2014-560481-1-807-1,yes,nk_party,
2008,2014-560481-1-810-1,yes,nk_party,
2008,2014-560481-1-802-1,yes,nk_party,
2008,2014-560481-1-804-1,yes,nk_party,
2008,2014-560481-1-806-1,yes,nk_party,
2009,2014-560481-1-809-1,yes,nk_party,
2009,2014-560481-1-801-1,yes,nk_party,
2009,2014-560481-1-807-1,yes,nk_party,
2009,2014-560481-1-810-1,yes,nk_party,
2009,2014-560481-1-802-1,yes,nk_party,
2009,2014-560481-1-804-1,yes,nk_party,
2009,2014-560481-1-806-1,yes,nk_party,
2010,2014-560481-1-809-1,yes,nk_party,
2010,2014-560481-1-801-1,yes,nk_party,
2010,2014-560481-1-807-1,yes,nk_party,
2010,2014-560481-1-810-1,yes,nk_party,
2010,2014-560481-1-802-1,yes,nk_party,
2010,2014-560481-1-804-1,yes,nk_party,
2010,2014-560481-1-806-1,yes,nk_party,
2011,2014-560481-1-809-1,yes,nk_party,
2011,2014-560481-1-801-1,yes,nk_party,
2011,2014-560481-1-807-1,yes,nk_party,
2011,2014-560481-1-810-1,yes,nk_party,
2011,2014-560481-1-802-1,yes,nk_party,
2011,2014-560481-1-804-1,yes,nk_party,
2011,2014-560481-1-806-1,yes,nk_party,
2012,2014-560481-1-809-1,yes,nk_party,
2012,2014-560481-1-801-1,yes,nk_party,
2012,2014-560481-1-807-1,yes,nk_party,
2012,2014-560481-1-810-1,abstain,nk_party,
2012,2014-560481-1-802-1,yes,nk_party,
2012,2014-560481-1-804-1,yes,nk_party,
2012,2014-560481-1-806-1,yes,nk_party,
2013,2014-560481-1-809-1,yes,nk_party,
2013,2014-560481-1-801-1,yes,nk_party,
2013,2014-560481-1-807-1,yes,nk_party,
2013,2014-560481-1-810-1,yes,nk_party,
2013,2014-560481-1-802-1,yes,nk_party,
2013,2014-560481-1-804-1,yes,nk_party,
2013,2014-560481-1-806-1,yes,nk_party,
2014,2014-560481-1-809-1,yes,nk_party,
2014,2014-560481-1-801-1,yes,nk_party,
2014,2014-560481-1-807-1,yes,nk_party,
2014,2014-560481-1-810-1,yes,nk_party,
2014,2014-560481-1-802-1,yes,nk_party,
2014,2014-560481-1-804-1,yes,nk_party,
2014,2014-560481-1-806-1,yes,nk_party,
3001,2014-560481-1-809-1,yes,nk_party,
3001,2014-560481-1-801-1,yes,nk_party,
3001,2014-560481-1-807-1,absent,nk_party,
3001,2014-560481-1-810-1,yes,nk_party,
3001,2014-560481-1-802-1,yes,nk_party,
3001,2014-560481-1-804-1,yes,nk_party,
3001,2014-560481-1-806-1,yes,nk_party,
3002,2014-560481-1-809-1,yes,nk_party,
3002,2014-560481-1-801-1,yes,nk_party,
3002,2014-560481-1-807-1,absent,nk_party,
3002,2014-560481-1-810-1,yes,nk_party,
3002,2014-560481-1-802-1,yes,nk_party,
3002,2014-560481-1-804-1,yes,nk_party,
3002,2014-560481-1-806-1,yes,nk_party,
3003,2014-560481-1-809-1,yes,nk_party,
3003,2014-560481-1-801-1,yes,nk_party,
3003,2014-560481-1-807-1,absent,nk_party,
3003,2014-560481-1-810-1,yes,nk_party,
3003,2014-560481-1-802-1,yes,nk_party,
3003,2014-560481-1-804-1,yes,nk_party,
3003,2014-560481-1-806-1,yes,nk_party,
3004,2014-560481-1-809-1,yes,nk_party,
3004,2014-560481-1-801-1,yes,nk_party,
3004,2014-560481-1-807-1,absent,nk_party,
3004,2014-560481-1-810-1,yes,nk_party,
3004,2014-560481-1-802-1,yes,nk_party,
3004,2014-560481-1-804-1,yes,nk_party,
3004,2014-560481-1-806-1,yes,nk_party,
