id,legislative_session:number,start_date,item:title,item:number,motion:title,
1001,1,2014-02-26,Schválení programu jednání,2,Zastupitelstvo obce Hluboš schvaluje program veřejného zasedání.,
1002,1,2014-02-26,Volba ověřovatele zápisu,3,Zastupitelstvo obce Hluboš určuje ověřovateli zápisu Lumíra Faltyse a Vlastimila Fialu.,
1003,1,2014-02-26,ZŠ Hluboš – organizační,4,"Zastupitelstvo obce Hluboš schvaluje žádost o příspěvek 5.000,- Kč na opravu odvětrávací šachty z rozpočtu obce.",
1004,1,2014-02-26,Rozpočtové opatření č. 1 z 12.2.2014,5,"Zastupitelstvo obce Hluboš souhlasí, aby částka ve výši 15.000,-Kč byla převedena z paragrafu 2212 na opravu dna rybníku na návsi jílem. Tato částka bude promítnuta v rozpočtovém opatření č. 1.",
1005,1,2014-02-26,Rozpočtové opatření č. 1 z 12.2.2014,5,Zastupitelstvo obce Hluboš schvaluje Rozpočtové opatření č. 1 rozpočtu obce Hluboš k 12.2.2014. Rozpis položek se provede dle mandátu starosty.,
1006,1,2014-02-26,Nájemní smlouva na pozemky tzv. „Lesoparku“ za OÚ,6,"Zastupitelstvo obce Hluboš souhlasí s pronájmem pozemků parc. č. 52/9, 52/10, 52/11, 52/12 a 52/13. Starosta dojedná s majiteli pozemků potřebnou nájemní smlouvu, která bude předložena ke schválení na dalším zasedání ZO.",
1007,1,2014-02-26,Směrnice č. 21/2014 – Schvalování účetních závěrek,7,Zastupitelstvo obce Hluboš schvaluje Směrnici č. 21/2014 – Schvalování účetních závěrek.,
1008,1,2014-02-26,Žádost o finanční příspěvek občana obce,8,"Zastupitelstvo obce Hluboš schvaluje žádost o finanční příspěvek ve výši 20.000,- Kč na opravenou komunikaci v „Koutě“.",
1009,1,2014-02-26,Žádost o finanční příspěvek občana obce,8,"Zastupitelstvo obce souhlasí s příspěvkem ve výši 10.000,- Kč za opravu místní komunikace, která je ve vlastnictví obce jako dar s mandátem k podpisu darovací smlouvy s tím, že práce byla provedena bez souhlasu majitele pozemku a v případě dalšího opakování nebude příspěvek odsouhlasen a může dojít i k postihu. Dar se promítne pouze v položkovém rozpočtu obce.",
1010,1,2014-02-26,Způsob vymáhání nezaplacených poplatků za stočné,9,"Zastupitelstvo obce Hluboš rozhodlo, aby nejvyšší pohledávka byla soudně vymáhána.",
1011,1,2014-02-26,Organizační - Informace,10,Zastupitelstvo obce Hluboš souhlasí s terénními úpravami na obecním pozemku parc. č. 1070/2.,
1012,1,2014-02-26,Organizační - Informace,10,Zastupitelstvo obce Hluboš schvaluje podání žádosti na KÚ o provedení kontroly hospodaření na rok 2014.,
1013,1,2014-02-26,Organizační - Informace,10,Zastupitelstvo obce Hluboš schvaluje žádost o příspěvek na soutěž o „Pohár hejtmana Středočeského kraje“.,
2001,2,2014-03-26,Schválení programu jednání,2,Zastupitelstvo obce Hluboš souhlasí s zařazením bodu do programu - Revokaci usnesení č. 12 z 26.2.2014 – Žádost o finanční příspěvek na hasičskou soutěž o „Pohár hejtmana Středočeského kraje“.,
2002,2,2014-03-26,Schválení programu jednání,2,Zastupitelstvo obce Hluboš schvaluje program veřejného zasedání.,
2003,2,2014-03-26,Volba ověřovatele zápisu,3,Zastupitelstvo obce Hluboš určuje ověřovateli zápisu Lumíra Faltyse a Vlastimila Fialu.,
2004,2,2014-03-26,Závěrečný účet Hluboš k 31.12.2013 a Účetní závěrka za rok 2013,5,"Zastupitelstvo obce Hluboš projednání závěrečného účtu obce Hluboš k 31.12.2013 ( spolu se Zprávou o výsledku přezkoumání hospodaření obce za rok 2013, která je nedílnou součástí závěrečného účtu), uzavírá vyjádřením souhlasu s celoročním hospodařením a to bez výhrad.",
2005,2,2014-03-26,Závěrečný účet Hluboš k 31.12.2013 a Účetní závěrka za rok 2013,5,"Zastupitelstvo obce Hluboš schvaluje účetní závěrku za rok 2013. Protokol Schválení závěrky je nedílnou součástí dokumentace, který se zasílá do Státní pokladny.",
2006,2,2014-03-26,Dohoda o ukončení nájmu,6,Zastupitelstvo obce Hluboš schvaluje Dohodu o ukončení nájmu a dává mandát starostovi k podpisu této dohody.,
2007,2,2014-03-26,Nájemní smlouva na pozemky tzv. „Lesoparku“ za OÚ,6,"Zastupitelstvo obce Hluboš schvaluje Smlouvu o nájmu pozemků parc. č. 52/9, 52/10, 52/11, 52/12, 52/13 a 52/32 a dává mandát starostovi k podpisu této smlouvy.",
2008,2,2014-03-26,Ukončení podpory Windows XP (závislé na výkonu státní i místní správy!),7,"Zastupitelstvo obce Hluboš souhlasí s pořízením PC dle nabídky , která je součástí tohoto usnesení, ve výši cca 24.900,- Kč.",
2009,2,2014-03-26,Odepsání pohledávky v podrozvaze,8,"Zastupitelstvo obce Hluboš souhlasí s vyřazením tří pohledávek ve celkové výši 1.500,- Kč.",
2010,2,2014-03-26,Organizační - Informace,10,"Zastupitelstvo obce Hluboš souhlasí s darem ve výši 2.500,- na provoz pojízdné prodejny.",
