id,name,organization:party,organization:affiliation,organization:list,
2014-540242-1-901-1,Čajan Jiří Bc.,nk_party,bezpp_affiliation,901_list,
2014-540242-1-902-3,Dědičík František JUDr.,nk_party,bezpp_affiliation,902_list,
2014-540242-1-901-2,Kovalčík Vladimír Ing.,nk_party,bezpp_affiliation,901_list,
2014-540242-1-901-3,Krejčí Jiří,nk_party,bezpp_affiliation,901_list,
2014-540242-1-902-1,Mašek Josef,nk_party,bezpp_affiliation,902_list,
2014-540242-1-901-6,Medalová Renata,nk_party,bezpp_affiliation,901_list,
2014-540242-1-129-3,Prokeš Jiří,snk-ed_party,snk-ed_affiliation,129_list,
2014-540242-1-902-2,Vykysalová Dita,nk_party,bezpp_affiliation,902_list,
2014-540242-1-901-4,Zejda Josef,nk_party,bezpp_affiliation,901_list,
2014-540242-1-129-1,Mařan Břetislav Bc.,snk-ed_party,bezpp_affiliation,129_list,
