id,legislative_session:number,start_date,item:title,item:number,motion:title,
1001,1,2014-11-04,Určení ověřovatelů a zapisovatele,1,Zastupitelstvo obce Holin určuje ověřovateli zápisu pana Pavla Hanyše a pani Jaroslavu Hakenovou a zapisovatelem pani Irenu Lufinkovou.,
1002,1,2014-11-04,program,2,hlasování o programu,
1003,1,2014-11-04,volba starosty a místostarosty,3,Zastupitelstvo obce Holín schválilo zvolení jednoho mistostarosty.,
1004,1,2014-11-04,volba starosty a místostarosty,3,"Zastupitelstvo obce Holín v souladu s §84 odst. 2 písmo k) zákona o obcích určuje, že pro vykon funkce starosty obce bude člen zastupitelstva dlouhodobě uvolněn",
1005,1,2014-11-04,volba starosty a místostarosty,3,"Zastupitelstvo obce Holín schvaluje veřejné hlasování, jako způsob volby starosty a mistostarosty, postupem uvedeným předsedajícím.",
1006,1,2014-11-04,Zřízení finančního a kontrolního výboru,4,Zastupitelstvo obce Holin zřizuje finanční výbor a kontrolní výbor. Oba výbory budou tiičlenné.,
1007,1,2014-11-04,Zřízení finančního a kontrolního výboru,4,Zastupitelstvo obce Holln volí členafinančniho výboru pana Jiřího Veselku MBA,
1008,1,2014-11-04,Zřízení finančního a kontrolního výboru,4,Zastupitelstvo obce Holln volí členafinančniho výboru paní Ing. Danu Malou,
1009,1,2014-11-04,Zřízení finančního a kontrolního výboru,4,Zastupitelstvo obce Holin volí člena kontrolního výboru pana Jana Havelku,
1010,1,2014-11-04,Rozhodnutí o odměnách za výkon funkcí neuvolněných členů zastupitelstva,5,"Zastupitelstvo obce Holin v souladu s § 72 a §84 odst. 2 písmo n) zákona o obcích stanoví odměnu za výkon funkce neuvolněného člena zastupitelstva obce ve  výši 450,- Kč měsíčně. Odměna bude poskytována ode dne přijetí tohoto usnesení a v případě náhradníka ode dne prvního zasedání zastupitelstva, jehož se zúčastnil",
1011,1,2014-11-04,Rozhodnutí o odměnách za výkon funkcí neuvolněných členů zastupitelstva,5,"Zastupitelstvo obce Holin v souladu s §72 a §84 odst. 2 písmo n) zákona o obcích stanoví odměnu za výkon funkce předsedy výboru zastupitelstva ve výši 850,- Kč měsíčně. Odměna bude poskytována ode dne zvolení do funkce předsedy výboru.",
1012,1,2014-11-04,Rozhodnutí o odměnách za výkon funkcí neuvolněných členů zastupitelstva,5,"Zastupitelstvo obce Holin v souladu s §77 odst. 3 písmo aj zákona o obcích stanoví, že při souběhu výkonu několika funkcí se odměna neuvolněnému členovi zastupitelstva obce poskytne pouze za vykon funkce, za niž podle rozhodnutí zastupitelstva náleží nejvyšší odměna.",
2001,2,2014-11-18,program,1,hlasování o programu,
2002,2,2014-11-18,vyhodnocení nabídek k vyhlášenému Záměru na prodej částí obecních pozemků p.č. 59/5 v k.ú. Holín (ostatní plocha – neplodná půda) o výměře 45 m2 a p.č. 58/9 v k.ú. Holín (zahrada) o výměře 10 m2,2,"Obec Holín obdržela na vyhlášený záměr {prodej částí obecních pozemků p.č. 59/5 v k.ú. Holín (ostatní plocha – neplodná půda) o výměře 45 m2 a p.č. 58/9 v k.ú. Holín (zahrada) o výměře 10 m2} jednu nabídku. Zájemci jsou manželé Miroslav a Stanislava Menclovi, bytem Holín. Žadatelé uhradí veškeré náklady spojené s prodejem pozemků (vypracování smlouvy o prodeji pozemků, podání návrhu na vklad do KN, částku za pozemky ve výši 350,- Kč/m2).",
