vote_event_id,voter_id,option,group_id,
1001,2010-597350-1-129-2,yes,snk-ed_party,
1001,2010-597350-1-904-3,yes,nk_party,
1001,2010-597350-1-901-2,yes,nk_party,
1001,2010-597350-1-902-1,yes,nk_party,
1001,2010-597350-1-47-9,yes,kscm_party,
1001,2010-597350-1-903-4,yes,nk_party,
1001,2010-597350-1-901-4,yes,nk_party,
1001,2010-597350-1-902-2,absent,nk_party,
1001,2010-597350-1-902-3,yes,nk_party,
1001,2010-597350-1-904-4,absent,nk_party,
1001,2010-597350-1-902-14,yes,nk_party,
1001,2010-597350-1-901-1,yes,nk_party,
1001,2010-597350-1-129-6,yes,snk-ed_party,
1001,2010-597350-1-47-1,yes,kscm_party,
1001,2010-597350-1-129-12,yes,snk-ed_party,
1002,2010-597350-1-129-2,yes,snk-ed_party,
1002,2010-597350-1-904-3,yes,nk_party,
1002,2010-597350-1-901-2,yes,nk_party,
1002,2010-597350-1-902-1,yes,nk_party,
1002,2010-597350-1-47-9,yes,kscm_party,
1002,2010-597350-1-903-4,yes,nk_party,
1002,2010-597350-1-901-4,yes,nk_party,
1002,2010-597350-1-902-2,absent,nk_party,
1002,2010-597350-1-902-3,yes,nk_party,
1002,2010-597350-1-904-4,absent,nk_party,
1002,2010-597350-1-902-14,yes,nk_party,
1002,2010-597350-1-901-1,yes,nk_party,
1002,2010-597350-1-129-6,yes,snk-ed_party,
1002,2010-597350-1-47-1,yes,kscm_party,
1002,2010-597350-1-129-12,yes,snk-ed_party,
1003,2010-597350-1-129-2,yes,snk-ed_party,
1003,2010-597350-1-904-3,yes,nk_party,
1003,2010-597350-1-901-2,yes,nk_party,
1003,2010-597350-1-902-1,yes,nk_party,
1003,2010-597350-1-47-9,yes,kscm_party,
1003,2010-597350-1-903-4,yes,nk_party,
1003,2010-597350-1-901-4,yes,nk_party,
1003,2010-597350-1-902-2,absent,nk_party,
1003,2010-597350-1-902-3,yes,nk_party,
1003,2010-597350-1-904-4,absent,nk_party,
1003,2010-597350-1-902-14,yes,nk_party,
1003,2010-597350-1-901-1,yes,nk_party,
1003,2010-597350-1-129-6,yes,snk-ed_party,
1003,2010-597350-1-47-1,yes,kscm_party,
1003,2010-597350-1-129-12,yes,snk-ed_party,
1004,2010-597350-1-129-2,yes,snk-ed_party,
1004,2010-597350-1-904-3,yes,nk_party,
1004,2010-597350-1-901-2,yes,nk_party,
1004,2010-597350-1-902-1,yes,nk_party,
1004,2010-597350-1-47-9,yes,kscm_party,
1004,2010-597350-1-903-4,yes,nk_party,
