id,name,organization:party,organization:affiliation,organization:list,
2010-532126-1-53-4,BEČKA Bohumil,ods_party,bezpp_affiliation,53_list,
2010-532126-1-47-1,CÁBOVÁ Marie,kscm_party,kscm_affiliation,47_list,
2010-532126-1-902-3,ČERMÁKOVÁ Václava Ing.,nk_party,bezpp_affiliation,902_list,
2010-532126-1-901-3,DOKSANSKÝ Miroslav Ing.,nk_party,bezpp_affiliation,901_list,
2010-532126-1-53-2,DOLEJŠOVÁ Kateřina Ing.arch.,ods_party,bezpp_affiliation,53_list,
2010-532126-1-53-1,DRÁB Vladimír Ing.,ods_party,bezpp_affiliation,53_list,
2010-532126-1-901-1,HAAS František,nk_party,bezpp_affiliation,901_list,
2010-532126-1-53-3,HAVLÍK Josef,ods_party,bezpp_affiliation,53_list,
2010-532126-1-53-7,KOLRUSZ Jiří Ing.,ods_party,bezpp_affiliation,53_list,
2010-532126-1-902-1,MACHOVSKÁ Věra Ing.,nk_party,bezpp_affiliation,902_list,
2010-532126-1-53-6,PILÁTOVÁ Štěpánka,ods_party,bezpp_affiliation,53_list,
2010-532126-1-53-5,RANDÁKOVÁ Monika Ing. Ph.D.,ods_party,bezpp_affiliation,53_list,
2010-532126-1-53-8,STŘELEČKOVÁ Eva,ods_party,bezpp_affiliation,53_list,
2010-532126-1-47-10,VOSTRÁ Miloslava Bc.,kscm_party,kscm_affiliation,47_list,
2010-532126-1-901-2,VOTAVA Tomáš,nk_party,bezpp_affiliation,901_list,
2010-532126-1-47-4,SOCHNA Jiří,kscm_party,bezpp_affiliation,47_list,
