id,legislative_session:number,start_date,item:title,item:number,motion:title,
1001,1,2014-11-03,program,3,hlasování o programu,
1002,1,2014-11-03,volba návrhové komise,4,"návrh na složení návrhové komise: Předseda - ing. Jiří Kolrusz, členové: Jiří Sochna a Pavel Stádník. Za ověřovatele zápisu byli jmenováni: Pavel Horník a Tomáš Votava",
1003,1,2014-11-03,volba starosty,5,"zastupitelé zvolení na vítězné kandidátce „Česká vesnice" navrhují, aby starostou obce byl zvolen ing. Vladimír Dráb",
1004,1,2014-11-03,volba místostarosty a členů rady obce,6,"starosta navrhl, aby místostarostou obce byl zvolen p. František Haas",
1005,1,2014-11-03,volba místostarosty a členů rady obce,6,"starosta navrhl, aby členy rady byli zvoleni: Ing. Dolejšová, Ing. Doksanský a p. Stádník",
1006,1,2014-11-03,zřízení finančního výboru,7,Do funkce předsedkyně finančního výboru navrhl starosta paní ing. Moniku Randákovou,
1007,1,2014-11-03,zřízení finančního výboru,7,Za členy finančního výboru starosta navrhl paní Š. Pilátovou a J. Petáka.,
1008,1,2014-11-03,zřízení kontrolního výboru,8,"Starosta navrhl, aby předsedkyní kontrolního výboru byla zvolena ing. Miloslava Vostrá",
1009,1,2014-11-03,zřízení kontrolního výboru,8,Za členy kontrolního výboru starosta navrhl p. Jiřího Sochnu a Pavla Horníka.,
1010,1,2014-11-03,schválení jednacího řádu zastupitelstva,9,Kdo souhlasí s návrhem jednacího řádu zastupitelstva pro volební období 2014-2018,
1011,1,2014-11-03,návrh odměn členům zastupitelstva,10,"Starosta navrhuje, aby odměny neuvolněným členům zastupitelstva byly, oproti výši podle vládního nařízení, sníženy o 10%",
1012,1,2014-11-03,různé,11,Schválení výsledku výběrového řízení a smlouvy s dodavatelem zametacího vozu,
1013,1,2014-11-03,různé,11,Schválení dodatku o navýšení ceny díla na akci „Revitalizace lesoparku Háj",
1014,1,2014-11-03,různé,11,Schválení dodatku o navýšení ceny díla na akci „Vítejte v Bráškově - podpora a rozvoj cestovního ruchu,
1015,1,2014-11-03,různé,11,Údržba veřejné zeleně - vypsání výběrového řízení,
1016,1,2014-11-03,usnesení a závěr,13,Kdo souhlasí s předloženým návrhem usnesení?,
2001,2,2014-12-15,program,1,hlasování o programu,
2002,2,2014-12-15,program výstavby obce,2,Kdo souhlasí s aktualizovaným Programem výstavby obce,
2003,2,2014-12-15,zpráva o hospodaření obce k 30.11.2014,3,"Kdo souhlasí, abychom vzali zprávu o hospodaření obce k 30.11.-2014 na vědomí",
2004,2,2014-12-15,změna rozpočtu na rok 2014,4,Kdo souhlasí s návrhem 5. změny rozpočtu a s likvidací nepotřebného materiálu,
2005,2,2014-12-15,návrh rozpočtu na rok 2015,5,"Kdo souhlasí s návrhem rozpočtu na rok 2015 jako vyrovnaným s příjmy a výdaji ve výši 22.461.000,- Kč?",
2006,2,2014-12-15,rozpočtový výhled na roky 2016-2018,6,Kdo souhlasí s rozpočtovým výhledem na roky 2016-2018?,
2007,2,2014-12-15,různé,7,"Kdo souhlasí s s předloženým výsledkem výběrového řízení a uzavřením smlouvy s vybraným dodavatelem firmou KHL - EKO, a.s. za cenu 1.938.474,41 Kč bez DPH?",
2008,2,2014-12-15,různé,7,"Kdo souhlasí s s předloženým výsledkem výběrového řízení a uzavřením smlouvy s vybraným dodavatelem Bc. Pavlínou Novotnou za cenu 385.667,50 Kč bez DPH?",
2009,2,2014-12-15,různé,7,"Kdo souhlasí s předloženým výsledkem poptávkového řízení na údržbu veřejného a uzavřením smlouvy s vybraným dodavatelem Bc. Janem Novotným za cenu 311.687,50 Kč?",
2010,2,2014-12-15,různé,7,"Kdo souhlasí s tím, abychom podali žádost o dotaci na úpravu pomníku?",
2011,2,2014-12-15,různé,7,Kdo souhlasí s vypsáním nového výběrového řízení na zhotovitele akce „Stavební úpravy a rozšíření kapacity MŠ"?,
2012,2,2014-12-15,usnesení a závěr,9,Kdo souhlasí s předloženým návrhem usnesením?,
3001,3,2015-03-09,program,1,hlasování o programu,
3002,3,2015-03-09,kontrola plnění usnesení 1. zasedání,2,"Kdo souhlasí, abychom vzali zprávu o kontrole plnění usnesení 1. zasedání na vědomí",
3003,3,2015-03-09,výsledek hospodaření obce k 31.12.2014,3,"Kdo souhlasí, abychom vzali výsledek hospodaření obce k 31.12.2014 na vědomí?",
3004,3,2015-03-09,návrh 1.změny rozpočtu na rok 2015,4,Kdo souhlasí s návrhem 1. změny rozpočtu na rok 2015?,
3005,3,2015-03-09,změna pojistné smlouvy s ČP a.s.,5,Kdo souhlasí se schválení předložené změny pojistné smlouvy s CP a.s.?,
3006,3,2015-03-09,změna o provedení implementace ochrany osobních údajů,6,Kdo souhlasí se schválením předložené smlouvy,
3007,3,2015-03-09,konkurz na ředitele MŠ,7,"Kdo souhlasí, abychom vzali informaci na vědomí?",
3008,3,2015-03-09,smlouva o dílo na akci "stavební úpravy a rozšíření kapacity MŠ",8,Kdo souhlasí s uzavřením předložené smlouvy o dílo,
3009,3,2015-03-09,dobrovolný svazek obcí pro ekonomickou spolupráci,9,Kdo souhlasí s předloženým návrhem na založení Dobrovolného svazku obcí?,
3010,3,2015-03-09,schválení účetní závěrky za rok 2014,10,Kdo souhlasí se schválením účetní závěrky na rok 2014?,
3011,3,2015-03-09,odpisový plán na rok 2015,11,Kdo souhlasí se schválením odpisového plánu na rok 2015,
3012,3,2015-03-09,různé,12,Kdo souhlasí se schválením předložených smluv o směně pozemků,
3013,3,2015-03-09,různé,12,Kdo souhlasí se schválením předložené darovací smlouvy,
3014,3,2015-03-09,různé,12,Kdo souhlasí se schválením záměru na směnu pozemků s ing. Čermákem,
3015,3,2015-03-09,různé,12,Kdo souhlasí s uzavřením smlouvy o zabezpečení přípravy žádosti o dotaci na akci „Rozvod optovodičů a varovného systému v obci Braškov,
3016,3,2015-03-09,různé,12,Kdo souhlasí s uzavřením smlouvy o zabezpeční přípravy žádosti o dotaci na rekonstrukci místních komunikací,
