vote_event_id,voter_id,option,group_id,
1001,2014-532126-1-901-6,yes,nk_party,
1001,2014-532126-1-901-3,yes,nk_party,
1001,2014-532126-1-901-2,yes,nk_party,
1001,2014-532126-1-901-1,yes,nk_party,
1001,2014-532126-1-902-1,yes,nk_party,
1001,2014-532126-1-902-7,yes,nk_party,
1001,2014-532126-1-901-4,yes,nk_party,
1001,2014-532126-1-901-7,yes,nk_party,
1001,2014-532126-1-901-8,yes,nk_party,
1001,2014-532126-1-901-10,yes,nk_party,
1001,2014-532126-1-901-9,yes,nk_party,
1001,2014-532126-1-47-2,yes,kscm_party,
1001,2014-532126-1-901-5,yes,nk_party,
1001,2014-532126-1-47-7,yes,kscm_party,
1001,2014-532126-1-902-2,yes,nk_party,
1001,2014-532126-1-901-11,abstain,nk_party,
1002,2014-532126-1-901-6,yes,nk_party,
1002,2014-532126-1-901-3,yes,nk_party,
1002,2014-532126-1-901-2,yes,nk_party,
1002,2014-532126-1-901-1,yes,nk_party,
1002,2014-532126-1-902-1,yes,nk_party,
1002,2014-532126-1-902-7,yes,nk_party,
1002,2014-532126-1-901-4,abstain,nk_party,
1002,2014-532126-1-901-7,yes,nk_party,
1002,2014-532126-1-901-8,yes,nk_party,
1002,2014-532126-1-901-10,yes,nk_party,
1002,2014-532126-1-901-9,yes,nk_party,
1002,2014-532126-1-47-2,abstain,kscm_party,
1002,2014-532126-1-901-5,abstain,nk_party,
1002,2014-532126-1-47-7,yes,kscm_party,
1002,2014-532126-1-902-2,yes,nk_party,
1002,2014-532126-1-901-11,abstain,nk_party,
1003,2014-532126-1-901-6,yes,nk_party,
1003,2014-532126-1-901-3,yes,nk_party,
1003,2014-532126-1-901-2,yes,nk_party,
1003,2014-532126-1-901-1,abstain,nk_party,
1003,2014-532126-1-902-1,yes,nk_party,
1003,2014-532126-1-902-7,yes,nk_party,
1003,2014-532126-1-901-4,yes,nk_party,
1003,2014-532126-1-901-7,yes,nk_party,
1003,2014-532126-1-901-8,yes,nk_party,
1003,2014-532126-1-901-10,yes,nk_party,
1003,2014-532126-1-901-9,yes,nk_party,
1003,2014-532126-1-47-2,yes,kscm_party,
1003,2014-532126-1-901-5,yes,nk_party,
1003,2014-532126-1-47-7,yes,kscm_party,
1003,2014-532126-1-902-2,yes,nk_party,
1003,2014-532126-1-901-11,abstain,nk_party,
1004,2014-532126-1-901-6,yes,nk_party,
1004,2014-532126-1-901-3,yes,nk_party,
1004,2014-532126-1-901-2,yes,nk_party,
1004,2014-532126-1-901-1,yes,nk_party,
1004,2014-532126-1-902-1,abstain,nk_party,
1004,2014-532126-1-902-7,yes,nk_party,
1004,2014-532126-1-901-4,yes,nk_party,
1004,2014-532126-1-901-7,yes,nk_party,
1004,2014-532126-1-901-8,yes,nk_party,
1004,2014-532126-1-901-10,yes,nk_party,
1004,2014-532126-1-901-9,yes,nk_party,
1004,2014-532126-1-47-2,yes,kscm_party,
1004,2014-532126-1-901-5,yes,nk_party,
1004,2014-532126-1-47-7,yes,kscm_party,
1004,2014-532126-1-902-2,yes,nk_party,
1004,2014-532126-1-901-11,abstain,nk_party,
1005,2014-532126-1-901-6,yes,nk_party,
1005,2014-532126-1-901-3,abstain,nk_party,
1005,2014-532126-1-901-2,abstain,nk_party,
1005,2014-532126-1-901-1,yes,nk_party,
1005,2014-532126-1-902-1,yes,nk_party,
1005,2014-532126-1-902-7,yes,nk_party,
1005,2014-532126-1-901-4,yes,nk_party,
1005,2014-532126-1-901-7,yes,nk_party,
1005,2014-532126-1-901-8,yes,nk_party,
1005,2014-532126-1-901-10,yes,nk_party,
1005,2014-532126-1-901-9,yes,nk_party,
1005,2014-532126-1-47-2,yes,kscm_party,
1005,2014-532126-1-901-5,abstain,nk_party,
1005,2014-532126-1-47-7,yes,kscm_party,
1005,2014-532126-1-902-2,yes,nk_party,
1005,2014-532126-1-901-11,abstain,nk_party,
1006,2014-532126-1-901-6,yes,nk_party,
1006,2014-532126-1-901-3,yes,nk_party,
1006,2014-532126-1-901-2,yes,nk_party,
1006,2014-532126-1-901-1,yes,nk_party,
1006,2014-532126-1-902-1,yes,nk_party,
1006,2014-532126-1-902-7,yes,nk_party,
1006,2014-532126-1-901-4,yes,nk_party,
1006,2014-532126-1-901-7,yes,nk_party,
1006,2014-532126-1-901-8,yes,nk_party,
1006,2014-532126-1-901-10,yes,nk_party,
1006,2014-532126-1-901-9,abstain,nk_party,
1006,2014-532126-1-47-2,yes,kscm_party,
1006,2014-532126-1-901-5,yes,nk_party,
1006,2014-532126-1-47-7,yes,kscm_party,
1006,2014-532126-1-902-2,yes,nk_party,
1006,2014-532126-1-901-11,abstain,nk_party,
1007,2014-532126-1-901-6,yes,nk_party,
1007,2014-532126-1-901-3,yes,nk_party,
1007,2014-532126-1-901-2,yes,nk_party,
1007,2014-532126-1-901-1,yes,nk_party,
1007,2014-532126-1-902-1,yes,nk_party,
1007,2014-532126-1-902-7,yes,nk_party,
1007,2014-532126-1-901-4,yes,nk_party,
1007,2014-532126-1-901-7,yes,nk_party,
1007,2014-532126-1-901-8,abstain,nk_party,
1007,2014-532126-1-901-10,abstain,nk_party,
1007,2014-532126-1-901-9,yes,nk_party,
1007,2014-532126-1-47-2,yes,kscm_party,
1007,2014-532126-1-901-5,yes,nk_party,
1007,2014-532126-1-47-7,yes,kscm_party,
1007,2014-532126-1-902-2,yes,nk_party,
1007,2014-532126-1-901-11,abstain,nk_party,
1008,2014-532126-1-901-6,yes,nk_party,
1008,2014-532126-1-901-3,yes,nk_party,
1008,2014-532126-1-901-2,yes,nk_party,
1008,2014-532126-1-901-1,yes,nk_party,
1008,2014-532126-1-902-1,yes,nk_party,
1008,2014-532126-1-902-7,yes,nk_party,
1008,2014-532126-1-901-4,yes,nk_party,
1008,2014-532126-1-901-7,yes,nk_party,
1008,2014-532126-1-901-8,yes,nk_party,
1008,2014-532126-1-901-10,yes,nk_party,
1008,2014-532126-1-901-9,yes,nk_party,
1008,2014-532126-1-47-2,yes,kscm_party,
1008,2014-532126-1-901-5,yes,nk_party,
1008,2014-532126-1-47-7,abstain,kscm_party,
1008,2014-532126-1-902-2,yes,nk_party,
1008,2014-532126-1-901-11,abstain,nk_party,
1009,2014-532126-1-901-6,yes,nk_party,
1009,2014-532126-1-901-3,yes,nk_party,
1009,2014-532126-1-901-2,yes,nk_party,
1009,2014-532126-1-901-1,yes,nk_party,
1009,2014-532126-1-902-1,yes,nk_party,
1009,2014-532126-1-902-7,abstain,nk_party,
