id,legislative_session:number,start_date,item:title,item:number,motion:title,
1001,1,2010-11-15,Určení ověřovatelů a zapisovatele ,0,"Předsedající navrhla určit ověřovateli zápisu p. Lukáše Kohla a p. Romana Dědiče, a zapisovatelkou pí Janu Zemanovou. K návrhu nebyly vzneseny žádné protinávrhy. Zastupitelé návrh jednomyslně schválili",
1002,1,2010-11-15,Schválení programu ,0,Schválení programu ,
1003,1,2010-11-15,Volba starosty a místostarosty,1,"Zastupitelstvo města Buštěhradu zvolilo starostkou města ing. Jitku Leflerovou s tím, že funkce bude vykonávána jako uvolněná. ",
1004,1,2010-11-15,Volba starosty a místostarosty,1,Zastupitelstvo města Buštěhradu zvolilo místostarostou města p. Petra Sejkoru.  ,
2001,2,2010-12-01,Ověřovatelé dnešního zápisu a členové a předseda návrhové komise,0,"ověřovateli zápisu byli jmenováni Věra Mrázková, Petr Sejkora, a návrhová komise pracovala ve složení: předseda Daniela Javorčeková, členové –  Miroslav Oplt, Roman Dědič",
2002,2,2010-12-01,schválení programu,0,Schválení programu ,
2003,2,2010-12-01,Zřízení výborů a stanovení počtu jejich členů ,1,volba předsedy finančního výboru- Miroslava Burešová,
2004,2,2010-12-01,Zřízení výborů a stanovení počtu jejich členů ,1,"členové finančního výboru: Iva Forejtová,  Ladislav Šimon, Luboš Kluiber,  Dagmar Novotná",
2005,2,2010-12-01,Zřízení výborů a stanovení počtu jejich členů ,1,předseda kontrolního výboru - Roman Dědič,
2006,2,2010-12-01,Zřízení výborů a stanovení počtu jejich členů ,1,"členové kontrolního výboru: Tomáš Novotný, Luděk Semrád, Karel Jedlička, Karel Dlouhý",
2007,2,2010-12-01,Zřízení výborů a stanovení počtu jejich členů ,1,předseda výboru pro kulturu a sport - Petr Sejkora,
2008,2,2010-12-01,Zřízení výborů a stanovení počtu jejich členů ,1,"členové výboru pro kulturu a sport: Jaroslav Pergl, Jitka Müllerová, Gabriela Plachá, Martin Tůma, Jan Paulík, Helena Blesková, Martina Sejkorová, Radim Švejda",
2009,2,2010-12-01,Zřízení výborů a stanovení počtu jejich členů ,1,předseda stavebního výboru - Daniela Javorečková,
2010,2,2010-12-01,Zřízení výborů a stanovení počtu jejich členů ,1,"členové: Michal Sztogrýn, Tomáš Kluiber, Aleš Benda, František Rák.  ",
2011,2,2010-12-01,Zřízení výborů a stanovení počtu jejich členů ,1,předseda výboru pro životní prostředí - Miroslav Opt,
2012,2,2010-12-01,Zřízení výborů a stanovení počtu jejich členů ,1,"členové: Jana Landsingerová, Pavel Mikšovic, Lucie Dlouhá, Tomáš Kratochvíl, Jitka Fršlínková",
2013,2,2010-12-01,Zřízení výborů a stanovení počtu jejich členů ,1,předseda sociálního a zdravotního výboru - Věra Mrázková,
2014,2,2010-12-01,Zřízení výborů a stanovení počtu jejich členů ,1,"členové: Hana Rašková, Zdeněk Štefek.   ",
2015,2,2010-12-01,Plánovaná výstavba bioplynové stanice ,2,"znění dopisu týkajícího se plánované výstavby bioplynové stanice v k. ú. Buštěhradu, který je adresován vedoucímu odboru ŽP Krajského úřadu Středočeského kraje. ",
2016,2,2010-12-01,Organizační a různé ,4,Předsedkyni redakční rady Buštěhradského zpravodaje Danielu Javorčekovou ,
2017,2,2010-12-01,Organizační a různé ,4,"výkonnou redaktorku BZ Jitku Müllerovou, dále členy redakční rady BZ: Jiřího Bleska, Ivonu Kasalickou, Jaroslava Pergla, Petra Sejkoru, Drahomíru Čermákovou, Jiřího Janouškovce. ",
2018,2,2010-12-01,Organizační a různé ,4,Převod historického pozemku p. č. 104 o výměře 177 m2 z majetku Pozemkového fondu ČR do majetku města Buštěhradu.  ,
2019,2,2010-12-01,Organizační a různé ,4,Zastupitele do funkce oddávajících: Miroslavu Burešovou a Miroslava Oplta. ,
2020,2,2010-12-01,Organizační a různé ,4,"Uzavření „Smlouvy o sdružení prostředků na činnost Jednotky sboru dobrovolných  hasičů Hřebeč“ pro rok 2011 s příspěvkem ve výši Kč 20.000,- ",
3001,3,2010-12-15,Určení ověřovatelů a zapisovatele ,0,"ověřovateli zápisu byly jmenovány  Daniela Javorčeková , Miroslava Burešová,  a návrhová komise pracovala ve složení: předseda – Petr Sejkora, členové -  Věra Mrázková, Miroslav Oplt",
3002,3,2010-12-15,Schválení programu ,0,Schválení programu ,
3003,3,2010-12-15,Rozpočtové provizorium pro rok 2011 a rozpočtové opatření č. 1/2010,2,schválení rozpočtového provizoria pro rok 2011 ,
3004,3,2010-12-15,Rozpočtové provizorium pro rok 2011 a rozpočtové opatření č. 1/2011,2,rozpočtové opatření č. 1/2010 ,
3005,3,2010-12-15,Rozhodnutí o odměnách za výkon funkcí neuvolněných členů zastupitelstva ,3,poskytnutí měsíční odměny za výkon funkcí neuvolněným členům zastupitelstva v maximální výši ode dne 1.1.2011,
3006,3,2010-12-15,Rozhodnutí o odměnách za výkon funkcí neuvolněných členů zastupitelstva ,3,poskytnutí měsíční odměny P. Sejkorovi v max. výši souhrnu odměn za výkon funkce místostarosty a předsedy výboru pro kulturu a sport ,
3007,3,2010-12-15,Obecně závazná vyhláška o místních poplatcích,5,Obecně závaznou vyhlášku č. 1 /2010 o místních poplatcích ,
3008,3,2010-12-15,Schválení podání žádosti o dotaci ,6,Podání žádosti o poskytnutí dotace ze Středočeského fondu rozvoje obcí a měst na obnovu západního křídla Buštěhradského zámku,
3009,3,2010-12-15,Organizační a různé ,7,Převod souboru gastrotechnologického zařízení stravovacího provozu v objektu ZŠ z majetku města do majetku ZŠ,
