id,name,organization:party,organization:affiliation,organization:list,
2010-532169-1-901-4,BUREŠOVÁ Miroslava,nk_party,bezpp_affiliation,901_list,
2010-532169-1-901-3,DĚDIČ Roman,nk_party,bezpp_affiliation,901_list,
2010-532169-1-53-3,JAVORČEKOVÁ Daniela Ing.arch.,ods_party,bezpp_affiliation,53_list,
2010-532169-1-7-3,KINDLOVÁ Magda Mgr.,cssd_party,bezpp_affiliation,7_list,
2010-532169-1-53-2,KOHL Lukáš Ing.arch.,ods_party,bezpp_affiliation,53_list,
2010-532169-1-901-2,LEFLEROVÁ Jitka Ing.,nk_party,bezpp_affiliation,901_list,
2010-532169-1-7-4,MRÁZKOVÁ Věra,cssd_party,bezpp_affiliation,7_list,
2010-532169-1-901-1,OPLT Miroslav RNDr. CSc.,nk_party,bezpp_affiliation,901_list,
2010-532169-1-659-3,SEJKORA Petr,top-09_party,top-09_affiliation,659_list,
2010-532169-1-53-1,NOVÝ Václav Ing.,ods_party,bezpp_affiliation,53_list,
2010-532169-1-659-1,KLUIBER Luboš BcA.,top-09_party,top-09_affiliation,659_list,
