id,classification_id,classification,name,
cssd_party,party,Navrhující strana,Česká strana sociálně demokratická,
nk_party,party,Navrhující strana,Nezávislí kandidáti,
kdu-csl_party,party,Navrhující strana,Křesťan.a demokrat.unie-Českosl.strana lidová,
kscm_party,party,Navrhující strana,Komunistická strana Čech a Moravy,
cssd_affiliation,affiliation,Stranická příslušnost,Česká strana sociálně demokratická,
bezpp_affiliation,affiliation,Stranická příslušnost,Bez politické příslušnosti,
kscm_affiliation,affiliation,Stranická příslušnost,Komunistická strana Čech a Moravy,
7_list,list,Kandidátní listina,Česká strana sociálně demokratická,
902_list,list,Kandidátní listina,listina nezávislých kandidátů,
1_list,list,Kandidátní listina,Křesťan.a demokrat.unie-Českosl.strana lidová,
47_list,list,Kandidátní listina,Komunistická strana Čech a Moravy,
903_list,list,Kandidátní listina,listina nezávislých kandidátů,
901_list,list,Kandidátní listina,listina nezávislých kandidátů,
