id,name,organization:party,organization:affiliation,organization:list,
2014-581496-1-7-1,Bílý Miloš Ing.,cssd_party,cssd_affiliation,7_list,
2014-581496-1-902-6,Kubelková Jana Mgr.,nk_party,bezpp_affiliation,902_list,
2014-581496-1-902-1,Měšťan Ondřej Ing.,nk_party,bezpp_affiliation,902_list,
2014-581496-1-902-2,Sejbal Darek,nk_party,bezpp_affiliation,902_list,
2014-581496-1-1-4,Slavíčková Ludmila Ing.,kdu-csl_party,bezpp_affiliation,1_list,
2014-581496-1-902-4,Stejskal Radek,nk_party,bezpp_affiliation,902_list,
2014-581496-1-47-1,Šabrňáková Naděžda Ing.,kscm_party,kscm_affiliation,47_list,
2014-581496-1-902-5,Trtílek František,nk_party,bezpp_affiliation,902_list,
2014-581496-1-903-1,Virdzek František Ing.,nk_party,bezpp_affiliation,903_list,
2014-581496-1-902-3,Zavřelová Petra Ing.,nk_party,bezpp_affiliation,902_list,
2014-581496-1-901-2,Žáček Jaroslav Ing.,nk_party,bezpp_affiliation,901_list,
