vote_event_id,voter_id,option,group_id,
1001,2014-581496-1-7-1,yes,cssd_party,
1001,2014-581496-1-902-6,yes,nk_party,
1001,2014-581496-1-902-1,yes,nk_party,
1001,2014-581496-1-902-2,yes,nk_party,
1001,2014-581496-1-1-4,yes,kdu-csl_party,
1001,2014-581496-1-902-4,yes,nk_party,
1001,2014-581496-1-47-1,yes,kscm_party,
1001,2014-581496-1-902-5,yes,nk_party,
1001,2014-581496-1-903-1,yes,nk_party,
1001,2014-581496-1-902-3,yes,nk_party,
1001,2014-581496-1-901-2,yes,nk_party,
1002,2014-581496-1-7-1,yes,cssd_party,
1002,2014-581496-1-902-6,yes,nk_party,
1002,2014-581496-1-902-1,yes,nk_party,
1002,2014-581496-1-902-2,yes,nk_party,
1002,2014-581496-1-1-4,yes,kdu-csl_party,
1002,2014-581496-1-902-4,yes,nk_party,
1002,2014-581496-1-47-1,yes,kscm_party,
1002,2014-581496-1-902-5,yes,nk_party,
1002,2014-581496-1-903-1,yes,nk_party,
1002,2014-581496-1-902-3,yes,nk_party,
1002,2014-581496-1-901-2,yes,nk_party,
1003,2014-581496-1-7-1,yes,cssd_party,
1003,2014-581496-1-902-6,yes,nk_party,
1003,2014-581496-1-902-1,yes,nk_party,
1003,2014-581496-1-902-2,yes,nk_party,
1003,2014-581496-1-1-4,yes,kdu-csl_party,
1003,2014-581496-1-902-4,yes,nk_party,
1003,2014-581496-1-47-1,yes,kscm_party,
1003,2014-581496-1-902-5,yes,nk_party,
1003,2014-581496-1-903-1,yes,nk_party,
1003,2014-581496-1-902-3,yes,nk_party,
1003,2014-581496-1-901-2,yes,nk_party,
1004,2014-581496-1-7-1,yes,cssd_party,
1004,2014-581496-1-902-6,yes,nk_party,
1004,2014-581496-1-902-1,yes,nk_party,
1004,2014-581496-1-902-2,yes,nk_party,
1004,2014-581496-1-1-4,yes,kdu-csl_party,
1004,2014-581496-1-902-4,yes,nk_party,
1004,2014-581496-1-47-1,yes,kscm_party,
1004,2014-581496-1-902-5,yes,nk_party,
1004,2014-581496-1-903-1,yes,nk_party,
1004,2014-581496-1-902-3,yes,nk_party,
1004,2014-581496-1-901-2,yes,nk_party,
