id,name,organization:party,organization:affiliation,organization:list,
2010-542571-1-901-1,Bartl Miroslav,nk_party,bezpp_affiliation,901_list,
2010-542571-1-119-3,Bláha Svatopluk,usz_party,usz_affiliation,119_list,
2010-542571-1-119-2,Hronková Lenka,usz_party,bezpp_affiliation,119_list,
2010-542571-1-53-1,Jindřich Petr,ods_party,ods_affiliation,53_list,
2010-542571-1-53-3,Makarius Jaromír,ods_party,bezpp_affiliation,53_list,
2010-542571-1-7-3,Němcová Alena,cssd_party,bezpp_affiliation,7_list,
2010-542571-1-7-1,Neudert Josef,cssd_party,cssd_affiliation,7_list,
2010-542571-1-119-1,Nováková Jiřina,usz_party,bezpp_affiliation,119_list,
2010-542571-1-53-2,Oliva Vladimír,ods_party,ods_affiliation,53_list,
2010-542571-1-119-5,Pokorná Věra,usz_party,bezpp_affiliation,119_list,
2010-542571-1-7-2,Ságl Jaroslav,cssd_party,bezpp_affiliation,7_list,
2010-542571-1-902-4,Ságlová Miroslava Mgr.,nk_party,bezpp_affiliation,902_list,
2010-542571-1-901-3,Šebánek Vladimír,nk_party,bezpp_affiliation,901_list,
2010-542571-1-901-2,Špeciánová Alenka,nk_party,bezpp_affiliation,901_list,
2010-542571-1-53-4,Šponiar Miroslav,ods_party,bezpp_affiliation,53_list,
2010-542571-1-7-5,Postl Milan,cssd_party,bezpp_affiliation,7_list,
