id,classification_id,classification,name,
usz_party,party,Navrhující strana,Unie pro sport a zdraví,
nk_party,party,Navrhující strana,Nezávislí kandidáti,
ano-2011_party,party,Navrhující strana,ANO 2011,
hnpd_party,party,Navrhující strana,Fair play - HNPD,
ods_party,party,Navrhující strana,Občanská demokratická strana,
cssd_party,party,Navrhující strana,Česká strana sociálně demokratická,
usz_affiliation,affiliation,Stranická příslušnost,Unie pro sport a zdraví,
bezpp_affiliation,affiliation,Stranická příslušnost,Bez politické příslušnosti,
ods_affiliation,affiliation,Stranická příslušnost,Občanská demokratická strana,
cssd_affiliation,affiliation,Stranická příslušnost,Česká strana sociálně demokratická,
119_list,list,Kandidátní listina,Unie pro sport a zdraví,
902_list,list,Kandidátní listina,listina nezávislých kandidátů,
901_list,list,Kandidátní listina,listina nezávislých kandidátů,
768_list,list,Kandidátní listina,ANO 2011,
167_list,list,Kandidátní listina,Fair play - HNPD,
53_list,list,Kandidátní listina,Občanská demokratická strana,
7_list,list,Kandidátní listina,Česká strana sociálně demokratická,
