id,legislative_session:number,start_date,item:title,item:number,motion:title,
1001,1,2012-05-10,,1,Zastupitelstvo bere na vědomí zprávu o kontrole usnesení zastupitelstva a schvaluje revokaci usnesení dle návrhu.,
1002,1,2012-05-10,,3,Zastupitelsvo schvaluje uzavření  Smlouvy o poskytnutí dotace na rekonstrukci rybníku Internát se SFŽP a pověřuje starostku města podpisem smlouvy.,
1003,1,2012-05-10,,3,"Zastupitelsvo schvaluje uzavření  Smlouvy o dílo na výstavbu vodovodu Lindava, Svitava se SaM Česká Lípa a pověřuje starostku města podpisem smlouvy.",
1004,1,2012-05-10,Prodej bytů města,4,"Zastupitelstvo schvaluje vyjmutí bytu č.p. 539 byt č.7, Mánesova ul. Cvikov II z prodeje na dobu 1 roku.",
1005,1,2012-05-10,,4,Prodej bytů města,
1006,1,2012-05-10,,4,Prodej bytů města,
1007,1,2012-05-10,,4,Prodej bytů města,
1008,1,2012-05-10,,4,Prodej bytů města,
1009,1,2012-05-10,,4,Prodej bytů města,
1010,1,2012-05-10,,4,Prodej bytů města,
1011,1,2012-05-10,,4,Prodej bytů města,
1012,1,2012-05-10,,4,Prodej bytů města,
1013,1,2012-05-10,,4,Prodej bytů města,
1014,1,2012-05-10,,4,Prodej bytů města,
1015,1,2012-05-10,,4,Prodej bytů města,
1016,1,2012-05-10,,4,Prodej bytů města,
1017,1,2012-05-10,,4,Prodej bytů města,
1018,1,2012-05-10,,4,Prodej bytů města,
1019,1,2012-05-10,,4,Prodej bytů města,
1020,1,2012-05-10,Prodej bytů města,4,"Zastupitelstvo schvaluje prodej BJ č. 569/3 v budove č.p. 569, ul. Martinovo údolí, Cvikov II za cenu 380.000,- Kč+příslušenství a podpis smlouvy po zveřejnění nabídky na úřední desce prostřednictvím realitní kanceláře EU Grand s.r.o , za podmínky bez exkluzivity.",
1021,1,2012-05-10,Prodej bytů města,4,"Zastupitelstvo schvaluje prodej BJ č. 590/5 v budově č.p. 590, Sídliště, Cvikov II za cenu 400.000,- Kč+ příslušenství a podpis smlouvy po zveřejnění nabídky na úřední desce prostřednictvím realitní kanceláře EU Grand s.r.o , za podmínky bez exkluzivity.",
1022,1,2012-05-10,Prodej bytů města,4,"Zastupitelstvo schvaluje prodej BJ č. 326/4 v budově č.p. 326, Lindava za cenu 180.000,- Kč+ příslušenství a podpis smlouvy po zveřejnění nabídky na úřední desce prostřednictvím realitní kanceláře EU Grand s.r.o , za podmínky bez exkluzivity.",
1023,1,2012-05-10,Prodej bytů města,4,"Zastupitelstvo schvaluje prodej BJ č. 543/204 v budově č.p. 542 a 543, ul. Mánesova, Cvikov II za cenu 230.000,- Kč + příslušenství a podpis smlouvy po zveřejnění nabídky na úřední desce prostřednictvím realitní kanceláře EU Grand s.r.o , za podmínky bez exkluzivity.",
1024,1,2012-05-10,Prodej bytů města,4,"Zastupitelstvo schvaluje prodej BJ č. 540/7, byt v budově Cvikov II, ulice Mánesova, za cenu 120.000,- Kč + příslušenství a podpis smlouvy po zveřejnění nabídky na úřední desce prostřednictvím realitní kanceláře EU Grand s.r.o , za podmínky bez exkluzivity.",
1025,1,2012-05-10,"Prodej nebytových prostor v c.p. 178,179 ul. Boženy Nemcové Cvikov I",5,"Zastupitelstvo schvaluje prodej a podpis kupní smlouvy jednotky č. 178/12 v budově č.p. 178, 179, ulice Boženy Němcové, Cvikov I včetně spoluvlastnického podílu o velikosti 22/10000 na společných částech domu čp. 178 a 179 a stavební parcele č. 1461/4 o výměře 94 m2, ÚD: 24.05. – 13.06.2011 [ZM 12.05.2011 usn.č.2/2G)b)] za symbolickou cenu 1,- Kč, st.p.č. 42,- Kč + příslušenství Společenství vlastníku bytových jednotek čp. 178-179/I B.Němcové Cvikov.",
1026,1,2012-05-10,"Prodej nebytových prostor v c.p. 178,179 ul. Boženy Nemcové Cvikov I",5,"Zastupitelstvo schvaluje prodej a podpis kupní smlouvy jednotky č. 179/12 v budově č.p. 178, 179, ulice Boženy Němcové, Cvikov I včetně spoluvlastnického podílu o velikosti 43/10000 na společných částech domu čp. 178 a 179 a stavební parcele č. 1461/4 o výměře 94 m2 , ÚD: 24.05. – 13.06.2011 [ZM 12.05.2011 usn.č.2/2G)b)] za symbolickou cenu 1,- Kč, st.p.č. 81,- Kč + příslušenství Společenství vlastníku bytových jednotek čp. 178-179/I B.Němcové Cvikov.",
1027,1,2012-05-10,,6,Pozemky,
1028,1,2012-05-10,Pozemky,6,"Zastupitelstvo schvaluje prodej a podpis kupní smlouvy p.p.č. 44/7 o výměře 47 m2 za cenu 30,- Kč/m2 +příslušenství , bez pčedkupního práva.",
1029,1,2012-05-10,Pozemky,6,"Zastupitelstvo schvaluje prodej a podpis kupní smlouvy p.p.č. 44/8 o výměře 151 m2 za cenu 30,- Kč/m2 +příslušenství , bez předkupního práva.",
1030,1,2012-05-10,Pozemky,6,"Zastupitelstvo schvaluje prodej a podpis kupní smlouvy p.p.č. 44/1 o výměře 3351 m2 s věcným břemenem za cenu 100,- Kč bez DPH + předkupní právo do kolaudace stavby , smlouva o smlouvě budoucí s platností 2 roky, v případě nezapočetí realizace záměru bude prodej revokován.",
1031,1,2012-05-10,Pozemky,6,Zastupitelstvo neschvaluje prodej části pozemku p.č. 44/1.,
1032,1,2012-05-10,Pozemky,6,"Zastupitelstvo schvaluje prodej a podpis kupní smlouvy p.p.č. 1077/7 o výměře 98 m2 v k.ú. Cvikov za cenu 30,- Kč/m2 + příslušenství, bez předkupního práva.",
1033,1,2012-05-10,Pozemky,6,"Zastupitelstvo schvaluje prodej a podpis kupní smlouvy st.p.č. 733 o výměře 13 m2 v k.ú. Cvikov, p.p.č. 3519/10 část cca 87 m2 (vyjma cesty k mostu) z celkové výměry 103 m2 v k.ú. Cvikov za cenu: 30,- Kč + příslušenství, bez předkupního práva",
1034,1,2012-05-10,Pozemky,6,Zastupitelstvo neschvaluje prodej pozemku p.p.č. 257/2 o celkové výměře 517 m2 v k.ú. Lindava.,
1035,1,2012-05-10,,6,Pozemky,
1036,1,2012-05-10,Pozemky,6,"Zastupitelstvo schvaluje zrušení předkupního práva města Cvikov k pozemkovým parcelám č. 28/3,29/1,29/9 v k.ú. Cvikov ( vlastník Stavokombinát Invest s.r.o Liberec – výstavba marketu PENNY – nově na st.p.č. 1672)",
1037,1,2012-05-10,,7,Zastupitelstvo schvaluje Rozpočtové opatření č. 2 dle návrhu.,
1038,1,2012-05-10,,8,"Zastupitelstvo schvaluje uzavření a podpis dodatku č. 3 smlouvy č. 10141935 s firmou Marius Pedersen, na zajištění komplexních služeb při nakládání s komunálním odpadem.",
1039,1,2012-05-10,,9,"Zastupitelstvo schvaluje zařazení části pozemku parc.č. 2454/7 (před sloučením 2454/5 o výměře cca 6600 m2) v k.ú. Cvikov (ostatní zeleň) do návrhu nového ÚP, do ploch s funkčním využitím, které umožní výstavbu fotovoltaické elektrárny, dle žádosti p. Lamače.",
1040,1,2012-05-10,Různé,10,Zastupitelstvo poveřuje starostku města Mgr. Šárku Jakobi – místostarostu města JUDr. Jaroslava Švehlu zastupováním města na Valné hromadě SVS Teplice dne 7.6.2012.,
2001,2,2012-06-28,,3,Zastupitelstvo města schvaluje Rozpočtové opatření č. 3 dle návrhu.,
2002,2,2012-06-28,,4,Zastupitelstvo města schvaluje celoroční hospodaření města a závěrečný úcet za rok 2011.,
2003,2,2012-06-28,,5,Prodej bytů města,
2004,2,2012-06-28,Prodej bytů města,5,"Zastupitelstvo schvaluje zveřejnění nabídky prodeje BJ č. 541/1, spoluvlastnický podíl o velikosti 612/4252 - byt v budově Cvikov II, Mánesova, č.p. 541 na st.p.č. 1026 včetně spoluvlastnického podílu na společných částech domu-budova, Cvikov II, č.p. 541, bytový dům na st.p.č. 1026, stavby-bez čp/če jiná st. na st.p.č. 1132 a na pozemcích st.p.č. 1026-zastavěná plocha a nádvoří o výměře 166 m2, st.p.č. 1132-zastavěná plocha a nádvoří o výměře 57 m2 a p.p.č. 1007/8-ostatní plocha, zeleň o výměře 108 m2, se všemi součástmi a příslušenstvím -dům je napojen na el. sít, vodovodní řad, septik a plynovodní řad, bez závazku nájemce; o velikosti 1+2 v I.NP a schvaluje prodejní cenu 220.000,- Kč + příslušenství (správní poplatek související s vkladem vlastnického práva do KN, alikvotní část nákladů spojených s vypracováním ZP, PV a GP) ve výši 3.823 Kč + aktuální doplatek (vybavení bytu+úhrada za vložené investice nájemcem) dle potvrzení SMC s.r.o",
2005,2,2012-06-28,Prodej bytů města,5,"Zastupitelstvo schvaluje zrušení (revokaci ) usnesení o prodeji BJ č. 326/5, vč. spoluvlastnického podílu o velikosti 815/3265 na společných částech budovy č.p. 326, Lindava, Cvikov a na pozemcích st.p.č. 378 a p.p.č. 62/7, s předkupním právem města na dobu 5 let pro kupující PETROVI Ladislav a Jitka, ze dne 08.09.2011 pod usn.č. 1/2)C), a ze dne 22.03.2012 pod usn.č. 5/A) z důvodu nerealizování prodeje kupujícími v termínu do 16.5.2012.",
2006,2,2012-06-28,"Prodej , směna, nabytí pozemku města",6,Zastupitelstvo města schvaluje uzavření a podpis kupní smlouvy - převod a prodej pozemků dle GP č. 236-38/2012 v k.ú. Drnovec,
2007,2,2012-06-28,"Prodej , směna, nabytí pozemku města",6,Zastupitelstvo města schvaluje uzavření a podpis smlouvy o bezúplatné směně pozemků dle geometrického plánu GP č. 236-38/2012,
2008,2,2012-06-28,"Prodej , směna, nabytí pozemku města",6,Zastupitelstvo města schvaluje uzavření a podpis smlouvy o bezúplatné směně pozemků dle geometrického plánu.,
2009,2,2012-06-28,"Prodej , směna, nabytí pozemku města",6,"Zastupitelstvo města schvaluje uzavření a podpis smlouvy o prodeji pozemků částí p.p.č. 439/3 z celkové výměry 468 m2 v k.ú. Cvikov, dle geometrického plánu",
2010,2,2012-06-28,"Prodej , směna, nabytí pozemku města",6,"Zastupitelstvo města schvaluje uzavření a podpis smlouvy o prodeji pozemků dle GP p.p.č. 141/15 zahrada o výměře 877 m2 k.ú. Cvikov, st.p.č. 1664 o výměře 141 m2 ÚP: SOÚ.",
2011,2,2012-06-28,"Prodej , směna, nabytí pozemku města",6,Zastupitelstvo města schvaluje uzavření a podpis smlouvy o prodeji pozemků p.p.č. 141/1 o výměře 300 v k.ú. Lindava,
