id,classification_id,classification,name,
nk_party,party,Navrhující strana,Nezávislí kandidáti,
kscm_party,party,Navrhující strana,Komunistická strana Čech a Moravy,
ano-2011_party,party,Navrhující strana,ANO 2011,
cssd_party,party,Navrhující strana,Česká strana sociálně demokratická,
ods_party,party,Navrhující strana,Občanská demokratická strana,
bezpp_affiliation,affiliation,Stranická příslušnost,Bez politické příslušnosti,
kscm_affiliation,affiliation,Stranická příslušnost,Komunistická strana Čech a Moravy,
sz_affiliation,affiliation,Stranická příslušnost,Strana zelených,
cssd_affiliation,affiliation,Stranická příslušnost,Česká strana sociálně demokratická,
ods_affiliation,affiliation,Stranická příslušnost,Občanská demokratická strana,
901_list,list,Kandidátní listina,listina nezávislých kandidátů,
47_list,list,Kandidátní listina,Komunistická strana Čech a Moravy,
768_list,list,Kandidátní listina,ANO 2011,
902_list,list,Kandidátní listina,listina nezávislých kandidátů,
7_list,list,Kandidátní listina,Česká strana sociálně demokratická,
53_list,list,Kandidátní listina,Občanská demokratická strana,
