id,classification_id,classification,name,
nk_party,party,Navrhující strana,Nezávislí kandidáti,
bezpp_affiliation,affiliation,Stranická příslušnost,Bez politické příslušnosti,
808_list,list,Kandidátní listina,listina nezávislých kandidátů,
813_list,list,Kandidátní listina,listina nezávislých kandidátů,
806_list,list,Kandidátní listina,listina nezávislých kandidátů,
810_list,list,Kandidátní listina,listina nezávislých kandidátů,
812_list,list,Kandidátní listina,listina nezávislých kandidátů,
801_list,list,Kandidátní listina,listina nezávislých kandidátů,
805_list,list,Kandidátní listina,listina nezávislých kandidátů,
811_list,list,Kandidátní listina,listina nezávislých kandidátů,
807_list,list,Kandidátní listina,listina nezávislých kandidátů,
