vote_event_id,voter_id,option,group_id,
1001,2010-540242-1-129-4,absent,snk-ed_party,
1001,2010-540242-1-53-3,yes,ods_party,
1001,2010-540242-1-129-3,yes,snk-ed_party,
1001,2010-540242-1-53-2,yes,ods_party,
1001,2010-540242-1-129-2,yes,snk-ed_party,
1001,2010-540242-1-53-1,yes,ods_party,
1001,2010-540242-1-129-1,yes,snk-ed_party,
1001,2010-540242-1-129-5,absent,snk-ed_party,
1001,2010-540242-1-53-5,yes,ods_party,
1002,2010-540242-1-129-4,absent,snk-ed_party,
1002,2010-540242-1-53-3,yes,ods_party,
1002,2010-540242-1-129-3,yes,snk-ed_party,
1002,2010-540242-1-53-2,yes,ods_party,
1002,2010-540242-1-129-2,yes,snk-ed_party,
1002,2010-540242-1-53-1,yes,ods_party,
1002,2010-540242-1-129-1,yes,snk-ed_party,
1002,2010-540242-1-129-5,absent,snk-ed_party,
1002,2010-540242-1-53-5,yes,ods_party,
1003,2010-540242-1-129-4,absent,snk-ed_party,
1003,2010-540242-1-53-3,abstain,ods_party,
1003,2010-540242-1-129-3,yes,snk-ed_party,
1003,2010-540242-1-53-2,yes,ods_party,
1003,2010-540242-1-129-2,yes,snk-ed_party,
1003,2010-540242-1-53-1,no,ods_party,
1003,2010-540242-1-129-1,yes,snk-ed_party,
1003,2010-540242-1-129-5,absent,snk-ed_party,
1003,2010-540242-1-53-5,abstain,ods_party,
1004,2010-540242-1-129-4,absent,snk-ed_party,
1004,2010-540242-1-53-3,abstain,ods_party,
1004,2010-540242-1-129-3,yes,snk-ed_party,
1004,2010-540242-1-53-2,yes,ods_party,
1004,2010-540242-1-129-2,yes,snk-ed_party,
1004,2010-540242-1-53-1,abstain,ods_party,
1004,2010-540242-1-129-1,yes,snk-ed_party,
1004,2010-540242-1-129-5,absent,snk-ed_party,
1004,2010-540242-1-53-5,yes,ods_party,
1005,2010-540242-1-129-4,absent,snk-ed_party,
1005,2010-540242-1-53-3,yes,ods_party,
1005,2010-540242-1-129-3,yes,snk-ed_party,
1005,2010-540242-1-53-2,yes,ods_party,
1005,2010-540242-1-129-2,yes,snk-ed_party,
1005,2010-540242-1-53-1,yes,ods_party,
1005,2010-540242-1-129-1,yes,snk-ed_party,
1005,2010-540242-1-129-5,absent,snk-ed_party,
1005,2010-540242-1-53-5,yes,ods_party,
1006,2010-540242-1-129-4,absent,snk-ed_party,
1006,2010-540242-1-53-3,yes,ods_party,
1006,2010-540242-1-129-3,yes,snk-ed_party,
1006,2010-540242-1-53-2,yes,ods_party,
1006,2010-540242-1-129-2,yes,snk-ed_party,
1006,2010-540242-1-53-1,yes,ods_party,
1006,2010-540242-1-129-1,yes,snk-ed_party,
1006,2010-540242-1-129-5,absent,snk-ed_party,
1006,2010-540242-1-53-5,yes,ods_party,
1007,2010-540242-1-129-4,absent,snk-ed_party,
1007,2010-540242-1-53-3,yes,ods_party,
1007,2010-540242-1-129-3,yes,snk-ed_party,
1007,2010-540242-1-53-2,yes,ods_party,
1007,2010-540242-1-129-2,yes,snk-ed_party,
1007,2010-540242-1-53-1,yes,ods_party,
1007,2010-540242-1-129-1,yes,snk-ed_party,
1007,2010-540242-1-129-5,absent,snk-ed_party,
1007,2010-540242-1-53-5,yes,ods_party,
1008,2010-540242-1-129-4,absent,snk-ed_party,
1008,2010-540242-1-53-3,no,ods_party,
1008,2010-540242-1-129-3,no,snk-ed_party,
1008,2010-540242-1-53-2,yes,ods_party,
1008,2010-540242-1-129-2,abstain,snk-ed_party,
1008,2010-540242-1-53-1,no,ods_party,
1008,2010-540242-1-129-1,abstain,snk-ed_party,
1008,2010-540242-1-129-5,absent,snk-ed_party,
1008,2010-540242-1-53-5,no,ods_party,
1009,2010-540242-1-129-4,absent,snk-ed_party,
1009,2010-540242-1-53-3,yes,ods_party,
1009,2010-540242-1-129-3,no,snk-ed_party,
1009,2010-540242-1-53-2,yes,ods_party,
1009,2010-540242-1-129-2,yes,snk-ed_party,
1009,2010-540242-1-53-1,yes,ods_party,
1009,2010-540242-1-129-1,yes,snk-ed_party,
1009,2010-540242-1-129-5,absent,snk-ed_party,
1009,2010-540242-1-53-5,yes,ods_party,
1010,2010-540242-1-129-4,absent,snk-ed_party,
1010,2010-540242-1-53-3,yes,ods_party,
1010,2010-540242-1-129-3,yes,snk-ed_party,
1010,2010-540242-1-53-2,yes,ods_party,
1010,2010-540242-1-129-2,yes,snk-ed_party,
1010,2010-540242-1-53-1,yes,ods_party,
1010,2010-540242-1-129-1,yes,snk-ed_party,
1010,2010-540242-1-129-5,absent,snk-ed_party,
1010,2010-540242-1-53-5,yes,ods_party,
1011,2010-540242-1-129-4,absent,snk-ed_party,
1011,2010-540242-1-53-3,yes,ods_party,
1011,2010-540242-1-129-3,yes,snk-ed_party,
1011,2010-540242-1-53-2,yes,ods_party,
1011,2010-540242-1-129-2,yes,snk-ed_party,
1011,2010-540242-1-53-1,yes,ods_party,
1011,2010-540242-1-129-1,yes,snk-ed_party,
1011,2010-540242-1-129-5,absent,snk-ed_party,
1011,2010-540242-1-53-5,yes,ods_party,
1012,2010-540242-1-129-4,absent,snk-ed_party,
