id,legislative_session:number,start_date,item:title,item:number,motion:title,
19001,19,2014-07-26,odsouhlasení programu,1,Zastupitelstvo Obce Holín schvaluje: Program veřejného zasedání obecního zastupitelstva.,
19002,19,2014-07-26,"smlouva o uzavření budoucí smlouvy o zřízení věcného břemene a smlouva o právu provést stavbu Č. IP-12-2006207/VB/03, Pařezská Lhota, p.č. 372/1, Loskot, kabel nn",4,"Zastupitelstvo Obce Holín schvaluje: Smlouvu o uzavření budoucí smlouvy o zřízení věcného břemene a smlouvu o právu provést stavbu č. IP-12-2006207/VB/03, Pařezská Lhota, p.č. 37211, Loskot, kabel nn", mezi Obcí Holín a společností ČEZ Distribuce, a.s.",
19003,19,2014-07-26,"vyhlášení Záměru na prodej částí obecních pozemků p.č. 58/5 a 59/3 v k.ú. Holín, dle GP Č. 419-402/2014 označeno p.č. 58/9 o velikosti 10 m2 a p.č. 59/5 o velikosti 45 m2 v k.ú. Holín",5,"Zastupitelstvo Obce Holín schvaluje: Vyhlášení Záměru na prodej částí obecních pozemků p.č. 58/5 a 59/3 v k.ú. Holín. Dle geometrického plánu č. 419-402/2014 nově označeno: p.č. 59/5 (ostatní plocha - neplodná půda) o výměře 45 m2 , v k.ú. Holín a p.č. 58/9 (zahrada) o výměře 10 m2 , v k.ú. Holín.",
19004,19,2014-07-26,"vyhlášení Záměru na prodej částí obecních pozemků p.č. 58/5 a 59/3 v k.ú. Holín, dle GP Č. 419-402/2014 označeno p.č. 58/5 o velikosti 50 m2 a p.č. 59/4 o velikosti 2 m2 v k.ú. Holín",6,"Zastupitelstvo Obce Holín schvaluje: Vyhlášení Záměru na prodej částí obecních pozemků p.č. 58/5 a 59/3 v k.ú. Holín. Dle geometrického plánu Č. 419-402/2014 nově označeno: p.č. 58/5 (zahrada) o výměře 50 m2 , v k.ú. Holín a p.č. 59/4 (ostatní plocha - neplodná půda), o výměře 2 m2 v k.ú. Holín.",
19005,19,2014-07-26,různé,7,"Zastupitelstvo Obce Holín odkládá: Projednávání žádosti manželů Trajerových, majitelů nemovitosti č.p. 74 v Holíně, ohledně odkupu části obecního pozemku p.č. 366/4 (trvalý travní porost) v katastrálním území Holín na období funkčního působení nového zastupitelstva obce, které vzejde z říjnových voleb do zastupitelstev obcí.",
19006,19,2014-07-26,různé,7,Zastupitelstvo Obce Holín schvaluje: Smlouvu o bezúplatném převodu majetku č.j. UZSVM/HJC/4093/2014-HJCM mezi ČR - Úřad pro zastupování státu ve věcech majetkových a Obcí Holín,
18001,18,2014-07-07,odsouhlasení programu,1,Zastupitelstvo Obce Holín schvaluje: Program veřejného zasedání obecního zastupitelstva.,
18002,18,2014-07-07,stanovení počtu zastupitelů obce Holín na nadcházející volební období 2014 – 2018,3,Zastupitelstvo Obce Holín schvaluje: Počet 7 zastupitelů obce Holín pro nadcházející volební období 2014-2018. Obec Holín tvoří jeden volební obvod.,
18003,18,2014-07-07,"smlouva mezi Obcí Holín a fy Revenge, a.s., se sídlem v Praze 5 - Stodůlky, o umístění a provozování kontejnerů na sběr a zpracování oděvů, obuvi a textilu",4,"Zastupitelstvo Obce Holín schvaluje: Smlouvu mezi Obcí Holín a fi Revenge, a.s., se sídlem v Praze 5 – Stodůlky, o umístění a provozování kontejnerů na sběr a zpracování oděvů, obuvi a textilu.",
18004,18,2014-07-07,"žádost p. Řeháčka, bytem Jičín, na předčasné ukončení nájmu místnosti v 1. patře budovy OÚ Holín",5,"Zastupitelstvo Obce Holín schvaluje: Předčasné ukončení nájmu místnosti v 1. patře budovy OÚ Holín, panu Václavu Řeháčkovi, bytem Jičín, k 30. září 2014.",
18005,18,2014-07-07,rozpočtová změna č. 2,6,Zastupitelstvo Obce Holín schvaluje: Rozpočtovou změnu č. 2 (viz příloha),
18006,18,2014-07-07,různé,7,"Zastupitelstvo Obce Holín schvaluje: Pokračování v činnosti realizace akce „zneprůjezdnění komunikace záhumenské cesty na Prachově“, se zajištěním financování akce.",
18007,18,2014-07-07,různé,7,"Zastupitelstvo Obce Holín schvaluje: Rozšíření zpevněné příjezdové plochy k nemovitosti v Holíně č.p. 137, přes obecní pozemek p.č. 25/1 v k.ú. Holín, přibližně o 30 cm.",
18008,18,2014-07-07,různé,7,Zastupitelstvo Obce Holín odkládá projednávání na příští zasedání.,
17001,17,2014-05-27,odsouhlasení programu,1,Zastupitelstvo Obce Holín schvaluje: Program veřejného zasedání obecního zastupitelstva.,
17002,17,2014-05-27,"jmenování a schválení zástupce obce Holín na 20. valnou hromadu Vodohospodářské a obchodní společnosti, a.s. Jičín, která se koná dne 11. června 2014",3,"Zastupitelstvo Obce Holín schvaluje: Delegáta ve smyslu § 84 odst. 2., písm. f) zák. č. 128/200 Sb. na 20. valnou hromadu VOS a.s. Jičín, která se bude konat 11. června 2014. Zástupcem byl jmenován starosta obce Ing. Radomír Sádlo. Náhradníkem je místostarosta obce p. Jan Havelka.",
17003,17,2014-05-27,"žádost manželů Menclových, bytem Holín čp. 129 o odkoupení části obecních pozemků p.č. 59/3 a 58/5 v k.ú. Holín",4,"Zastupitelstvo Obce Holín schvaluje: Předběžné odsouhlasení žádosti manželů Menclových, bytem Holín č.p. 129 o odprodej částí oplocených obecních pozemků p.č. 59/3 a 58/5 v k.ú. Holín. Po předložení geometrické plánu bude vyhlášen Záměr obce Holín na odprodej pozemků.",
17004,17,2014-05-27,"žádost manželů Novotných, bytem Holín čp. 128 o odkoupení části obecních pozemků p.č. 59/3 a 58/5 v k.ú. Holín",5,"Zastupitelstvo Obce Holín schvaluje: Předběžné odsouhlasení žádosti manželů Novotných, bytem Holín č.p. 128 o odprodej částí oplocených obecních pozemků p.č. 59/3 a 58/5 v k.ú. Holín. Po předložení geometrické plánu bude vyhlášen Záměr obce Holín na odprodej pozemků.",
17005,17,2014-05-27,žádost občanského sdružení Klubu přátel české písničky v Samšině o finanční příspěvek na kulturní akci „Setkání s českou písničkou“,6,"Zastupitelstvo Obce Holín schvaluje: Poskytnutí daru Klubu přátel české písničky, o.s. Samšina, ve výši 1.500 Kč, na pořádání kulturní akce „Setkání s českou písničkou“ v roce 2014.",
17006,17,2014-05-27,"„smlouva o zajištění zpětného odběru a využití odpadů z obalů“ mezi Obcí Holín a fi EKO-KOM, a.s. se sídlem v Praze 4, evidenční číslo 70/0494, vč. dodatku č.1 – kde obec Holín pověřuje plněním některých povinností vůči společnosti EKO- KOM firmu Technické služby města Jičína",7,"Zastupitelstvo Obce Holín schvaluje: Smlouvu o zajištění zpětného odběru a využití odpadů z obalů mezi Obcí Holín a fi EKO-KOM, a.s. se sídlem v Praze 4, evidenční číslo 70/0494, vč. dodatku č.1.",
17007,17,2014-05-27,"možnost zřízení autobusového spojení o sobotách v ranních hodinách z Prachova, resp. Pařezské Lhoty do Jičína, s částečnou finanční spoluúčastí obce Holín",8,"Zastupitelstvo Obce Holín schvaluje: Zřízení autobusového spojení o sobotách v ranních hodinách z Prachova,popř. Pařezské Lhoty do Jičína za finanční spoluúčasti obce ve výši variabilních nákladů na ujetý km, dle předložené cenové kalkulace, v částce 7.340 Kč na období 15.6.2014 – 13.12.2014.",
17008,17,2014-05-27,"podání žádosti na vypracování projektové dokumentace za účelem vydání stavebního povolení pro přestavbu budovy obecního úřadu v Holíně, dle předložené pracovní studie (viz 18. zasedání ZO)",9,Zastupitelstvo Obce Holín schvaluje: Pokračování v přípravných započatých pracích a podání žádosti na vypracování PD pro stavební obnovu budovy Obecního úřadu v Holíně.,
17009,17,2014-05-27,"návrh na řešení neutěšeného stavu při průjezdu vozidel po záhumenské cestě na Prachově, zneprůjednění a vytvoření „slepé ulice“",10,"Zastupitelstvo Obce Holín schvaluje: Provedení průzkumu a vyjádření dotčených orgánů ohledně zneprůjezdnění záhumenské cesty na Prachově. Vlastní realizace se uskuteční za předpokladu, že s opatřením bude souhlasit většina místních občanů, kteří mají přístup po této komunikaci a budou vydána souhlasná stanoviska dotčených orgánů.",
17010,17,2014-05-27,"podání žádosti na převod pozemků p.č. 512, p.č. 546 v k.ú. Pařezská Lhota a pozemku p.č. 355/75 v k.ú. Holín, ve vlastnictví ÚZSVM Praha na obec Holín",11,Zastupitelstvo Obce Holín schvaluje: Převod pozemků od Úřadu pro zastupování státu ve věcech majetkových do vlastnictví obce Holín.,
17011,17,2014-05-27,stanovení počtu zastupitelů obce Holín na nadcházející volební období 2014 – 2018,12,Zastupitelstvo Obce Holín neschvaluje: Stanovení počtu 7 zastupitelů na volební období 2014 – 2018.,
17012,17,2014-05-27,stanovení počtu zastupitelů obce Holín na nadcházející volební období 2014 – 2018,12,Zastupitelstvo Obce Holín neschvaluje: Stanovení počtu 9 zastupitelů na volební období 2014 – 2018.,
17013,17,2014-05-27,žádost MÚ Jičín o poskytnutí příspěvku na pedagogického asistenta pro speciální třídu v MŠ Větrov Jičín,13,Zastupitelstvo Obce Holín schvaluje: Poskytnutí finančního příspěvku MÚ Jičín na asistenta pedagoga pro speciální třídu v mateřské škole Větrov Jičín ve výši 10 tis. Kč.,
17014,17,2014-05-27,různé,14,Zastupitelstvo Obce Holín schvaluje Rozpočtovou změnu číslo 1 (viz. příloha).,
16001,16,2014-03-04,odsouhlasení programu,1,Zastupitelstvo Obce Holín schvaluje: odsouhlasení programu,
16002,16,2014-03-04,členství obce Holín ve Sdružení Český ráj,4,Zastupitelstvo Obce Holín neschvaluje: nabídku na členství obce Holín ve Sdružení Český ráj,
16003,16,2014-03-04,stanovení nájmu pí. Martině Svobodové za užívání zasedací místnosti za účelem „cvičení v Holíně“,5,"Zastupitelstvo Obce Holín schvaluje: úhradu nájemného pí. Martině Svobodové Košíčkové za užívání prostoru zasedací místnosti OÚ Holín ve výši 50,- Kč/hod. za účelem „cvičení v Holíně“. Nájemné bude hrazeno od 1. února 2014",
16004,16,2014-03-04,žádost o projednání připojení obce Holín k mezinárodní kampani „Vlajka pro Tibet“,6,Zastupitelstvo Obce Holín neschvaluje: žádost o připojení obce Holín k mezinárodní kampani „Vlajka pro Tibet“,
16005,16,2014-03-04,směrnice č. 2/2014 o schvalování účetních závěrek obce,7,Zastupitelstvo Obce Holín schvaluje: Směrnici č. 2/2014 o schvalování účetních závěrek obce tato vyhláška nabývá účinnosti dne 1.dubna 2014,
16006,16,2014-03-04,směrnice pro zadávání veřejných zakázek malého rozsahu – obec Holín,8,"Zastupitelstvo Obce Holín schvaluje: Směrnici pro zadávání veřejných zakázek malého rozsahu – obec Holín, tento vnitřní předpis vstupuje v platnost 1. dubna 2014",
16007,16,2014-03-04,schválení zařazení správního území obce Holín do územní působnosti MAS Brána do Českého ráje na období 2014 – 2020,9,Zastupitelstvo Obce Holín schvaluje: správní území obce Holín je součástí regionu MAS Brána do Českého ráje a územím působnosti MAS Brána do Českého ráje na období 2014 – 2020,
16008,16,2014-03-04,Obecně závazná vyhláška č. 1/2014 o místním poplatku za užívání veřejného prostranství,10,Zastupitelstvo Obce Holín schvaluje: Obecně závaznou vyhlášku obce Holín č. 1/2014 o místním poplatku za užívání veřejného prostranství (Hlasování o schválení OZV č. 1/2014),
16009,16,2014-03-04,Obecně závazná vyhláška č. 1/2014 o místním poplatku za užívání veřejného prostranství,10,Zastupitelstvo Obce Holín schvaluje: Obecně závaznou vyhlášku obce Holín č. 1/2014 o místním poplatku za užívání veřejného prostranství (Hlasování o nezařazení pozemku do OZV a nemožností pronájmu.),
16010,16,2014-03-04,"Smlouva o zřízení věcného břemene č. IV-12-2009702/VB/1 mezi Obcí Holín a fi. ČEZ Distribuce, a.s.",11,"Zastupitelstvo Obce Holín schvaluje: Smlouvu o zřízení věcného břemene č. IV-12-2009702/VB/1 mezi Obcí Holín a fi. ČEZ Distribuce, a.s. se sídlem Děčín IV - Podmokly",
16011,16,2014-03-04,závěrečný účet obce Holín za rok 2013; účetní závěrka s výsledkem hospodaření za rok 2013,13,"Zastupitelstvo Obce Holín schvaluje: závěrečný účet obce Holín za rok 2013 dle § 17, odst. 7 zákona o rozpočtových pravidlech územních rozpočtů, s vyjádřením souhlasu s celoročním hospodařením a to bez výhrad.",
16012,16,2014-03-04,závěrečný účet obce Holín za rok 2013; účetní závěrka s výsledkem hospodaření za rok 2013,13,Zastupitelstvo Obce Holín schvaluje: účetní závěrku s výsledkem hospodaření za rok 2013,
16013,16,2014-03-04,rozpočet obce Holín na rok 2014,14,Zastupitelstvo Obce Holín schvaluje: rozpočet obce Holín na rok 2014,
16014,16,2014-03-04,schválení podání žádosti o poskytnutí finanční podpory Královéhradeckého kraje z programu „Rozvoj infrastruktury v oblasti vodního hospodářství“ pro stavební akci „Vodovod Holín – lokalita Hurychovna“,15,Zastupitelstvo Obce Holín schvaluje: podání žádosti o poskytnutí finanční podpory Královéhradeckého kraje z programu „Rozvoj infrastruktury v oblasti vodního hospodářství“ pro stavební akci „Vodovod Holín – lokalita Hurychovna“,
15001,15,2013-12-10,odsouhlasení programu,1,Zastupitelstvo Obce Holín schvaluje: Program veřejného zasedání obecního zastupitelstva.,
15002,15,2013-12-10,schválení Plánu společných zařízení na základě návrhu komplexní pozemkové úpravy Březina u Jičína,3,Zastupitelstvo Obce Holín schvaluje: Plán společných zařízení komplexní pozemkové úpravy v katastrálním území Březina u Jičína,
15003,15,2013-12-10,vyhodnocení nabídek k vyhlášenému Záměru na pronájem obecního pozemku p.č. 427/1 v k.ú. Holín (ovocný sad) o výměře 6.902 m2,4,"Zastupitelstvo Obce Holín schvaluje: Pronájem obecního pozemku p.č. 427/1 (ovocný sad) o výměře 6.902 m2 v k.ú. Holín paní Jitce Paurové, bytem Jičín, na základě vyhlášeného Záměru obce.",
15004,15,2013-12-10,"vyhodnocení nabídek k vyhlášenému Záměru na prodej části obecního pozemku p.č. 61/7 v k.ú. Holín (ostatní plocha – ostatní komunikace) o výměře 42 m2, dle GP nově označeno p.č. 61/10 v k.ú Holín",5,"Zastupitelstvo Obce Holín schvaluje: Prodej části obecního pozemku p.č. 61/7 v k.ú. Holín (ostatní plocha – ostatní komunikace) o výměře 42 m2, paní Janě Hátlové, bytem Holín na základě vyhlášeného Záměru obce. Dle geometrického plánu nově označeno p.č. 61/10 v k.ú. Holín. Prodejní cena byla stanovena na částku 350 Kč/m2.",
15005,15,2013-12-10,"schválení odkoupení části pozemku p.č.72/1 v k.ú. Holín (zahrada) o výměře 12 m2 , dle GP nově označeno p.č. 72/7 v k.ú. Holín, od majitelky pozemku pí. Hátlové",5,"Zastupitelstvo Obce Holín schvaluje: Odkoupení části pozemku p.č. 72/1 v k.ú. Holín (zahrada) o výměře 12 m2 obcí, od majitelky pozemku paní Jany Hátlové, bytem Holín. Dle geometrického plánu nově označeno p.č. 72/7 v k.ú. Holín. Kupní cena byla stanovena na 350 Kč/m2.",
15006,15,2013-12-10,rozpočtové provizorium,6,Zastupitelstvo Obce Holín schvaluje: Rozpočtové provizorium na rok 2014 dle pravidel rozpočtového provizoria stanovených ve Směrnici ke zpracování rozpočtového provizoria (viz příloha).,
15007,15,2013-12-10,rozpočtové změny č. 3,7,Zastupitelstvo Obce Holín schvaluje: Rozpočtové změny č. 3 (viz příloha).,
15008,15,2013-12-10,udělení pravomoci starostovi obce k provádění rozpočtových opatření na neinvestiční změny rozpočtu do výše 50 tis. Kč měsíčně v jednotlivých paragrafech a položkách a to pro rok 2014,8,Zastupitelstvo Obce Holín schvaluje: Pravomoc starosty k provádění rozpočtových opatření na neinvestiční změny rozpočtu do výše 50 tis. Kč měsíčně v jednotlivých paragrafech a položkách a to pro rok 2014.,
