id,name,organization:party,organization:affiliation,organization:list,
2010-572900-1-904-1,Haken Roman,nk_party,bezpp_affiliation,904_list,
2010-572900-1-902-3,Hanyš Pavel,nk_party,bezpp_affiliation,902_list,
2010-572900-1-901-2,Hátlová Jana,nk_party,bezpp_affiliation,901_list,
2010-572900-1-7-1,Havelka Jan,cssd_party,bezpp_affiliation,7_list,
2010-572900-1-902-2,Macounová Alena Ing.,nk_party,bezpp_affiliation,902_list,
2010-572900-1-901-3,Mašek Slavomír,nk_party,bezpp_affiliation,901_list,
2010-572900-1-902-1,Sádlo Radomír Ing.,nk_party,bezpp_affiliation,902_list,
2010-572900-1-902-4,Taneček Jaroslav,nk_party,bezpp_affiliation,902_list,
2010-572900-1-905-1,Zajíc Jan,nk_party,bezpp_affiliation,905_list,
2010-572900-1-901-1,Drahoňovský Karel,nk_party,bezpp_affiliation,901_list,
