id,classification_id,classification,name,
snk-ed_party,party,Navrhující strana,SNK Evropští demokraté,
nk_party,party,Navrhující strana,Nezávislí kandidáti,
kscm_party,party,Navrhující strana,Komunistická strana Čech a Moravy,
bezpp_affiliation,affiliation,Stranická příslušnost,Bez politické příslušnosti,
ods_affiliation,affiliation,Stranická příslušnost,Občanská demokratická strana,
kscm_affiliation,affiliation,Stranická příslušnost,Komunistická strana Čech a Moravy,
129_list,list,Kandidátní listina,SNK Evropští demokraté,
904_list,list,Kandidátní listina,listina nezávislých kandidátů,
901_list,list,Kandidátní listina,listina nezávislých kandidátů,
902_list,list,Kandidátní listina,listina nezávislých kandidátů,
47_list,list,Kandidátní listina,Komunistická strana Čech a Moravy,
903_list,list,Kandidátní listina,listina nezávislých kandidátů,
