id,name,organization:party,organization:affiliation,organization:list,
2010-597350-1-129-2,Adamcová Táňa Pharm. Dr.,snk-ed_party,bezpp_affiliation,129_list,
2010-597350-1-904-3,Bártek Dalibor,nk_party,bezpp_affiliation,904_list,
2010-597350-1-901-2,Benda Leopold Ing.,nk_party,ods_affiliation,901_list,
2010-597350-1-902-1,Blažek Michal,nk_party,bezpp_affiliation,902_list,
2010-597350-1-47-9,Horsák Zdeněk,kscm_party,kscm_affiliation,47_list,
2010-597350-1-903-4,Chudíková Miroslava Mgr.,nk_party,bezpp_affiliation,903_list,
2010-597350-1-901-4,Jachymčák Pavel,nk_party,bezpp_affiliation,901_list,
2010-597350-1-902-2,Klech František Mgr.,nk_party,bezpp_affiliation,902_list,
2010-597350-1-902-3,Klichová Ludmila,nk_party,bezpp_affiliation,902_list,
2010-597350-1-904-4,Košut Richard,nk_party,bezpp_affiliation,904_list,
2010-597350-1-902-14,Náplavová Věra,nk_party,bezpp_affiliation,902_list,
2010-597350-1-901-1,Strmiska Jaroslav Ing.,nk_party,bezpp_affiliation,901_list,
2010-597350-1-129-6,Uvíra Jiří Ing.,snk-ed_party,bezpp_affiliation,129_list,
2010-597350-1-47-1,Valasová Jana,kscm_party,bezpp_affiliation,47_list,
2010-597350-1-129-12,Žerotínský Jaroslav,snk-ed_party,bezpp_affiliation,129_list,
