id,legislative_session:number,start_date,item:title,item:number,motion:title,
1001,1,2010-12-13,Zahájení,1,Zastupitelstvo obce Hostouň po projednání  schvaluje program dnešního zasedání. ,
1002,1,2010-12-13,Určení ověřovatelů zápisu ,3,Zastupitelstvo obce Hostouň určuje ověřovateli zápisu Antonína Kejmara a Jiřího Vildu a zapisovatelem ing. Šárku Hůlovou.,
1003,1,2010-12-13,Žádost o pořízení změny územního plánu pozemku parc.č. 1781 ,4,"Zastupitelstvo obce Hostouň zařadí žádost o změnu využití pozemku parc.č. 1781 do pořizování další změny, tedy změny č. 4 územního plánu obce Hostouň.",
1004,1,2010-12-13,Rozhodnutí o odměnách za výkon funkcí neuvolněných členů zastupitelstva,5,"Zastupitelstvo obce Hostouň v souladu s § 72 a § 84 odst. 2 písm. n) zákona č. 128/2000 Sb., o obcích (obecní zřízení) stanoví odměnu za výkon funkce neuvolněného člena zastupitelstva obce tak, jak je uvedeno v příloze č. 4 tohoto zápisu. Odměna bude poskytována od 1.1.2011 a v případě náhradníka ode dne prvního zasedání zastupitelstva, jehož se zúčastnil.",
1005,1,2010-12-13,Rozpočet na rok 2011 ,6,Zastupitelstvo obce Hostouň schválilo návrh rozpočtu na rok 2011,
1006,1,2010-12-13,Směna místní komunikace s komunikací ve vlastnictví Středočeského kraje ,7,Zastupitelstvo obce Hostouň schválilo provedení směny místní komunikace ulice Kladenská za komunikaci ulice Na Pohoří s jejím vlastníkem Středočeským krajem.,
1007,1,2010-12-13,Dobré sousedství ,8,Zastupitelstvo obce Hostouň schválilo změnu usnesení č. 8/9/2010 takto: žádost o příspěvek v rámci programu dobré sousedství je rozšířena na rekonstrukci střechy obecního úřadu.,
1008,1,2010-12-13,Knihovna - příspěvek ,9,"Zastupitelstvo obce Hostouň schválilo příspěvek pro knihovnu na odměny v soutěži ve výši 3.000,- Kč.",
1009,1,2010-12-13,"Provedení inventur za rok 2010, stanovení inventarizační komise ",10,Zastupitelstvo obce Hostouň schválilo ústřední inventarizační komisi a dílčí inventarizační komise a termíny provedení inventarizace pro provedení inventarizace za rok 2010.,
1010,1,2010-12-13,Logistický park Pavlov ,11,Zastupitelstvo obce Hostouň schválilo umístění vodovodního řadu pro stavbu Logistický park Pavlov na pozemku parc.č. 1840 a zároveň souhlasí s uzavřením smlouvy o smlouvě budoucí na uzavření věcného břemene pro budoucího majitele vodovodu VKM Kladno.,
1011,1,2010-12-13,Smlouva o zřízení věcného břemene ,12,"Zastupitelstvo obce Hostouň schválilo smlouvu o zřízení věcného břemene k pozemku parc.č. 1488/1 za účelem zřízení plynárenského zařízení přípojka k rodinnému domu V Koutě č.p. 166, Hostouň.",
1012,1,2010-12-13,Smlouvy o uzavření budoucí smlouvy o zřízení věcného břemene ,13,Zastupitelstvo obce Hostouň schválilo Smlouvu o budoucí smlouvě o zřízení věcného břemene a souhlasu se zřízením stavby plynárenského zařízení na pozemku parc.č. 2616.,
1013,1,2010-12-13,Smlouvy o uzavření budoucí smlouvy o zřízení věcného břemene ,13,"Zastupitelstvo obce Hostouň schválilo Smlouvu o uzavření budoucí smlouvy o zřízení věcného břemene na uložení kabelů vn, nn a umístění trafostanice na pozemcích parc.č. 1488/1 a st.95/1.",
1014,1,2010-12-13,Smlouvy o uzavření budoucí smlouvy o zřízení věcného břemene ,13,Zastupitelstvo obce Hostouň schválilo Smlouvu o uzavření budoucí smlouvy o zřízení věcného břemene k pozemku parc.č. 165/130 na uložení kabelů NN.,
1015,1,2010-12-13,Smlouva o obstarání věci ,14,Zastupitelstvo obce Hostouň schválilo Smlouvu o obstarání věci uzavřenou s Euginií Sychrovskou - obstrání péče o zatoulané psy.,
1016,1,2010-12-13,Žádost o dotaci z fondů Středočeského kraje ,15,"Zastupitelstvo obce Hostouň schválilo žádost o dotaci z Programu obnovy venkova na rok 2011 na akci Veřejný bezdrátový rozhlas obce Hostouň. Zastupitelstvo obce Hostouň se zavazuje, že obec bude tuto akci spolufinancovat v potřebné výši.",
1017,1,2010-12-13,Obecně závazná vyhláška o místních poplatcích ,16,Zastupitelstvo obce Hostouň se usneslo vydat novou obecně závaznou vyhlášku obce o místních poplatcích a jejím vydáním zrušit obecně závaznou vyhlášku obce Hostouň č. 1/2006 o místních poplatcích.,
1018,1,2010-12-13,Určení zastupitele pro zpracování a pořízení změny č. 3 územního plánu obce Hostouň,17,"Zastupitelstvo obce Hostouň rozhodlo, že určeným zastupitelem pro zpracování a pořízení změny č. 3 územního plánu obce Hostouň je pan Antonín Kejmar.",
2001,2,2011-01-17,Zahájení ,1,Zastupitelstvo obce Hostouň po projednání schvaluje program dnešního zasedání.,
2002,2,2011-01-17,Určení ověřovatelů zápisu,3,Zastupitelstvo obce Hostouň určuje ověřovateli zápisu Antonína Kejmara a Jiřího Vildu a zapisovatelem ing. Šárku Hůlovou.,
2003,2,2011-01-17,Odměny za výkon funkcí neuvolněných členů zastupitelstva - Změna nařízení vlády č. 37/2003 Sb. ,4,"Zastupitelstvo obce Hostouň v souladu s § 72 a § 84 odst. 2 písni, n) zákona č. 128/2000 Sb., o obcích (obecní zřízení) stanoví odměnu za výkon funkce neuvolněného člena zastupitelstva obce tak, jak je uvedeno v příloze č. 3 tohoto zápisu. Odměna bude poskytována od 1.1.2011 a v případě náhradníka ode dne prvního zasedání zastupitelstva, jehož se zúčastnil.",
2004,2,2011-01-17,Žádost o vyjádření k dokumentaci - Nová dřevěná pergola před hostincem ,7,"Zastupitelstvo obce Hostouň souhlasí se stavbou Nové dřevěné pergoly před hostincem Na Kyrově, Hájecká 316, Hostouň.",
2005,2,2011-01-17,Zvyšování kvality ve vzdělávání ve Středočeském kraji - výzva k překládání žádostí o finanční podporu,11,"Zastupitelstvo obce Hostouň schválilo podání žádosti o dotaci z globálního grantu Zvyšování kvality ve vzdělávání ve Středočeském kraji z operačního programu Vzdělávání pro konkurenceschopnost, prioritní osa Počáteční vzdělávání, oblast podpory Zvyšování kvality ve vzdělávání.",
3001,3,2011-02-14,Zahájení,1,Zastupitelstvo obce Hostouň po projednání schvaluje program dnešního zasedání.,
3002,3,2011-02-14,Určení ověřovatelů zápisu a zapisovatele ,4,Zastupitelstvo obce Hostouň určuje ověřovateli zápisu Antonína Kejmara a Jiřího Vildu a zapisovatelem ing. Šárku Hůlovou.,
3003,3,2011-02-14,"Základní škola Hostouň, Mateřská škola Hostouň, zápis do 1. třídy ",7,"Zastupitelstvo obce Hostouň schvaluje pronájem nebytových prostor v objektu Hájecká 330, prostory bývalé mateřské školy, paní Martině Wannerové za účelem zřízení dětského centra.",
3004,3,2011-02-14,Úprava rozpočtu ,8,"Zastupitelstvo obce Hostouň schvaluje úpravu rozpočtu na rok 2010 k 31.12.2010 tak, jak je uvedeno v příloze č. 5 tohoto zápisu.",
3005,3,2011-02-14,Logistický park Pavlov ,12,Zastupitelstvo obce Hostouň souhlasí s umístěním zemního filtru na pozemku parc.č. 2700 za účelem sekundárního dočištění splaškových vod z COV Hostouň.,
