id,name,organization:party,organization:affiliation,organization:list,
2010-532347-1-905-3,HRONÍK Ondřej Bc.,nk_party,bezpp_affiliation,905_list,
2010-532347-1-904-3,JIRAS Antonín,nk_party,bezpp_affiliation,904_list,
2010-532347-1-905-1,JURÁSKOVÁ Hana Mgr.,nk_party,bezpp_affiliation,905_list,
2010-532347-1-901-2,KEJMAR Antonín,nk_party,bezpp_affiliation,901_list,
2010-532347-1-904-1,KRÁTKÝ Martin,nk_party,bezpp_affiliation,904_list,
2010-532347-1-904-5,KUKELKA Karel,nk_party,bezpp_affiliation,904_list,
2010-532347-1-902-2,SOJKA Zdeněk,nk_party,bezpp_affiliation,902_list,
2010-532347-1-903-1,SVATOŠ Tomáš,nk_party,bezpp_affiliation,903_list,
2010-532347-1-901-1,VILDA Jiří,nk_party,bezpp_affiliation,901_list,
2010-532347-1-905-2,PETRÍK Jiří,nk_party,bezpp_affiliation,905_list,
