vote_event_id,voter_id,option,group_id,
1001,2014-532347-1-903-4,yes,nk_party,
1001,2014-532347-1-906-1,yes,nk_party,
1001,2014-532347-1-905-2,yes,nk_party,
1001,2014-532347-1-907-3,yes,nk_party,
1001,2014-532347-1-907-2,yes,nk_party,
1001,2014-532347-1-902-4,yes,nk_party,
1001,2014-532347-1-903-1,yes,nk_party,
1001,2014-532347-1-901-2,yes,nk_party,
1001,2014-532347-1-905-1,yes,nk_party,
1002,2014-532347-1-903-4,yes,nk_party,
1002,2014-532347-1-906-1,yes,nk_party,
1002,2014-532347-1-905-2,yes,nk_party,
1002,2014-532347-1-907-3,yes,nk_party,
1002,2014-532347-1-907-2,yes,nk_party,
1002,2014-532347-1-902-4,yes,nk_party,
1002,2014-532347-1-903-1,yes,nk_party,
1002,2014-532347-1-901-2,yes,nk_party,
1002,2014-532347-1-905-1,yes,nk_party,
1003,2014-532347-1-903-4,yes,nk_party,
1003,2014-532347-1-906-1,yes,nk_party,
1003,2014-532347-1-905-2,yes,nk_party,
1003,2014-532347-1-907-3,yes,nk_party,
1003,2014-532347-1-907-2,yes,nk_party,
1003,2014-532347-1-902-4,yes,nk_party,
1003,2014-532347-1-903-1,yes,nk_party,
1003,2014-532347-1-901-2,yes,nk_party,
1003,2014-532347-1-905-1,yes,nk_party,
1004,2014-532347-1-903-4,yes,nk_party,
1004,2014-532347-1-906-1,yes,nk_party,
1004,2014-532347-1-905-2,yes,nk_party,
1004,2014-532347-1-907-3,yes,nk_party,
1004,2014-532347-1-907-2,yes,nk_party,
1004,2014-532347-1-902-4,yes,nk_party,
1004,2014-532347-1-903-1,yes,nk_party,
1004,2014-532347-1-901-2,yes,nk_party,
1004,2014-532347-1-905-1,yes,nk_party,
1005,2014-532347-1-903-4,yes,nk_party,
1005,2014-532347-1-906-1,yes,nk_party,
1005,2014-532347-1-905-2,yes,nk_party,
1005,2014-532347-1-907-3,yes,nk_party,
1005,2014-532347-1-907-2,yes,nk_party,
1005,2014-532347-1-902-4,yes,nk_party,
1005,2014-532347-1-903-1,yes,nk_party,
1005,2014-532347-1-901-2,yes,nk_party,
1005,2014-532347-1-905-1,yes,nk_party,
1006,2014-532347-1-903-4,yes,nk_party,
1006,2014-532347-1-906-1,yes,nk_party,
1006,2014-532347-1-905-2,yes,nk_party,
1006,2014-532347-1-907-3,yes,nk_party,
1006,2014-532347-1-907-2,yes,nk_party,
1006,2014-532347-1-902-4,yes,nk_party,
1006,2014-532347-1-903-1,yes,nk_party,
1006,2014-532347-1-901-2,yes,nk_party,
1006,2014-532347-1-905-1,yes,nk_party,
1007,2014-532347-1-903-4,yes,nk_party,
1007,2014-532347-1-906-1,yes,nk_party,
1007,2014-532347-1-905-2,yes,nk_party,
1007,2014-532347-1-907-3,yes,nk_party,
1007,2014-532347-1-907-2,yes,nk_party,
1007,2014-532347-1-902-4,yes,nk_party,
1007,2014-532347-1-903-1,yes,nk_party,
1007,2014-532347-1-901-2,yes,nk_party,
1007,2014-532347-1-905-1,yes,nk_party,
1008,2014-532347-1-903-4,yes,nk_party,
1008,2014-532347-1-906-1,yes,nk_party,
1008,2014-532347-1-905-2,yes,nk_party,
1008,2014-532347-1-907-3,yes,nk_party,
1008,2014-532347-1-907-2,yes,nk_party,
1008,2014-532347-1-902-4,yes,nk_party,
1008,2014-532347-1-903-1,yes,nk_party,
1008,2014-532347-1-901-2,yes,nk_party,
1008,2014-532347-1-905-1,yes,nk_party,
2001,2014-532347-1-903-4,yes,nk_party,
2001,2014-532347-1-906-1,yes,nk_party,
2001,2014-532347-1-905-2,yes,nk_party,
2001,2014-532347-1-907-3,yes,nk_party,
2001,2014-532347-1-907-2,yes,nk_party,
2001,2014-532347-1-902-4,yes,nk_party,
2001,2014-532347-1-903-1,yes,nk_party,
2001,2014-532347-1-901-2,yes,nk_party,
2001,2014-532347-1-905-1,yes,nk_party,
2002,2014-532347-1-903-4,yes,nk_party,
2002,2014-532347-1-906-1,yes,nk_party,
2002,2014-532347-1-905-2,yes,nk_party,
2002,2014-532347-1-907-3,yes,nk_party,
2002,2014-532347-1-907-2,yes,nk_party,
2002,2014-532347-1-902-4,yes,nk_party,
2002,2014-532347-1-903-1,yes,nk_party,
2002,2014-532347-1-901-2,yes,nk_party,
2002,2014-532347-1-905-1,yes,nk_party,
2003,2014-532347-1-903-4,yes,nk_party,
2003,2014-532347-1-906-1,yes,nk_party,
2003,2014-532347-1-905-2,yes,nk_party,
2003,2014-532347-1-907-3,yes,nk_party,
2003,2014-532347-1-907-2,yes,nk_party,
2003,2014-532347-1-902-4,yes,nk_party,
2003,2014-532347-1-903-1,yes,nk_party,
2003,2014-532347-1-901-2,yes,nk_party,
2003,2014-532347-1-905-1,yes,nk_party,
2004,2014-532347-1-903-4,yes,nk_party,
2004,2014-532347-1-906-1,yes,nk_party,
2004,2014-532347-1-905-2,yes,nk_party,
2004,2014-532347-1-907-3,yes,nk_party,
2004,2014-532347-1-907-2,yes,nk_party,
2004,2014-532347-1-902-4,yes,nk_party,
2004,2014-532347-1-903-1,yes,nk_party,
2004,2014-532347-1-901-2,yes,nk_party,
2004,2014-532347-1-905-1,yes,nk_party,
2005,2014-532347-1-903-4,yes,nk_party,
2005,2014-532347-1-906-1,yes,nk_party,
2005,2014-532347-1-905-2,yes,nk_party,
2005,2014-532347-1-907-3,yes,nk_party,
2005,2014-532347-1-907-2,yes,nk_party,
2005,2014-532347-1-902-4,yes,nk_party,
2005,2014-532347-1-903-1,yes,nk_party,
2005,2014-532347-1-901-2,yes,nk_party,
2005,2014-532347-1-905-1,yes,nk_party,
2006,2014-532347-1-903-4,yes,nk_party,
2006,2014-532347-1-906-1,yes,nk_party,
2006,2014-532347-1-905-2,yes,nk_party,
2006,2014-532347-1-907-3,yes,nk_party,
2006,2014-532347-1-907-2,yes,nk_party,
2006,2014-532347-1-902-4,yes,nk_party,
2006,2014-532347-1-903-1,yes,nk_party,
2006,2014-532347-1-901-2,yes,nk_party,
2006,2014-532347-1-905-1,yes,nk_party,
2007,2014-532347-1-903-4,yes,nk_party,
2007,2014-532347-1-906-1,yes,nk_party,
2007,2014-532347-1-905-2,yes,nk_party,
2007,2014-532347-1-907-3,yes,nk_party,
2007,2014-532347-1-907-2,yes,nk_party,
2007,2014-532347-1-902-4,yes,nk_party,
2007,2014-532347-1-903-1,yes,nk_party,
2007,2014-532347-1-901-2,yes,nk_party,
2007,2014-532347-1-905-1,yes,nk_party,
2008,2014-532347-1-903-4,yes,nk_party,
2008,2014-532347-1-906-1,yes,nk_party,
2008,2014-532347-1-905-2,yes,nk_party,
2008,2014-532347-1-907-3,yes,nk_party,
2008,2014-532347-1-907-2,yes,nk_party,
2008,2014-532347-1-902-4,yes,nk_party,
2008,2014-532347-1-903-1,yes,nk_party,
2008,2014-532347-1-901-2,yes,nk_party,
2008,2014-532347-1-905-1,yes,nk_party,
2009,2014-532347-1-903-4,yes,nk_party,
2009,2014-532347-1-906-1,yes,nk_party,
2009,2014-532347-1-905-2,yes,nk_party,
2009,2014-532347-1-907-3,yes,nk_party,
2009,2014-532347-1-907-2,yes,nk_party,
2009,2014-532347-1-902-4,yes,nk_party,
2009,2014-532347-1-903-1,yes,nk_party,
2009,2014-532347-1-901-2,yes,nk_party,
2009,2014-532347-1-905-1,yes,nk_party,
2010,2014-532347-1-903-4,yes,nk_party,
2010,2014-532347-1-906-1,yes,nk_party,
2010,2014-532347-1-905-2,yes,nk_party,
2010,2014-532347-1-907-3,yes,nk_party,
2010,2014-532347-1-907-2,yes,nk_party,
2010,2014-532347-1-902-4,yes,nk_party,
2010,2014-532347-1-903-1,yes,nk_party,
2010,2014-532347-1-901-2,yes,nk_party,
2010,2014-532347-1-905-1,yes,nk_party,
2011,2014-532347-1-903-4,yes,nk_party,
2011,2014-532347-1-906-1,yes,nk_party,
2011,2014-532347-1-905-2,yes,nk_party,
2011,2014-532347-1-907-3,yes,nk_party,
2011,2014-532347-1-907-2,yes,nk_party,
2011,2014-532347-1-902-4,yes,nk_party,
2011,2014-532347-1-903-1,yes,nk_party,
2011,2014-532347-1-901-2,no,nk_party,
2011,2014-532347-1-905-1,yes,nk_party,
2012,2014-532347-1-903-4,no,nk_party,
2012,2014-532347-1-906-1,yes,nk_party,
2012,2014-532347-1-905-2,no,nk_party,
2012,2014-532347-1-907-3,abstain,nk_party,
2012,2014-532347-1-907-2,no,nk_party,
2012,2014-532347-1-902-4,yes,nk_party,
2012,2014-532347-1-903-1,no,nk_party,
2012,2014-532347-1-901-2,yes,nk_party,
2012,2014-532347-1-905-1,no,nk_party,
2013,2014-532347-1-903-4,yes,nk_party,
2013,2014-532347-1-906-1,yes,nk_party,
2013,2014-532347-1-905-2,yes,nk_party,
2013,2014-532347-1-907-3,yes,nk_party,
2013,2014-532347-1-907-2,yes,nk_party,
2013,2014-532347-1-902-4,yes,nk_party,
2013,2014-532347-1-903-1,yes,nk_party,
2013,2014-532347-1-901-2,yes,nk_party,
2013,2014-532347-1-905-1,yes,nk_party,
2014,2014-532347-1-903-4,yes,nk_party,
2014,2014-532347-1-906-1,yes,nk_party,
2014,2014-532347-1-905-2,yes,nk_party,
2014,2014-532347-1-907-3,yes,nk_party,
2014,2014-532347-1-907-2,yes,nk_party,
2014,2014-532347-1-902-4,yes,nk_party,
2014,2014-532347-1-903-1,yes,nk_party,
2014,2014-532347-1-901-2,yes,nk_party,
2014,2014-532347-1-905-1,yes,nk_party,
2015,2014-532347-1-903-4,yes,nk_party,
2015,2014-532347-1-906-1,yes,nk_party,
2015,2014-532347-1-905-2,yes,nk_party,
2015,2014-532347-1-907-3,yes,nk_party,
2015,2014-532347-1-907-2,yes,nk_party,
2015,2014-532347-1-902-4,yes,nk_party,
2015,2014-532347-1-903-1,yes,nk_party,
2015,2014-532347-1-901-2,yes,nk_party,
2015,2014-532347-1-905-1,yes,nk_party,
2016,2014-532347-1-903-4,yes,nk_party,
2016,2014-532347-1-906-1,yes,nk_party,
2016,2014-532347-1-905-2,yes,nk_party,
2016,2014-532347-1-907-3,yes,nk_party,
2016,2014-532347-1-907-2,yes,nk_party,
2016,2014-532347-1-902-4,yes,nk_party,
2016,2014-532347-1-903-1,yes,nk_party,
2016,2014-532347-1-901-2,yes,nk_party,
2016,2014-532347-1-905-1,yes,nk_party,
2017,2014-532347-1-903-4,yes,nk_party,
2017,2014-532347-1-906-1,yes,nk_party,
2017,2014-532347-1-905-2,yes,nk_party,
2017,2014-532347-1-907-3,yes,nk_party,
2017,2014-532347-1-907-2,yes,nk_party,
2017,2014-532347-1-902-4,yes,nk_party,
2017,2014-532347-1-903-1,yes,nk_party,
2017,2014-532347-1-901-2,yes,nk_party,
2017,2014-532347-1-905-1,yes,nk_party,
2018,2014-532347-1-903-4,yes,nk_party,
2018,2014-532347-1-906-1,yes,nk_party,
2018,2014-532347-1-905-2,yes,nk_party,
2018,2014-532347-1-907-3,yes,nk_party,
2018,2014-532347-1-907-2,yes,nk_party,
2018,2014-532347-1-902-4,yes,nk_party,
2018,2014-532347-1-903-1,yes,nk_party,
2018,2014-532347-1-901-2,yes,nk_party,
2018,2014-532347-1-905-1,yes,nk_party,
3001,2014-532347-1-903-4,yes,nk_party,
3001,2014-532347-1-906-1,yes,nk_party,
3001,2014-532347-1-905-2,yes,nk_party,
3001,2014-532347-1-907-3,yes,nk_party,
3001,2014-532347-1-907-2,yes,nk_party,
3001,2014-532347-1-902-4,yes,nk_party,
3001,2014-532347-1-903-1,yes,nk_party,
3001,2014-532347-1-901-2,yes,nk_party,
3001,2014-532347-1-905-1,yes,nk_party,
3002,2014-532347-1-903-4,yes,nk_party,
3002,2014-532347-1-906-1,yes,nk_party,
3002,2014-532347-1-905-2,yes,nk_party,
3002,2014-532347-1-907-3,yes,nk_party,
3002,2014-532347-1-907-2,yes,nk_party,
3002,2014-532347-1-902-4,yes,nk_party,
3002,2014-532347-1-903-1,yes,nk_party,
3002,2014-532347-1-901-2,yes,nk_party,
3002,2014-532347-1-905-1,yes,nk_party,
3003,2014-532347-1-903-4,yes,nk_party,
3003,2014-532347-1-906-1,yes,nk_party,
3003,2014-532347-1-905-2,yes,nk_party,
3003,2014-532347-1-907-3,yes,nk_party,
3003,2014-532347-1-907-2,yes,nk_party,
3003,2014-532347-1-902-4,yes,nk_party,
3003,2014-532347-1-903-1,yes,nk_party,
3003,2014-532347-1-901-2,yes,nk_party,
3003,2014-532347-1-905-1,yes,nk_party,
3004,2014-532347-1-903-4,yes,nk_party,
3004,2014-532347-1-906-1,yes,nk_party,
3004,2014-532347-1-905-2,yes,nk_party,
3004,2014-532347-1-907-3,yes,nk_party,
3004,2014-532347-1-907-2,yes,nk_party,
3004,2014-532347-1-902-4,yes,nk_party,
3004,2014-532347-1-903-1,yes,nk_party,
3004,2014-532347-1-901-2,yes,nk_party,
3004,2014-532347-1-905-1,yes,nk_party,
3005,2014-532347-1-903-4,yes,nk_party,
3005,2014-532347-1-906-1,yes,nk_party,
3005,2014-532347-1-905-2,yes,nk_party,
3005,2014-532347-1-907-3,yes,nk_party,
3005,2014-532347-1-907-2,yes,nk_party,
3005,2014-532347-1-902-4,yes,nk_party,
3005,2014-532347-1-903-1,yes,nk_party,
3005,2014-532347-1-901-2,yes,nk_party,
3005,2014-532347-1-905-1,yes,nk_party,
3006,2014-532347-1-903-4,yes,nk_party,
3006,2014-532347-1-906-1,yes,nk_party,
3006,2014-532347-1-905-2,yes,nk_party,
3006,2014-532347-1-907-3,yes,nk_party,
3006,2014-532347-1-907-2,yes,nk_party,
3006,2014-532347-1-902-4,yes,nk_party,
3006,2014-532347-1-903-1,yes,nk_party,
3006,2014-532347-1-901-2,yes,nk_party,
3006,2014-532347-1-905-1,yes,nk_party,
4001,2014-532347-1-903-4,yes,nk_party,
4001,2014-532347-1-906-1,absent,nk_party,
4001,2014-532347-1-905-2,yes,nk_party,
4001,2014-532347-1-907-3,yes,nk_party,
4001,2014-532347-1-907-2,yes,nk_party,
4001,2014-532347-1-902-4,yes,nk_party,
4001,2014-532347-1-903-1,yes,nk_party,
4001,2014-532347-1-901-2,yes,nk_party,
4001,2014-532347-1-905-1,yes,nk_party,
4002,2014-532347-1-903-4,yes,nk_party,
4002,2014-532347-1-906-1,absent,nk_party,
4002,2014-532347-1-905-2,yes,nk_party,
4002,2014-532347-1-907-3,yes,nk_party,
4002,2014-532347-1-907-2,yes,nk_party,
4002,2014-532347-1-902-4,yes,nk_party,
4002,2014-532347-1-903-1,yes,nk_party,
4002,2014-532347-1-901-2,yes,nk_party,
4002,2014-532347-1-905-1,yes,nk_party,
4003,2014-532347-1-903-4,yes,nk_party,
4003,2014-532347-1-906-1,absent,nk_party,
4003,2014-532347-1-905-2,yes,nk_party,
4003,2014-532347-1-907-3,yes,nk_party,
4003,2014-532347-1-907-2,yes,nk_party,
4003,2014-532347-1-902-4,yes,nk_party,
4003,2014-532347-1-903-1,yes,nk_party,
4003,2014-532347-1-901-2,yes,nk_party,
4003,2014-532347-1-905-1,yes,nk_party,
4004,2014-532347-1-903-4,yes,nk_party,
4004,2014-532347-1-906-1,absent,nk_party,
4004,2014-532347-1-905-2,yes,nk_party,
4004,2014-532347-1-907-3,yes,nk_party,
4004,2014-532347-1-907-2,yes,nk_party,
4004,2014-532347-1-902-4,yes,nk_party,
4004,2014-532347-1-903-1,yes,nk_party,
4004,2014-532347-1-901-2,yes,nk_party,
4004,2014-532347-1-905-1,yes,nk_party,
4005,2014-532347-1-903-4,yes,nk_party,
4005,2014-532347-1-906-1,absent,nk_party,
4005,2014-532347-1-905-2,yes,nk_party,
4005,2014-532347-1-907-3,yes,nk_party,
4005,2014-532347-1-907-2,yes,nk_party,
4005,2014-532347-1-902-4,yes,nk_party,
4005,2014-532347-1-903-1,yes,nk_party,
4005,2014-532347-1-901-2,yes,nk_party,
4005,2014-532347-1-905-1,yes,nk_party,
5001,2014-532347-1-903-4,yes,nk_party,
5001,2014-532347-1-906-1,yes,nk_party,
5001,2014-532347-1-905-2,yes,nk_party,
5001,2014-532347-1-907-3,yes,nk_party,
5001,2014-532347-1-907-2,yes,nk_party,
5001,2014-532347-1-902-4,yes,nk_party,
5001,2014-532347-1-903-1,yes,nk_party,
5001,2014-532347-1-901-2,yes,nk_party,
5001,2014-532347-1-905-1,yes,nk_party,
5002,2014-532347-1-903-4,yes,nk_party,
5002,2014-532347-1-906-1,yes,nk_party,
5002,2014-532347-1-905-2,yes,nk_party,
5002,2014-532347-1-907-3,yes,nk_party,
5002,2014-532347-1-907-2,yes,nk_party,
5002,2014-532347-1-902-4,yes,nk_party,
5002,2014-532347-1-903-1,yes,nk_party,
5002,2014-532347-1-901-2,yes,nk_party,
5002,2014-532347-1-905-1,yes,nk_party,
5003,2014-532347-1-903-4,yes,nk_party,
5003,2014-532347-1-906-1,yes,nk_party,
5003,2014-532347-1-905-2,yes,nk_party,
5003,2014-532347-1-907-3,yes,nk_party,
5003,2014-532347-1-907-2,yes,nk_party,
5003,2014-532347-1-902-4,yes,nk_party,
5003,2014-532347-1-903-1,yes,nk_party,
5003,2014-532347-1-901-2,yes,nk_party,
5003,2014-532347-1-905-1,yes,nk_party,
5004,2014-532347-1-903-4,yes,nk_party,
5004,2014-532347-1-906-1,yes,nk_party,
5004,2014-532347-1-905-2,yes,nk_party,
5004,2014-532347-1-907-3,yes,nk_party,
5004,2014-532347-1-907-2,yes,nk_party,
5004,2014-532347-1-902-4,yes,nk_party,
5004,2014-532347-1-903-1,yes,nk_party,
5004,2014-532347-1-901-2,yes,nk_party,
5004,2014-532347-1-905-1,yes,nk_party,
5005,2014-532347-1-903-4,yes,nk_party,
5005,2014-532347-1-906-1,yes,nk_party,
5005,2014-532347-1-905-2,yes,nk_party,
5005,2014-532347-1-907-3,yes,nk_party,
5005,2014-532347-1-907-2,yes,nk_party,
5005,2014-532347-1-902-4,yes,nk_party,
5005,2014-532347-1-903-1,yes,nk_party,
5005,2014-532347-1-901-2,yes,nk_party,
5005,2014-532347-1-905-1,yes,nk_party,
5006,2014-532347-1-903-4,yes,nk_party,
5006,2014-532347-1-906-1,yes,nk_party,
5006,2014-532347-1-905-2,yes,nk_party,
5006,2014-532347-1-907-3,yes,nk_party,
5006,2014-532347-1-907-2,yes,nk_party,
5006,2014-532347-1-902-4,yes,nk_party,
5006,2014-532347-1-903-1,yes,nk_party,
5006,2014-532347-1-901-2,yes,nk_party,
5006,2014-532347-1-905-1,yes,nk_party,
5007,2014-532347-1-903-4,yes,nk_party,
5007,2014-532347-1-906-1,yes,nk_party,
5007,2014-532347-1-905-2,yes,nk_party,
5007,2014-532347-1-907-3,yes,nk_party,
5007,2014-532347-1-907-2,yes,nk_party,
5007,2014-532347-1-902-4,yes,nk_party,
5007,2014-532347-1-903-1,yes,nk_party,
5007,2014-532347-1-901-2,yes,nk_party,
5007,2014-532347-1-905-1,yes,nk_party,
5008,2014-532347-1-903-4,yes,nk_party,
5008,2014-532347-1-906-1,yes,nk_party,
5008,2014-532347-1-905-2,yes,nk_party,
5008,2014-532347-1-907-3,yes,nk_party,
5008,2014-532347-1-907-2,yes,nk_party,
5008,2014-532347-1-902-4,yes,nk_party,
5008,2014-532347-1-903-1,yes,nk_party,
5008,2014-532347-1-901-2,yes,nk_party,
5008,2014-532347-1-905-1,yes,nk_party,
5009,2014-532347-1-903-4,yes,nk_party,
