id,classification_id,classification,name,
nk_party,party,Navrhující strana,Nezávislí kandidáti,
kscm_party,party,Navrhující strana,Komunistická strana Čech a Moravy,
vv_party,party,Navrhující strana,Věci veřejné,
usvit_party,party,Navrhující strana,Úsvit přímé demokracie,
bezpp_affiliation,affiliation,Stranická příslušnost,Bez politické příslušnosti,
vv_affiliation,affiliation,Stranická příslušnost,Věci veřejné,
902_list,list,Kandidátní listina,listina nezávislých kandidátů,
47_list,list,Kandidátní listina,Komunistická strana Čech a Moravy,
901_list,list,Kandidátní listina,listina nezávislých kandidátů,
144_list,list,Kandidátní listina,Věci veřejné,
792_list,list,Kandidátní listina,Úsvit přímé demokracie,
