id,legislative_session:number,start_date,item:title,item:number,motion:title,
1001,1,2011-12-19,Zahájení,1,"Zastupitelstvo obce Karlík určuje zapisovatelem Ing. Josefa Krátkého, ověřovateli zápisu Mgr. Pavla Červenku a paní Moniku Žitkovou.",
1002,1,2011-12-19,Zahájení,1,Zastupitelstvo schvaluje zápis z minulého zasedání.,
1003,1,2011-12-19,Zahájení,1,Zastupitelstvo obce Karlík schvaluje vypuštění bodu č. 12 z programu,
1004,1,2011-12-19,Zahájení,1,Zastupitelstvo obce Karlík schvaluje navržený program zasedání.,
1005,1,2011-12-19,"Hospodaření obce Karlík za 1 -11/2011, ekonomické informace, rozpočtové opatření č. 6/2011",5,Zastupitelstvo schvaluje rozpočtové opatření č. 6/2011 z 12.12.2011,
1006,1,2011-12-19,"Hospodaření obce Karlík za 1 -11/2011, ekonomické informace, rozpočtové opatření č. 6/2011",5,Zastupitelstvo bere bez námitek na vědomí informaci o provedené dílčí kontrole hospodaření obce.,
1007,1,2011-12-19,"Hospodaření obce Karlík za 1 -11/2011, ekonomické informace, rozpočtové opatření č. 6/2011",5,"Zastupitelstvo bere na vědomí informace o dalších sankcích za porušení rozpočtové kázně v roce 2009 za Czech Point, vč. vyměřeného penále.",
1008,1,2011-12-19,"Hospodaření obce Karlík za 1 -11/2011, ekonomické informace, rozpočtové opatření č. 6/2011",5,"Zastupitelstvo schvaluje zrušení účtu u GE MB, a.s. a převod finančních prostředků do Komerční banky a pověřuje starostku založit termínovaný vklad na volné finanční prostředky.",
1009,1,2011-12-19,Rozpočet na rok 2012,6,Zastupitelstvo schvaluje rozpočet na rok 2012 v předloženém znění.,
1010,1,2011-12-19,"Svazek obcí Region Dolní Berounka - informace o volbě předsedy, rozpočet na 2012",7,Zastupitelstvo bere bez připomínek na vědomí Rozpočet na rok 2012 svazku obcí Region Dolní Berounka.,
1011,1,2011-12-19,Svazek obcí Kalevod - rozpočet na 2012,8,Zastupitelstvo bere bez připomínek na vědomí Rozpočet na rok 2012 svazku obcí KaLeVod,
1012,1,2011-12-19,Kupní smlouva na pozemek parc. č. 585/5 v k.ú. Karlík - Křížovníci,9,"Zastupitelstvo obce Karlík schválilo podle ust. § 85 ve spojení s § 41 zákona č. 128/2000 Sb. o obcích (obecní zřízení) ve znění pozdějších předpisů nabytí pozemku parc. č. 585/5, ostatní komunikace, o výměře 120 m2 v k.ú. Karlík z vlastnictví Rytířského řádu Křížovníků s červenou hvězdou do vlastnictví obce úplatným převodem.",
