id,name,organization:party,organization:affiliation,organization:list,
2010-599727-1-901-4,Černý Jiří Ing.,nk_party,bezpp_affiliation,901_list,
2010-599727-1-902-5,Červenka Pavel Mgr.,nk_party,bezpp_affiliation,902_list,
2010-599727-1-902-6,Krátký Josef Ing.,nk_party,bezpp_affiliation,902_list,
2010-599727-1-902-1,Sommerová Marie Ing.,nk_party,bezpp_affiliation,902_list,
2010-599727-1-902-3,Šimek Jan,nk_party,bezpp_affiliation,902_list,
2010-599727-1-902-2,Šorm Martin MBA,nk_party,bezpp_affiliation,902_list,
2010-599727-1-901-2,Tesner Tomáš Dipl. ek.,nk_party,bezpp_affiliation,901_list,
2010-599727-1-901-1,Tláskal Jan,nk_party,bezpp_affiliation,901_list,
2010-599727-1-901-6,Žitková Monika,nk_party,bezpp_affiliation,901_list,
2010-599727-1-902-7,Barchánek František,nk_party,bezpp_affiliation,902_list,
