id,legislative_session:number,start_date,item:title,item:number,motion:title,
1001,1,2012-11-05,Projednání zápisu o provedené kontrole kontrolním výborem,9,ZO bere na vědomí zápis kontrolního výboru ze dne 18. 10. 2012.,
1002,1,2012-11-05,Doplnění jednacího řádu v článku 4 bodu,10,Pracovní materiály na zasedání ZO budou nadále posílány e-mailem. V případě obsáhlejšího materiálu budou zastupitelům doručovány osobně.,
2001,2,2012-12-17,"Obecně závazn á vyhláška č. 1/2012 o místním poplatku za provoz systému shromažďování, sběru, přepravy , třídění, využívání a odstraňování komunálníc h odpadů",8,ZO bere na vědomí důvodovou zprávu,
3001,3,2013-06-17,Zahájení a schválení programu,1,Program zasedání: schválen,
3002,3,2013-06-17,Schválení zápisu z 15. zasedání ZO konaného dne 18. 3. 2013,3,ZO schvaluje zápis z 18. 3. 2013,
3003,3,2013-06-17,"Schválení závěrečného účtu obce Kopřivná za rok 2012, včetně zprávy o výsledku přezkumu hospodařen í obce Kopřivná za rok 2012",4,ZO bere na vědomí důvodovou zprávu,
3004,3,2013-06-17,Schválení účetní závěrky obce Kopřivná za rok 2012,5,ZO bere na vědomí důvodovou zprávu k účetní závěrce obce Kopřivná za rok 2012,
3005,3,2013-06-17,Rozpočtové opatření č. 1/2013,6,ZO bere na vědomí důvodovou zprávu k rozpočtovému opatření č. 1/2013,
4001,4,2013-09-30,Hlasování o zrušení schůze pro porušení zákona,0,Hlasování neschváleno 3 hlasy,
4002,4,2013-09-30,Zahájení a schválení programu,1,Hlasování: schváleno 3 hlasy,
4003,4,2013-09-30,Schválení zápisu z 16. zasedání ZO konaného dne 17. 6. 2013,3,ZO schvaluje zápis z 17.6.2013,
4004,4,2013-09-30,Kontrola plnění usnesení,4,ZO bere na vědomí kontrolu plnění usnesení,
4005,4,2013-09-30,Rozpočtové opatření č.2/2013 a 3/2013,5,ZO bere na vědomí důvodou zprávu i rozpočtové opatření č. 1/2013 a 3/201,
4006,4,2013-09-30,Rozpočtové opatření č. 4/2013,6,ZO schvaluje rozpočtové opatření č. 4/2013 i důvodovou zprávu,
4007,4,2013-09-30,Volba přísedícího soudu,7,ZO volí za přísedícího soudu paní Jindřišku Košíkovou,
