vote_event_id,voter_id,option,group_id,
1001,2010-566047-1-901-1,absent,nk_party,
1001,2010-566047-1-901-3,yes,nk_party,
1001,2010-566047-1-902-1,absent,nk_party,
1001,2010-566047-1-901-2,absent,nk_party,
1001,2010-566047-1-902-2,yes,nk_party,
1001,2010-566047-1-902-6,yes,nk_party,
1001,2010-566047-1-903-3,yes,nk_party,
1002,2010-566047-1-901-1,absent,nk_party,
1002,2010-566047-1-901-3,yes,nk_party,
1002,2010-566047-1-902-1,absent,nk_party,
1002,2010-566047-1-901-2,absent,nk_party,
1002,2010-566047-1-902-2,yes,nk_party,
1002,2010-566047-1-902-6,yes,nk_party,
1002,2010-566047-1-903-3,yes,nk_party,
1003,2010-566047-1-901-1,absent,nk_party,
1003,2010-566047-1-901-3,yes,nk_party,
1003,2010-566047-1-902-1,absent,nk_party,
1003,2010-566047-1-901-2,absent,nk_party,
1003,2010-566047-1-902-2,yes,nk_party,
1003,2010-566047-1-902-6,yes,nk_party,
1003,2010-566047-1-903-3,yes,nk_party,
1004,2010-566047-1-901-1,absent,nk_party,
1004,2010-566047-1-901-3,yes,nk_party,
1004,2010-566047-1-902-1,absent,nk_party,
1004,2010-566047-1-901-2,absent,nk_party,
1004,2010-566047-1-902-2,yes,nk_party,
1004,2010-566047-1-902-6,yes,nk_party,
1004,2010-566047-1-903-3,yes,nk_party,
1005,2010-566047-1-901-1,absent,nk_party,
1005,2010-566047-1-901-3,abstain,nk_party,
1005,2010-566047-1-902-1,absent,nk_party,
1005,2010-566047-1-901-2,absent,nk_party,
1005,2010-566047-1-902-2,yes,nk_party,
1005,2010-566047-1-902-6,yes,nk_party,
1005,2010-566047-1-903-3,yes,nk_party,
1006,2010-566047-1-901-1,absent,nk_party,
1006,2010-566047-1-901-3,yes,nk_party,
1006,2010-566047-1-902-1,absent,nk_party,
1006,2010-566047-1-901-2,absent,nk_party,
1006,2010-566047-1-902-2,yes,nk_party,
1006,2010-566047-1-902-6,yes,nk_party,
1006,2010-566047-1-903-3,yes,nk_party,
2001,2010-566047-1-901-1,yes,nk_party,
2001,2010-566047-1-901-3,yes,nk_party,
2001,2010-566047-1-902-1,yes,nk_party,
2001,2010-566047-1-901-2,yes,nk_party,
2001,2010-566047-1-902-2,yes,nk_party,
2001,2010-566047-1-902-6,yes,nk_party,
2001,2010-566047-1-903-3,yes,nk_party,
2002,2010-566047-1-901-1,yes,nk_party,
2002,2010-566047-1-901-3,yes,nk_party,
2002,2010-566047-1-902-1,yes,nk_party,
2002,2010-566047-1-901-2,yes,nk_party,
2002,2010-566047-1-902-2,yes,nk_party,
2002,2010-566047-1-902-6,yes,nk_party,
2002,2010-566047-1-903-3,yes,nk_party,
2003,2010-566047-1-901-1,yes,nk_party,
2003,2010-566047-1-901-3,yes,nk_party,
2003,2010-566047-1-902-1,yes,nk_party,
2003,2010-566047-1-901-2,yes,nk_party,
2003,2010-566047-1-902-2,yes,nk_party,
2003,2010-566047-1-902-6,yes,nk_party,
2003,2010-566047-1-903-3,yes,nk_party,
2004,2010-566047-1-901-1,yes,nk_party,
2004,2010-566047-1-901-3,yes,nk_party,
2004,2010-566047-1-902-1,yes,nk_party,
2004,2010-566047-1-901-2,abstain,nk_party,
2004,2010-566047-1-902-2,yes,nk_party,
2004,2010-566047-1-902-6,yes,nk_party,
2004,2010-566047-1-903-3,yes,nk_party,
2005,2010-566047-1-901-1,yes,nk_party,
2005,2010-566047-1-901-3,yes,nk_party,
2005,2010-566047-1-902-1,yes,nk_party,
2005,2010-566047-1-901-2,yes,nk_party,
2005,2010-566047-1-902-2,yes,nk_party,
2005,2010-566047-1-902-6,yes,nk_party,
2005,2010-566047-1-903-3,yes,nk_party,
2006,2010-566047-1-901-1,no,nk_party,
2006,2010-566047-1-901-3,no,nk_party,
2006,2010-566047-1-902-1,abstain,nk_party,
2006,2010-566047-1-901-2,no,nk_party,
2006,2010-566047-1-902-2,abstain,nk_party,
2006,2010-566047-1-902-6,abstain,nk_party,
2006,2010-566047-1-903-3,yes,nk_party,
3001,2010-566047-1-901-1,yes,nk_party,
3001,2010-566047-1-901-3,yes,nk_party,
3001,2010-566047-1-902-1,yes,nk_party,
3001,2010-566047-1-901-2,yes,nk_party,
3001,2010-566047-1-902-2,yes,nk_party,
3001,2010-566047-1-902-6,yes,nk_party,
3001,2010-566047-1-903-3,yes,nk_party,
3002,2010-566047-1-901-1,yes,nk_party,
3002,2010-566047-1-901-3,abstain,nk_party,
3002,2010-566047-1-902-1,yes,nk_party,
3002,2010-566047-1-901-2,yes,nk_party,
3002,2010-566047-1-902-2,yes,nk_party,
3002,2010-566047-1-902-6,abstain,nk_party,
3002,2010-566047-1-903-3,yes,nk_party,
3003,2010-566047-1-901-1,no,nk_party,
3003,2010-566047-1-901-3,no,nk_party,
3003,2010-566047-1-902-1,yes,nk_party,
3003,2010-566047-1-901-2,no,nk_party,
3003,2010-566047-1-902-2,yes,nk_party,
3003,2010-566047-1-902-6,yes,nk_party,
3003,2010-566047-1-903-3,yes,nk_party,
3004,2010-566047-1-901-1,yes,nk_party,
3004,2010-566047-1-901-3,yes,nk_party,
3004,2010-566047-1-902-1,yes,nk_party,
3004,2010-566047-1-901-2,yes,nk_party,
3004,2010-566047-1-902-2,yes,nk_party,
3004,2010-566047-1-902-6,yes,nk_party,
3004,2010-566047-1-903-3,yes,nk_party,
3005,2010-566047-1-901-1,yes,nk_party,
3005,2010-566047-1-901-3,abstain,nk_party,
