id,classification_id,classification,name,
ods_party,party,Navrhující strana,Občanská demokratická strana,
cssd_party,party,Navrhující strana,Česká strana sociálně demokratická,
top-09_party,party,Navrhující strana,TOP 09,
vv_party,party,Navrhující strana,Věci veřejné,
sz_party,party,Navrhující strana,Strana zelených,
kscm_party,party,Navrhující strana,Komunistická strana Čech a Moravy,
bezpp_affiliation,affiliation,Stranická příslušnost,Bez politické příslušnosti,
top-09_affiliation,affiliation,Stranická příslušnost,TOP 09,
ods_affiliation,affiliation,Stranická příslušnost,Občanská demokratická strana,
vv_affiliation,affiliation,Stranická příslušnost,Věci veřejné,
sz_affiliation,affiliation,Stranická příslušnost,Strana zelených,
kscm_affiliation,affiliation,Stranická příslušnost,Komunistická strana Čech a Moravy,
cssd_affiliation,affiliation,Stranická příslušnost,Česká strana sociálně demokratická,
53_list,list,Kandidátní listina,Občanská demokratická strana,
7_list,list,Kandidátní listina,Česká strana sociálně demokratická,
721_list,list,Kandidátní listina,TOP 09,
144_list,list,Kandidátní listina,Věci veřejné,
303_list,list,Kandidátní listina,"Koalice KDU-ČSL, SZ",
47_list,list,Kandidátní listina,Komunistická strana Čech a Moravy,
