id,name,organization:party,organization:affiliation,organization:list,
2010-570826-1-53-6,Baboráková Věra,ods_party,bezpp_affiliation,53_list,
2010-570826-1-7-9,Horák Ladislav doc.MUDr. DrSc.,cssd_party,bezpp_affiliation,7_list,
2010-570826-1-721-6,Jánský Petr Ing.,top-09_party,bezpp_affiliation,721_list,
2010-570826-1-721-1,Kropáček Martin Ing.,top-09_party,top-09_affiliation,721_list,
2010-570826-1-53-10,Křížková Jana,ods_party,bezpp_affiliation,53_list,
2010-570826-1-53-2,Kurka Jiří Ing.,ods_party,ods_affiliation,53_list,
2010-570826-1-721-2,Masarčík Eduard PharmDr.,top-09_party,bezpp_affiliation,721_list,
2010-570826-1-144-1,Odnoha David,vv_party,vv_affiliation,144_list,
2010-570826-1-7-2,Pekařová Markéta Mgr.,cssd_party,bezpp_affiliation,7_list,
2010-570826-1-303-1,Petříček Václav RNDr.,sz_party,sz_affiliation,303_list,
2010-570826-1-53-1,Procházková Zdeňka Mgr.,ods_party,bezpp_affiliation,53_list,
2010-570826-1-144-2,Rybín Jiří,vv_party,bezpp_affiliation,144_list,
2010-570826-1-53-4,Rys Josef,ods_party,bezpp_affiliation,53_list,
2010-570826-1-53-3,Řezáčová Marcela Ing.,ods_party,ods_affiliation,53_list,
2010-570826-1-47-1,Svárovský Josef,kscm_party,kscm_affiliation,47_list,
2010-570826-1-7-3,Štěpánek Miroslav,cssd_party,cssd_affiliation,7_list,
2010-570826-1-7-1,Vaněk Miroslav,cssd_party,cssd_affiliation,7_list,
2010-570826-1-721-3,Honc František,top-09_party,top-09_affiliation,721_list,
2010-570826-1-53-5,Müller Jiří Ing.,ods_party,bezpp_affiliation,53_list,
2010-570826-1-721-4,Macoun Martin,top-09_party,top-09_affiliation,721_list,
2010-570826-1-53-8,Kadlecová Jitka Ing.,ods_party,bezpp_affiliation,53_list,
2010-570826-1-53-9,Fišer Vladimír,ods_party,bezpp_affiliation,53_list,
