id,legislative_session:number,start_date,item:title,item:number,motion:title,
1001,1,2014-11-24,Určení zapisovatele a ověřovatelů zápisu,3,Zastupitelstvo obce určuje zapisovatelem zápisu p. Hanu Pískovou a ověřovateli zápisu p. Romana Nováka a p.Zděnka Fengla.,
1002,1,2014-11-24,Schválení programu,4,Zastupitelstvo obce schvaluje program ustavujícího zasedání tak jak je uveden na pozvánce,
1003,1,2014-11-24,Volba starosty a místostarosty,5,"Zastupitelstvo obce v souladu s § 84 odst.2 písm. k) zákona o obcích určuje, že pro výkon funkce starosty obce bude člen zastupitelstva dlouhodobě uvolněn.",
1004,1,2014-11-24,Volba starosty a místostarosty,5,Zastupitelstvo obce určuje přímou volbu starosty a místostarosty,
1005,1,2014-11-24,Volba starosty a místostarosty,5,Zastupitelstvo obce volí místostarostou obce Krabčice pana Davida Michala.,
1006,1,2014-11-24,Volba starosty a místostarosty,5,Zastupitelstvo obce volí starostou obce Krabčice pana Jiřího Šimáčka,
1007,1,2014-11-24,Zřízení finančního a kontrolního výboru,6,Zastupitelstvo obce zřizuje finanční a kontrolní výbor. Oba výbory budou tříčlenné.,
1008,1,2014-11-24,Zřízení finančního a kontrolního výboru,6,Zastupitelstvo obce volí předsedou kontrolního výboru pana Zděnka Fengla.,
1009,1,2014-11-24,Zřízení finančního a kontrolního výboru,6,Zastupitelstvo obce volí předsedou finančního výboru pana Jiřího Fengla.,
1010,1,2014-11-24,Zřízení finančního a kontrolního výboru,6,Zastupitelstvo obce volí členy kontrolního výboru pana Romana Nováka a pana Jiřího Fengla st.,
1011,1,2014-11-24,Zřízení finančního a kontrolního výboru,6,Zastupitelstvo obce volí členy finančního výboru paní Neschnerovou Janu a paní Mgr. Janu Doležalovou,
1012,1,2014-11-24,Rozhodnutí o odměnách za výkon funkcí neuvolněných členů zastupitelstva,7,"Zastupitelstvo obce v souladu s § 72 a § 84 odst.2 písm. n) zákona o obcích stanoví odměnu neuvolněného člena zastupitelstva obce ve výši 400,- Kč měsíčně. Odměna bude poskytována ode dne 01.12.2014 a v případě náhradníka  ode dne prvního zasedání zastupitelstva.",
1013,1,2014-11-24,Rozhodnutí o odměnách za výkon funkcí neuvolněných členů zastupitelstva,7,"Zastupitelstvo obce v souladu s § 72 a § 84 odst.2 písm. n) zákona o obcích stanoví odměnu za výkon funkce místostarosty jako neuvolněného člena zastupitelstva obce ve výši 13.000,- Kč měsíčně. Odměna bude poskytována ode dne 01.12.2014.",
1014,1,2014-11-24,Rozhodnutí o odměnách za výkon funkcí neuvolněných členů zastupitelstva,7,"Zastupitelstvo obce v souladu s § 72 a § 84 odst.2 písm. n) zákona o obcích stanoví odměnu za výkon funkce předsedy výboru, či komisí zastupitelstva ve výši 900,- Kč měsíčně a člena výboru, nebo komisí ve výši 400,- Kč. Odměna bude poskytována ode dne 01.12.2014.",
1015,1,2014-11-24,Rozhodnutí o odměnách za výkon funkcí neuvolněných členů zastupitelstva,7,"Zastupitelstvo obce v souladu s § 72 odst.3 písm. b) zákona o obcích stanoví, že v případě souběhu výkonu dvou, či více funkcí se odměna neuvolněnému členovi  zastupitelstva obce poskytne jako součet zastupitelstvem stanovených odměn za jednotlivé funkce.",
2001,2,2015-03-16,Určení zapisovatele a ověřovatelů zápisu,2,Zastupitelstvo obce určuje zapisovatelem zápisu p. Zdeňka Fengla  a ověřovateli zápisu p. Ing. Olgu Pětníkovou  a p. Romana Nováka,
2002,2,2015-03-16,Schválení programu,3,Zastupitelstvo obce schvaluje program zasedání tak jak je uveden na pozvánce,
2003,2,2015-03-16,Schválení závěrečného účtu a účetní závěrky obce za rok 2014,4,ZO schvaluje závěrečný účet bez výhrad a účetní závěrku obce za rok 2014,
2004,2,2015-03-16,Schválení účetní závěrky obce PO ZŠ a MŠ TGM v Krabčicích,4,"ZO schvaluje účetní závěrku  příspěvkové organizace ZŠ a MŠ  TGM v Krabčicích a souhlasí s pokrytím plánované ztráty 70790,64 Kč z rezervního fondu.",
2005,2,2015-03-16,Schválení rozpočtového opatření č.1/2015,5,ZO schvaluje rozpočtové opatření č. 1/2015,
2006,2,2015-03-16,Schválení podání žádostí o dotace v roce 2015,6,"ZO bere na vědomí a souhlasí s vypracováním a podáním žádosti o dotaci na akci „obnova venkovních herních v areálu MŠ v Krabčicích, v rámci programu „Podpora obnovy a rozvoje venkova“. Akce je zaměřena na vybudování a obnovu dětského hřiště v MŠ Krabčicích.",
2007,2,2015-03-16,Schválení podání žádostí o dotace v roce 2015,6,"ZO bere na vědomí a souhlasí s vypracováním a podáním žádosti o dotaci na akci „zateplení domu“ v budově Rovném , v rámci programu  „OP Životní prostředí“. Akce je zaměřena na výměnu stávajících oken a zateplení  budovy OÚ.",
2008,2,2015-03-16,Schválení podání žádostí o dotace v roce 2015,6,"ZO bere na vědomí a souhlasí s vypracováním projektu a případným  podáním žádosti o dotaci na akci „oprava chodníků  podél silnice II/246 “ v  Krabčicích , v rámci možných vypsaných výzev . Akce je zaměřena na opravu chodníků podél silnice II/246, včetně nového přechodu pro chodce u ZŠ.",
2009,2,2015-03-16,Schválení navýšení počtu dětí v ZŠ TGM v,7,ZO schvaluje navýšení kapacity ZŠ TG Masaryka v Krabčicích z 54 na,
2010,2,2015-03-16,Různé,8,ZO bere na vědomí nutnost zabezpečit stravování pro žáky ZŠ a pověřuje starostu zajištěním nejvýhodnější varianty o které bude ZO informovat na dalším zasedání.,
