id,name,organization:party,organization:affiliation,organization:list,
2014-565067-1-901-4,Fengl Jiří,nk_party,bezpp_affiliation,901_list,
2014-565067-1-901-1,Fengl Zdeněk,nk_party,bezpp_affiliation,901_list,
2014-565067-1-902-9,Líbalová Marcela Mgr.,nk_party,bezpp_affiliation,902_list,
2014-565067-1-902-2,Michal David,nk_party,bezpp_affiliation,902_list,
2014-565067-1-903-5,Novák Roman,nk_party,bezpp_affiliation,903_list,
2014-565067-1-903-1,Pětníková Olga Ing.,nk_party,bezpp_affiliation,903_list,
2014-565067-1-902-1,Šimáček Jiří,nk_party,bezpp_affiliation,902_list,
2014-565067-1-904-1,Štrupl Jiří,nk_party,bezpp_affiliation,904_list,
2014-565067-1-905-1,Tachecí Josef Ing.,nk_party,bezpp_affiliation,905_list,
2014-565067-1-902-5,Doležalová Jana Mgr.,nk_party,bezpp_affiliation,902_list,
