vote_event_id,voter_id,option,group_id,
1001,2014-565067-1-901-4,yes,nk_party,
1001,2014-565067-1-901-1,yes,nk_party,
1001,2014-565067-1-902-9,yes,nk_party,
1001,2014-565067-1-902-2,yes,nk_party,
1001,2014-565067-1-903-5,yes,nk_party,
1001,2014-565067-1-903-1,yes,nk_party,
1001,2014-565067-1-902-1,yes,nk_party,
1001,2014-565067-1-904-1,yes,nk_party,
1001,2014-565067-1-905-1,absent,nk_party,
1001,2014-565067-1-902-5,abstain,nk_party,
1002,2014-565067-1-901-4,yes,nk_party,
1002,2014-565067-1-901-1,yes,nk_party,
1002,2014-565067-1-902-9,yes,nk_party,
1002,2014-565067-1-902-2,yes,nk_party,
1002,2014-565067-1-903-5,yes,nk_party,
1002,2014-565067-1-903-1,yes,nk_party,
1002,2014-565067-1-902-1,yes,nk_party,
1002,2014-565067-1-904-1,yes,nk_party,
1002,2014-565067-1-905-1,absent,nk_party,
1002,2014-565067-1-902-5,abstain,nk_party,
1003,2014-565067-1-901-4,yes,nk_party,
1003,2014-565067-1-901-1,yes,nk_party,
1003,2014-565067-1-902-9,yes,nk_party,
1003,2014-565067-1-902-2,yes,nk_party,
1003,2014-565067-1-903-5,yes,nk_party,
1003,2014-565067-1-903-1,yes,nk_party,
1003,2014-565067-1-902-1,yes,nk_party,
1003,2014-565067-1-904-1,yes,nk_party,
1003,2014-565067-1-905-1,absent,nk_party,
1003,2014-565067-1-902-5,abstain,nk_party,
1004,2014-565067-1-901-4,yes,nk_party,
1004,2014-565067-1-901-1,yes,nk_party,
1004,2014-565067-1-902-9,yes,nk_party,
1004,2014-565067-1-902-2,yes,nk_party,
1004,2014-565067-1-903-5,yes,nk_party,
1004,2014-565067-1-903-1,yes,nk_party,
1004,2014-565067-1-902-1,yes,nk_party,
1004,2014-565067-1-904-1,yes,nk_party,
1004,2014-565067-1-905-1,absent,nk_party,
1004,2014-565067-1-902-5,abstain,nk_party,
1005,2014-565067-1-901-4,yes,nk_party,
1005,2014-565067-1-901-1,yes,nk_party,
1005,2014-565067-1-902-9,yes,nk_party,
1005,2014-565067-1-902-2,abstain,nk_party,
1005,2014-565067-1-903-5,yes,nk_party,
1005,2014-565067-1-903-1,yes,nk_party,
1005,2014-565067-1-902-1,yes,nk_party,
1005,2014-565067-1-904-1,abstain,nk_party,
1005,2014-565067-1-905-1,absent,nk_party,
1005,2014-565067-1-902-5,abstain,nk_party,
1006,2014-565067-1-901-4,yes,nk_party,
1006,2014-565067-1-901-1,yes,nk_party,
1006,2014-565067-1-902-9,yes,nk_party,
1006,2014-565067-1-902-2,yes,nk_party,
1006,2014-565067-1-903-5,yes,nk_party,
1006,2014-565067-1-903-1,yes,nk_party,
1006,2014-565067-1-902-1,abstain,nk_party,
1006,2014-565067-1-904-1,abstain,nk_party,
1006,2014-565067-1-905-1,absent,nk_party,
1006,2014-565067-1-902-5,abstain,nk_party,
1007,2014-565067-1-901-4,yes,nk_party,
1007,2014-565067-1-901-1,yes,nk_party,
1007,2014-565067-1-902-9,yes,nk_party,
1007,2014-565067-1-902-2,yes,nk_party,
1007,2014-565067-1-903-5,yes,nk_party,
1007,2014-565067-1-903-1,yes,nk_party,
1007,2014-565067-1-902-1,yes,nk_party,
1007,2014-565067-1-904-1,yes,nk_party,
1007,2014-565067-1-905-1,absent,nk_party,
1007,2014-565067-1-902-5,abstain,nk_party,
1008,2014-565067-1-901-4,yes,nk_party,
1008,2014-565067-1-901-1,abstain,nk_party,
1008,2014-565067-1-902-9,yes,nk_party,
1008,2014-565067-1-902-2,yes,nk_party,
1008,2014-565067-1-903-5,yes,nk_party,
1008,2014-565067-1-903-1,yes,nk_party,
1008,2014-565067-1-902-1,yes,nk_party,
1008,2014-565067-1-904-1,yes,nk_party,
1008,2014-565067-1-905-1,absent,nk_party,
1008,2014-565067-1-902-5,abstain,nk_party,
1009,2014-565067-1-901-4,abstain,nk_party,
1009,2014-565067-1-901-1,yes,nk_party,
1009,2014-565067-1-902-9,yes,nk_party,
1009,2014-565067-1-902-2,yes,nk_party,
1009,2014-565067-1-903-5,yes,nk_party,
1009,2014-565067-1-903-1,yes,nk_party,
1009,2014-565067-1-902-1,yes,nk_party,
1009,2014-565067-1-904-1,yes,nk_party,
1009,2014-565067-1-905-1,absent,nk_party,
1009,2014-565067-1-902-5,abstain,nk_party,
1010,2014-565067-1-901-4,yes,nk_party,
1010,2014-565067-1-901-1,yes,nk_party,
1010,2014-565067-1-902-9,yes,nk_party,
1010,2014-565067-1-902-2,yes,nk_party,
1010,2014-565067-1-903-5,abstain,nk_party,
1010,2014-565067-1-903-1,yes,nk_party,
1010,2014-565067-1-902-1,yes,nk_party,
1010,2014-565067-1-904-1,yes,nk_party,
1010,2014-565067-1-905-1,absent,nk_party,
1010,2014-565067-1-902-5,abstain,nk_party,
1011,2014-565067-1-901-4,yes,nk_party,
1011,2014-565067-1-901-1,yes,nk_party,
1011,2014-565067-1-902-9,yes,nk_party,
1011,2014-565067-1-902-2,yes,nk_party,
1011,2014-565067-1-903-5,yes,nk_party,
1011,2014-565067-1-903-1,yes,nk_party,
1011,2014-565067-1-902-1,yes,nk_party,
1011,2014-565067-1-904-1,abstain,nk_party,
1011,2014-565067-1-905-1,absent,nk_party,
1011,2014-565067-1-902-5,abstain,nk_party,
1012,2014-565067-1-901-4,yes,nk_party,
1012,2014-565067-1-901-1,yes,nk_party,
1012,2014-565067-1-902-9,yes,nk_party,
1012,2014-565067-1-902-2,yes,nk_party,
1012,2014-565067-1-903-5,yes,nk_party,
1012,2014-565067-1-903-1,yes,nk_party,
1012,2014-565067-1-902-1,yes,nk_party,
1012,2014-565067-1-904-1,abstain,nk_party,
1012,2014-565067-1-905-1,absent,nk_party,
1012,2014-565067-1-902-5,abstain,nk_party,
1013,2014-565067-1-901-4,yes,nk_party,
1013,2014-565067-1-901-1,yes,nk_party,
1013,2014-565067-1-902-9,yes,nk_party,
1013,2014-565067-1-902-2,yes,nk_party,
1013,2014-565067-1-903-5,yes,nk_party,
1013,2014-565067-1-903-1,yes,nk_party,
1013,2014-565067-1-902-1,yes,nk_party,
1013,2014-565067-1-904-1,abstain,nk_party,
1013,2014-565067-1-905-1,absent,nk_party,
1013,2014-565067-1-902-5,abstain,nk_party,
1014,2014-565067-1-901-4,yes,nk_party,
1014,2014-565067-1-901-1,yes,nk_party,
1014,2014-565067-1-902-9,yes,nk_party,
1014,2014-565067-1-902-2,yes,nk_party,
1014,2014-565067-1-903-5,yes,nk_party,
1014,2014-565067-1-903-1,yes,nk_party,
1014,2014-565067-1-902-1,yes,nk_party,
1014,2014-565067-1-904-1,abstain,nk_party,
1014,2014-565067-1-905-1,absent,nk_party,
1014,2014-565067-1-902-5,abstain,nk_party,
1015,2014-565067-1-901-4,yes,nk_party,
1015,2014-565067-1-901-1,yes,nk_party,
1015,2014-565067-1-902-9,yes,nk_party,
1015,2014-565067-1-902-2,yes,nk_party,
1015,2014-565067-1-903-5,yes,nk_party,
1015,2014-565067-1-903-1,yes,nk_party,
1015,2014-565067-1-902-1,yes,nk_party,
1015,2014-565067-1-904-1,abstain,nk_party,
1015,2014-565067-1-905-1,absent,nk_party,
1015,2014-565067-1-902-5,abstain,nk_party,
2001,2014-565067-1-901-4,yes,nk_party,
2001,2014-565067-1-901-1,yes,nk_party,
2001,2014-565067-1-902-9,yes,nk_party,
2001,2014-565067-1-902-2,absent,nk_party,
2001,2014-565067-1-903-5,yes,nk_party,
2001,2014-565067-1-903-1,yes,nk_party,
2001,2014-565067-1-902-1,yes,nk_party,
2001,2014-565067-1-904-1,absent,nk_party,
2001,2014-565067-1-905-1,absent,nk_party,
2001,2014-565067-1-902-5,abstain,nk_party,
2002,2014-565067-1-901-4,yes,nk_party,
2002,2014-565067-1-901-1,yes,nk_party,
2002,2014-565067-1-902-9,yes,nk_party,
2002,2014-565067-1-902-2,absent,nk_party,
2002,2014-565067-1-903-5,yes,nk_party,
2002,2014-565067-1-903-1,yes,nk_party,
