id,legislative_session:number,start_date,item:title,item:number,motion:title,
1001,1,2010-12-06,Určení ověřovatelů a zapisovatele,0,Zastupitelstvo obce Libá určuje ověřovatele zápisu Josefa Mádleho a Bohumila Štíchu a zapisovatele Karla Hallu,
1002,1,2010-12-06,program,0,hlasování o programu,
1003,1,2010-12-06,Zřízení finančního a kontrolního výboru,2,Zastupitelstvo obce Libá zřizuje finanční výbor a kontrolní výbor. Oba výbory budou tříčlenné,
2001,2,2010-12-20,program,2,hlasování o programu,
2002,2,2010-12-20,Volba místostarosty,3,"Zastupitelstvo obce Libá schvaluje, že volba místostarosty bude probíhat veřejně",
2003,2,2010-12-20,Zřízení finančního výboru,4,"Zastupitelstvo obce Libá schvaluje, že finanční výbor bude tříčlenný",
2004,2,2010-12-20,Zřízení finančního výboru,4,Zastupitelstvo obce Libá volí předsedkyní finančního výboru Janu Najmanovou,
2005,2,2010-12-20,Zřízení finančního výboru,4,Zastupitelstvo obce Libá volí člena finančního výboru L. Danylecovou,
2006,2,2010-12-20,Rozpočtové provizorium na rok 2011,5,Zastupitelstvo obce Libá schvaluje návrh rozpočtového provizoria na rok 2011,
2007,2,2010-12-20,Zimní údržba obce Libá,6,"Zastupitelstvo obce Libá hlasuje o dohodě vypracovat smlouvu s podmínkami, které budou předloženy zájemcům o provádění zimní údržby obce Libá",
2008,2,2010-12-20,Rozpočtová opatření,8,"Zastupitelstvo obce Libá schvaluje rozpočtové opatření za měsíc září, říjen, listopad roku 2010 a umožňuje starostovi obce schválit případnou rozpočtovou změnu za měsíc prosinec roku 2010 v měsíci lednu roku 2011",
3001,3,2011-02-02,Volba ověřovatelů zápisu z 3. zasedání ZO Libá,2,"Zastupitelstvo obce Libá schvaluje, že ověřovateli zápisu 3. zasedání ZO Libá budou p. Mádle a p. Štícha.",
3002,3,2011-02-02,program,3,hlasování o programu,
3003,3,2011-02-02,Odměna za výkon funkce – místostarosty,9,"Zastupitelstvo obce hlasuje, že funkce neuvolněného místostarosty nebude placená",
3004,3,2011-02-02,"Územní plán, volba formy projednání (veřejná – jednotlivě na OÚ Libá",10,"Zastupitelstvo obce Libá hlasuje, že územní plán bude v termínu, který bude stanoven a vyvěšen, předkládán zájemcům k nahlédnutí na OÚ Libá.",
4001,4,2011-02-28,program,2,hlasování o programu,
4002,4,2011-02-28,Volba ověřovatelů zápisu ze 4. zasedání ZO Libá,3,ZO Libá hlasuje o ověřovateli zápisu 4. zasedání ZO Libá p. B. Štíchovi,
4003,4,2011-02-28,Volba ověřovatelů zápisu ze 4. zasedání ZO Libá,3,"ZO Libá hlasuje, aby druhým ověřovatelem zápisu 4. zasedání ZO Libá byla p. Marie Siraková",
4004,4,2011-02-28,Volba náhradního člena kontrolního výboru za p. Cigáňovou,4,ZO Libá hlasuje o novém členu kontrolního výboru p. Radce Müllerové,
4005,4,2011-02-28,Schválení záměru prodeje 5m2 p. Turkové pod přístavbou domu,5,"ZO Libá hlasuje o schválení záměru prodeje 5 m2 ze st. p.č. 74/1 k.ú. Libá, majetek obce Libá na základě ţádosti p. Zdeňky Turkové",
4006,4,2011-02-28,Schválení výše příspěvku ČSŢ o.s. Libá,6,"ZO Libá hlasuje o schválení příspěvku obce Libá ČSŢ o.s. ve výši 27 100,-Kč na provoz v roce 2011.",
4007,4,2011-02-28,Schválení výše příspěvku ZŠ a MŠ Libá,9,"ZO Libá hlasuje o schválení příspěvku na provoz Základní škole a mateřské škole Libá na rok 2011 ve výši 438 000,-Kč.",
4008,4,2011-02-28,Spor obce Libá s ELČI s.r.o.,14,ZO Libá hlasuje o schválení příspěvku mladým hasičům.,
5001,5,2011-04-07,volba ověřovatelů zápisu,2,ZO Libá hlasuje aby ověřovateli zápisu 5. zasedání ZO Libá byli zastupitelé B. Štícha a M. Siraková.,
5002,5,2011-04-07,program,3,hlasování o programu,
5003,5,2011-04-07,projednání prodeje p.p. č. 74/1 k.ú.Libá,5,"ZO Libá schvaluje prodej 5 m2 vydělením z p.p. č. 74/1 k.ú. Libá, majetek obce Libá, žadatelce p. Turkové za celkovou částku 250,-Kč, geometrický plán a zápis v katastru nemovitostí je nákladem žadatele",
5004,5,2011-04-07,zadání studií studentům v rámci Workshopu 4 s tématem „Hrady v Krajině“,6,"ZO Libá hlasuje, aby studentům v rámci chystaného Workshopu 4 s tématem „Hrady v krajině“ bylo studentům zadáno zabývat se studií náměstí v Libé, studií přístupové cesty k hradu, přístupové cesty k sportovnímu areálu a k části obce v okolí základní školy.",
5005,5,2011-04-07,schválení plánu práce kontrolního a finančního výboru,7,ZO Libá schvaluje přednesené plány kontrol finančního a kontrolního výboru.,
5006,5,2011-04-07,schválení rozpočtu obce Libá pro rok 2011,8,ZO Libá schvaluje rozpočet obce Libá pro rok 2011 do kapitol,
5007,5,2011-04-07,projednání záměru vybudovat v obci Libá a přilehlých částech bezdrátový rozhlas.,9,"ZO Libá schvaluje záměr vybudovat v obci Libé, části Hůrka a Sorkov bezdrátový rozhlas a přihlášení do dotační výzvy",
5008,5,2011-04-07,stížnost občanů na provoz nákladních vozidel,10,"ZO Libá pověřuje starostu obce, aby zajistil schůzku s představiteli kamenolomu v Libé",
5009,5,2011-04-07,projednání přístavby hasičské zbrojnice,11,"ZO Libá hlasuje o schválení příspěvku na přístavbu požární zbrojnice ve výši 50.000,-Kč",
5010,5,2011-04-07,projednání přístavby hasičské zbrojnice,11,"ZO Libá opětovně hlasuje o schválení příspěvku na přístavbu požární zbrojnice ve výši do 50.000,-Kč s přesným dokladováním, jak se peníze obce využijí",
6001,6,2011-05-18,volba ověřovatelů zápisu,2,"ZO Libá hlasuje, aby ověřovateli zápisu 6. zasedání ZO Libá byla M. Sirakova a B. Štícha.",
6002,6,2011-05-18,program,3,hlasování o programu,
6003,6,2011-05-18,Projednání systému letní údržby obce – sekání trávy.,5,"ZO Libá schvaluje, aby obec Libá zakoupila odpovídající techniku a letní údržbu obce zabezpečila svými vlastními prostředky",
6004,6,2011-05-18,Projednání poptávky na dopravní turistické značení,6,"ZO Libá schvaluje záměr poptat výrobce dopravního turistického značení, jak bylo naplánováno v rámci projektu Zurčící Chebsko – řeka bez hranic.",
6005,6,2011-05-18,Projednání dokončení vodovodu na Hůrce,7,"ZO Libá hlasuje, aby dokončení vodovodní přípojky na Hůrce provedla firma Elči v rámci své cenové nabídky",
6006,6,2011-05-18,Projednání žádosti spol. Renovum k objektu bývalé roty PS na Dubině,8,ZO Libá schvaluje záměr projednat podmínky případného zkrácení zástavní smlouvy na objekt a areál bývalé roty PS na Dubině.,
6007,6,2011-05-18,Projednání záměru prodeje části p.p. 2231/1 k.ú. Libá,10,ZO Libá hlasuje o záměru prodat část p.p. 2231/1 k.ú. Libá.,
6008,6,2011-05-18,Projednání záměru prodeje p.p. č. 471/1 k.ú. Libá,12,ZO Libá hlasuje o záměru prodat p.p. 471/1 k.ú. Libá,
