id,name,organization:party,organization:affiliation,organization:list,
2010-554618-1-7-4,Cigáňová Jarmila,cssd_party,bezpp_affiliation,7_list,
2010-554618-1-901-3,Halla Karel Mgr.,nk_party,bezpp_affiliation,901_list,
2010-554618-1-901-4,Kühn Jakub,nk_party,bezpp_affiliation,901_list,
2010-554618-1-7-3,Mádle Josef,cssd_party,bezpp_affiliation,7_list,
2010-554618-1-901-2,Najmanová Jana Ing. Bc.,nk_party,bezpp_affiliation,901_list,
2010-554618-1-7-2,Sirakova Marie Mgr.,cssd_party,bezpp_affiliation,7_list,
2010-554618-1-901-5,Štícha Bohumil,nk_party,bezpp_affiliation,901_list,
2010-554618-1-7-1,Švec Lubomír,cssd_party,bezpp_affiliation,7_list,
2010-554618-1-901-1,Vondrášek Miloš Bc.,nk_party,bezpp_affiliation,901_list,
2010-554618-1-7-5,Magerstein René,cssd_party,bezpp_affiliation,7_list,
2010-554618-1-901-6,Semotánová Olga,nk_party,bezpp_affiliation,901_list,
2010-554618-1-7-6,Petrovka Radek,cssd_party,bezpp_affiliation,7_list,
2010-554618-1-901-7,Schmierler Erich,nk_party,bezpp_affiliation,901_list,
