vote_event_id,voter_id,option,group_id,
1001,2010-554618-1-7-4,yes,cssd_party,
1001,2010-554618-1-901-3,yes,nk_party,
1001,2010-554618-1-901-4,yes,nk_party,
1001,2010-554618-1-7-3,yes,cssd_party,
1001,2010-554618-1-901-2,yes,nk_party,
1001,2010-554618-1-7-2,yes,cssd_party,
1001,2010-554618-1-901-5,yes,nk_party,
1001,2010-554618-1-7-1,yes,cssd_party,
1001,2010-554618-1-901-1,yes,nk_party,
1001,2010-554618-1-7-5,abstain,cssd_party,
1001,2010-554618-1-901-6,abstain,nk_party,
1001,2010-554618-1-7-6,abstain,cssd_party,
1001,2010-554618-1-901-7,abstain,nk_party,
1002,2010-554618-1-7-4,yes,cssd_party,
1002,2010-554618-1-901-3,yes,nk_party,
1002,2010-554618-1-901-4,yes,nk_party,
1002,2010-554618-1-7-3,yes,cssd_party,
1002,2010-554618-1-901-2,yes,nk_party,
1002,2010-554618-1-7-2,yes,cssd_party,
1002,2010-554618-1-901-5,yes,nk_party,
1002,2010-554618-1-7-1,yes,cssd_party,
1002,2010-554618-1-901-1,yes,nk_party,
1002,2010-554618-1-7-5,abstain,cssd_party,
1002,2010-554618-1-901-6,abstain,nk_party,
1002,2010-554618-1-7-6,abstain,cssd_party,
1002,2010-554618-1-901-7,abstain,nk_party,
1003,2010-554618-1-7-4,yes,cssd_party,
1003,2010-554618-1-901-3,yes,nk_party,
1003,2010-554618-1-901-4,yes,nk_party,
1003,2010-554618-1-7-3,yes,cssd_party,
1003,2010-554618-1-901-2,yes,nk_party,
1003,2010-554618-1-7-2,yes,cssd_party,
1003,2010-554618-1-901-5,yes,nk_party,
1003,2010-554618-1-7-1,yes,cssd_party,
1003,2010-554618-1-901-1,yes,nk_party,
1003,2010-554618-1-7-5,abstain,cssd_party,
1003,2010-554618-1-901-6,abstain,nk_party,
1003,2010-554618-1-7-6,abstain,cssd_party,
1003,2010-554618-1-901-7,abstain,nk_party,
2001,2010-554618-1-7-4,yes,cssd_party,
2001,2010-554618-1-901-3,yes,nk_party,
2001,2010-554618-1-901-4,yes,nk_party,
2001,2010-554618-1-7-3,yes,cssd_party,
2001,2010-554618-1-901-2,yes,nk_party,
2001,2010-554618-1-7-2,yes,cssd_party,
2001,2010-554618-1-901-5,yes,nk_party,
2001,2010-554618-1-7-1,yes,cssd_party,
2001,2010-554618-1-901-1,yes,nk_party,
2001,2010-554618-1-7-5,abstain,cssd_party,
2001,2010-554618-1-901-6,abstain,nk_party,
2001,2010-554618-1-7-6,abstain,cssd_party,
2001,2010-554618-1-901-7,abstain,nk_party,
2002,2010-554618-1-7-4,yes,cssd_party,
2002,2010-554618-1-901-3,yes,nk_party,
2002,2010-554618-1-901-4,yes,nk_party,
2002,2010-554618-1-7-3,yes,cssd_party,
2002,2010-554618-1-901-2,yes,nk_party,
2002,2010-554618-1-7-2,yes,cssd_party,
2002,2010-554618-1-901-5,yes,nk_party,
2002,2010-554618-1-7-1,yes,cssd_party,
2002,2010-554618-1-901-1,yes,nk_party,
2002,2010-554618-1-7-5,abstain,cssd_party,
2002,2010-554618-1-901-6,abstain,nk_party,
2002,2010-554618-1-7-6,abstain,cssd_party,
2002,2010-554618-1-901-7,abstain,nk_party,
2003,2010-554618-1-7-4,yes,cssd_party,
2003,2010-554618-1-901-3,yes,nk_party,
2003,2010-554618-1-901-4,yes,nk_party,
2003,2010-554618-1-7-3,yes,cssd_party,
2003,2010-554618-1-901-2,yes,nk_party,
2003,2010-554618-1-7-2,yes,cssd_party,
2003,2010-554618-1-901-5,yes,nk_party,
2003,2010-554618-1-7-1,yes,cssd_party,
2003,2010-554618-1-901-1,yes,nk_party,
2003,2010-554618-1-7-5,abstain,cssd_party,
2003,2010-554618-1-901-6,abstain,nk_party,
2003,2010-554618-1-7-6,abstain,cssd_party,
2003,2010-554618-1-901-7,abstain,nk_party,
2004,2010-554618-1-7-4,yes,cssd_party,
2004,2010-554618-1-901-3,yes,nk_party,
2004,2010-554618-1-901-4,yes,nk_party,
2004,2010-554618-1-7-3,yes,cssd_party,
2004,2010-554618-1-901-2,yes,nk_party,
2004,2010-554618-1-7-2,yes,cssd_party,
2004,2010-554618-1-901-5,yes,nk_party,
2004,2010-554618-1-7-1,yes,cssd_party,
2004,2010-554618-1-901-1,yes,nk_party,
2004,2010-554618-1-7-5,abstain,cssd_party,
2004,2010-554618-1-901-6,abstain,nk_party,
2004,2010-554618-1-7-6,abstain,cssd_party,
2004,2010-554618-1-901-7,abstain,nk_party,
2005,2010-554618-1-7-4,yes,cssd_party,
2005,2010-554618-1-901-3,yes,nk_party,
2005,2010-554618-1-901-4,yes,nk_party,
2005,2010-554618-1-7-3,yes,cssd_party,
2005,2010-554618-1-901-2,yes,nk_party,
2005,2010-554618-1-7-2,yes,cssd_party,
2005,2010-554618-1-901-5,yes,nk_party,
2005,2010-554618-1-7-1,yes,cssd_party,
2005,2010-554618-1-901-1,yes,nk_party,
2005,2010-554618-1-7-5,abstain,cssd_party,
2005,2010-554618-1-901-6,abstain,nk_party,
2005,2010-554618-1-7-6,abstain,cssd_party,
2005,2010-554618-1-901-7,abstain,nk_party,
2006,2010-554618-1-7-4,yes,cssd_party,
2006,2010-554618-1-901-3,yes,nk_party,
2006,2010-554618-1-901-4,yes,nk_party,
2006,2010-554618-1-7-3,yes,cssd_party,
2006,2010-554618-1-901-2,yes,nk_party,
2006,2010-554618-1-7-2,yes,cssd_party,
2006,2010-554618-1-901-5,yes,nk_party,
2006,2010-554618-1-7-1,yes,cssd_party,
2006,2010-554618-1-901-1,yes,nk_party,
2006,2010-554618-1-7-5,abstain,cssd_party,
2006,2010-554618-1-901-6,abstain,nk_party,
2006,2010-554618-1-7-6,abstain,cssd_party,
2006,2010-554618-1-901-7,abstain,nk_party,
2007,2010-554618-1-7-4,yes,cssd_party,
2007,2010-554618-1-901-3,yes,nk_party,
2007,2010-554618-1-901-4,yes,nk_party,
2007,2010-554618-1-7-3,yes,cssd_party,
2007,2010-554618-1-901-2,yes,nk_party,
2007,2010-554618-1-7-2,yes,cssd_party,
2007,2010-554618-1-901-5,yes,nk_party,
2007,2010-554618-1-7-1,yes,cssd_party,
2007,2010-554618-1-901-1,yes,nk_party,
2007,2010-554618-1-7-5,abstain,cssd_party,
2007,2010-554618-1-901-6,abstain,nk_party,
2007,2010-554618-1-7-6,abstain,cssd_party,
2007,2010-554618-1-901-7,abstain,nk_party,
2008,2010-554618-1-7-4,yes,cssd_party,
2008,2010-554618-1-901-3,yes,nk_party,
2008,2010-554618-1-901-4,yes,nk_party,
2008,2010-554618-1-7-3,yes,cssd_party,
2008,2010-554618-1-901-2,yes,nk_party,
2008,2010-554618-1-7-2,yes,cssd_party,
2008,2010-554618-1-901-5,yes,nk_party,
2008,2010-554618-1-7-1,yes,cssd_party,
2008,2010-554618-1-901-1,yes,nk_party,
2008,2010-554618-1-7-5,abstain,cssd_party,
2008,2010-554618-1-901-6,abstain,nk_party,
2008,2010-554618-1-7-6,abstain,cssd_party,
2008,2010-554618-1-901-7,abstain,nk_party,
3001,2010-554618-1-7-4,yes,cssd_party,
3001,2010-554618-1-901-3,yes,nk_party,
3001,2010-554618-1-901-4,yes,nk_party,
3001,2010-554618-1-7-3,yes,cssd_party,
3001,2010-554618-1-901-2,absent,nk_party,
3001,2010-554618-1-7-2,yes,cssd_party,
3001,2010-554618-1-901-5,yes,nk_party,
3001,2010-554618-1-7-1,yes,cssd_party,
3001,2010-554618-1-901-1,yes,nk_party,
3001,2010-554618-1-7-5,abstain,cssd_party,
3001,2010-554618-1-901-6,abstain,nk_party,
3001,2010-554618-1-7-6,abstain,cssd_party,
3001,2010-554618-1-901-7,abstain,nk_party,
3002,2010-554618-1-7-4,yes,cssd_party,
3002,2010-554618-1-901-3,yes,nk_party,
3002,2010-554618-1-901-4,yes,nk_party,
3002,2010-554618-1-7-3,yes,cssd_party,
3002,2010-554618-1-901-2,absent,nk_party,
3002,2010-554618-1-7-2,yes,cssd_party,
3002,2010-554618-1-901-5,yes,nk_party,
3002,2010-554618-1-7-1,yes,cssd_party,
3002,2010-554618-1-901-1,yes,nk_party,
3002,2010-554618-1-7-5,abstain,cssd_party,
3002,2010-554618-1-901-6,abstain,nk_party,
3002,2010-554618-1-7-6,abstain,cssd_party,
3002,2010-554618-1-901-7,abstain,nk_party,
3003,2010-554618-1-7-4,abstain,cssd_party,
3003,2010-554618-1-901-3,yes,nk_party,
3003,2010-554618-1-901-4,yes,nk_party,
3003,2010-554618-1-7-3,yes,cssd_party,
3003,2010-554618-1-901-2,absent,nk_party,
3003,2010-554618-1-7-2,yes,cssd_party,
3003,2010-554618-1-901-5,yes,nk_party,
3003,2010-554618-1-7-1,yes,cssd_party,
3003,2010-554618-1-901-1,yes,nk_party,
3003,2010-554618-1-7-5,yes,cssd_party,
3003,2010-554618-1-901-6,abstain,nk_party,
3003,2010-554618-1-7-6,abstain,cssd_party,
3003,2010-554618-1-901-7,abstain,nk_party,
3004,2010-554618-1-7-4,abstain,cssd_party,
3004,2010-554618-1-901-3,yes,nk_party,
3004,2010-554618-1-901-4,yes,nk_party,
3004,2010-554618-1-7-3,yes,cssd_party,
3004,2010-554618-1-901-2,absent,nk_party,
3004,2010-554618-1-7-2,yes,cssd_party,
3004,2010-554618-1-901-5,yes,nk_party,
3004,2010-554618-1-7-1,yes,cssd_party,
3004,2010-554618-1-901-1,yes,nk_party,
3004,2010-554618-1-7-5,yes,cssd_party,
3004,2010-554618-1-901-6,abstain,nk_party,
3004,2010-554618-1-7-6,abstain,cssd_party,
3004,2010-554618-1-901-7,abstain,nk_party,
4001,2010-554618-1-7-4,abstain,cssd_party,
4001,2010-554618-1-901-3,yes,nk_party,
4001,2010-554618-1-901-4,yes,nk_party,
4001,2010-554618-1-7-3,yes,cssd_party,
4001,2010-554618-1-901-2,yes,nk_party,
4001,2010-554618-1-7-2,yes,cssd_party,
4001,2010-554618-1-901-5,yes,nk_party,
4001,2010-554618-1-7-1,yes,cssd_party,
4001,2010-554618-1-901-1,yes,nk_party,
4001,2010-554618-1-7-5,yes,cssd_party,
4001,2010-554618-1-901-6,abstain,nk_party,
4001,2010-554618-1-7-6,abstain,cssd_party,
4001,2010-554618-1-901-7,abstain,nk_party,
4002,2010-554618-1-7-4,abstain,cssd_party,
4002,2010-554618-1-901-3,yes,nk_party,
4002,2010-554618-1-901-4,yes,nk_party,
4002,2010-554618-1-7-3,yes,cssd_party,
4002,2010-554618-1-901-2,yes,nk_party,
4002,2010-554618-1-7-2,yes,cssd_party,
4002,2010-554618-1-901-5,yes,nk_party,
4002,2010-554618-1-7-1,yes,cssd_party,
4002,2010-554618-1-901-1,yes,nk_party,
4002,2010-554618-1-7-5,yes,cssd_party,
4002,2010-554618-1-901-6,abstain,nk_party,
4002,2010-554618-1-7-6,abstain,cssd_party,
4002,2010-554618-1-901-7,abstain,nk_party,
4003,2010-554618-1-7-4,abstain,cssd_party,
4003,2010-554618-1-901-3,yes,nk_party,
4003,2010-554618-1-901-4,yes,nk_party,
4003,2010-554618-1-7-3,yes,cssd_party,
4003,2010-554618-1-901-2,yes,nk_party,
4003,2010-554618-1-7-2,yes,cssd_party,
4003,2010-554618-1-901-5,yes,nk_party,
4003,2010-554618-1-7-1,yes,cssd_party,
4003,2010-554618-1-901-1,yes,nk_party,
4003,2010-554618-1-7-5,yes,cssd_party,
4003,2010-554618-1-901-6,abstain,nk_party,
4003,2010-554618-1-7-6,abstain,cssd_party,
4003,2010-554618-1-901-7,abstain,nk_party,
4004,2010-554618-1-7-4,abstain,cssd_party,
4004,2010-554618-1-901-3,yes,nk_party,
4004,2010-554618-1-901-4,yes,nk_party,
4004,2010-554618-1-7-3,yes,cssd_party,
4004,2010-554618-1-901-2,yes,nk_party,
4004,2010-554618-1-7-2,yes,cssd_party,
4004,2010-554618-1-901-5,yes,nk_party,
4004,2010-554618-1-7-1,yes,cssd_party,
4004,2010-554618-1-901-1,yes,nk_party,
4004,2010-554618-1-7-5,yes,cssd_party,
4004,2010-554618-1-901-6,abstain,nk_party,
4004,2010-554618-1-7-6,abstain,cssd_party,
4004,2010-554618-1-901-7,abstain,nk_party,
4005,2010-554618-1-7-4,abstain,cssd_party,
4005,2010-554618-1-901-3,yes,nk_party,
4005,2010-554618-1-901-4,yes,nk_party,
4005,2010-554618-1-7-3,yes,cssd_party,
4005,2010-554618-1-901-2,yes,nk_party,
4005,2010-554618-1-7-2,yes,cssd_party,
4005,2010-554618-1-901-5,yes,nk_party,
4005,2010-554618-1-7-1,yes,cssd_party,
4005,2010-554618-1-901-1,yes,nk_party,
4005,2010-554618-1-7-5,yes,cssd_party,
4005,2010-554618-1-901-6,abstain,nk_party,
4005,2010-554618-1-7-6,abstain,cssd_party,
4005,2010-554618-1-901-7,abstain,nk_party,
4006,2010-554618-1-7-4,abstain,cssd_party,
4006,2010-554618-1-901-3,yes,nk_party,
4006,2010-554618-1-901-4,yes,nk_party,
4006,2010-554618-1-7-3,yes,cssd_party,
4006,2010-554618-1-901-2,yes,nk_party,
4006,2010-554618-1-7-2,yes,cssd_party,
4006,2010-554618-1-901-5,yes,nk_party,
4006,2010-554618-1-7-1,yes,cssd_party,
4006,2010-554618-1-901-1,yes,nk_party,
4006,2010-554618-1-7-5,yes,cssd_party,
4006,2010-554618-1-901-6,abstain,nk_party,
4006,2010-554618-1-7-6,abstain,cssd_party,
4006,2010-554618-1-901-7,abstain,nk_party,
4007,2010-554618-1-7-4,abstain,cssd_party,
4007,2010-554618-1-901-3,yes,nk_party,
4007,2010-554618-1-901-4,yes,nk_party,
4007,2010-554618-1-7-3,yes,cssd_party,
4007,2010-554618-1-901-2,yes,nk_party,
4007,2010-554618-1-7-2,yes,cssd_party,
4007,2010-554618-1-901-5,yes,nk_party,
4007,2010-554618-1-7-1,yes,cssd_party,
4007,2010-554618-1-901-1,yes,nk_party,
4007,2010-554618-1-7-5,yes,cssd_party,
4007,2010-554618-1-901-6,abstain,nk_party,
4007,2010-554618-1-7-6,abstain,cssd_party,
4007,2010-554618-1-901-7,abstain,nk_party,
4008,2010-554618-1-7-4,abstain,cssd_party,
4008,2010-554618-1-901-3,yes,nk_party,
4008,2010-554618-1-901-4,yes,nk_party,
4008,2010-554618-1-7-3,yes,cssd_party,
4008,2010-554618-1-901-2,yes,nk_party,
4008,2010-554618-1-7-2,yes,cssd_party,
4008,2010-554618-1-901-5,yes,nk_party,
4008,2010-554618-1-7-1,yes,cssd_party,
4008,2010-554618-1-901-1,yes,nk_party,
4008,2010-554618-1-7-5,yes,cssd_party,
4008,2010-554618-1-901-6,abstain,nk_party,
4008,2010-554618-1-7-6,abstain,cssd_party,
4008,2010-554618-1-901-7,abstain,nk_party,
5001,2010-554618-1-7-4,abstain,cssd_party,
5001,2010-554618-1-901-3,yes,nk_party,
5001,2010-554618-1-901-4,yes,nk_party,
5001,2010-554618-1-7-3,no,cssd_party,
5001,2010-554618-1-901-2,yes,nk_party,
5001,2010-554618-1-7-2,yes,cssd_party,
5001,2010-554618-1-901-5,yes,nk_party,
5001,2010-554618-1-7-1,absent,cssd_party,
5001,2010-554618-1-901-1,yes,nk_party,
5001,2010-554618-1-7-5,yes,cssd_party,
5001,2010-554618-1-901-6,abstain,nk_party,
5001,2010-554618-1-7-6,abstain,cssd_party,
5001,2010-554618-1-901-7,abstain,nk_party,
5002,2010-554618-1-7-4,abstain,cssd_party,
5002,2010-554618-1-901-3,yes,nk_party,
5002,2010-554618-1-901-4,yes,nk_party,
5002,2010-554618-1-7-3,no,cssd_party,
5002,2010-554618-1-901-2,yes,nk_party,
5002,2010-554618-1-7-2,yes,cssd_party,
5002,2010-554618-1-901-5,yes,nk_party,
5002,2010-554618-1-7-1,absent,cssd_party,
5002,2010-554618-1-901-1,yes,nk_party,
5002,2010-554618-1-7-5,yes,cssd_party,
5002,2010-554618-1-901-6,abstain,nk_party,
5002,2010-554618-1-7-6,abstain,cssd_party,
5002,2010-554618-1-901-7,abstain,nk_party,
5003,2010-554618-1-7-4,abstain,cssd_party,
5003,2010-554618-1-901-3,yes,nk_party,
5003,2010-554618-1-901-4,yes,nk_party,
5003,2010-554618-1-7-3,yes,cssd_party,
5003,2010-554618-1-901-2,yes,nk_party,
5003,2010-554618-1-7-2,yes,cssd_party,
5003,2010-554618-1-901-5,yes,nk_party,
5003,2010-554618-1-7-1,absent,cssd_party,
5003,2010-554618-1-901-1,yes,nk_party,
5003,2010-554618-1-7-5,yes,cssd_party,
5003,2010-554618-1-901-6,abstain,nk_party,
5003,2010-554618-1-7-6,abstain,cssd_party,
5003,2010-554618-1-901-7,abstain,nk_party,
5004,2010-554618-1-7-4,abstain,cssd_party,
5004,2010-554618-1-901-3,yes,nk_party,
5004,2010-554618-1-901-4,yes,nk_party,
5004,2010-554618-1-7-3,yes,cssd_party,
5004,2010-554618-1-901-2,yes,nk_party,
5004,2010-554618-1-7-2,yes,cssd_party,
5004,2010-554618-1-901-5,yes,nk_party,
5004,2010-554618-1-7-1,absent,cssd_party,
5004,2010-554618-1-901-1,yes,nk_party,
5004,2010-554618-1-7-5,yes,cssd_party,
5004,2010-554618-1-901-6,abstain,nk_party,
5004,2010-554618-1-7-6,abstain,cssd_party,
5004,2010-554618-1-901-7,abstain,nk_party,
5005,2010-554618-1-7-4,abstain,cssd_party,
5005,2010-554618-1-901-3,yes,nk_party,
5005,2010-554618-1-901-4,yes,nk_party,
5005,2010-554618-1-7-3,yes,cssd_party,
5005,2010-554618-1-901-2,yes,nk_party,
5005,2010-554618-1-7-2,yes,cssd_party,
5005,2010-554618-1-901-5,yes,nk_party,
5005,2010-554618-1-7-1,absent,cssd_party,
5005,2010-554618-1-901-1,yes,nk_party,
5005,2010-554618-1-7-5,yes,cssd_party,
5005,2010-554618-1-901-6,abstain,nk_party,
5005,2010-554618-1-7-6,abstain,cssd_party,
5005,2010-554618-1-901-7,abstain,nk_party,
5006,2010-554618-1-7-4,abstain,cssd_party,
5006,2010-554618-1-901-3,yes,nk_party,
5006,2010-554618-1-901-4,yes,nk_party,
5006,2010-554618-1-7-3,yes,cssd_party,
5006,2010-554618-1-901-2,yes,nk_party,
5006,2010-554618-1-7-2,yes,cssd_party,
5006,2010-554618-1-901-5,yes,nk_party,
5006,2010-554618-1-7-1,absent,cssd_party,
5006,2010-554618-1-901-1,yes,nk_party,
5006,2010-554618-1-7-5,yes,cssd_party,
5006,2010-554618-1-901-6,abstain,nk_party,
5006,2010-554618-1-7-6,abstain,cssd_party,
5006,2010-554618-1-901-7,abstain,nk_party,
5007,2010-554618-1-7-4,abstain,cssd_party,
5007,2010-554618-1-901-3,yes,nk_party,
5007,2010-554618-1-901-4,yes,nk_party,
5007,2010-554618-1-7-3,yes,cssd_party,
5007,2010-554618-1-901-2,yes,nk_party,
5007,2010-554618-1-7-2,yes,cssd_party,
5007,2010-554618-1-901-5,yes,nk_party,
5007,2010-554618-1-7-1,absent,cssd_party,
5007,2010-554618-1-901-1,yes,nk_party,
5007,2010-554618-1-7-5,yes,cssd_party,
5007,2010-554618-1-901-6,abstain,nk_party,
5007,2010-554618-1-7-6,abstain,cssd_party,
5007,2010-554618-1-901-7,abstain,nk_party,
5008,2010-554618-1-7-4,abstain,cssd_party,
5008,2010-554618-1-901-3,yes,nk_party,
5008,2010-554618-1-901-4,yes,nk_party,
5008,2010-554618-1-7-3,yes,cssd_party,
5008,2010-554618-1-901-2,yes,nk_party,
5008,2010-554618-1-7-2,yes,cssd_party,
5008,2010-554618-1-901-5,yes,nk_party,
5008,2010-554618-1-7-1,absent,cssd_party,
5008,2010-554618-1-901-1,yes,nk_party,
5008,2010-554618-1-7-5,yes,cssd_party,
5008,2010-554618-1-901-6,abstain,nk_party,
5008,2010-554618-1-7-6,abstain,cssd_party,
5008,2010-554618-1-901-7,abstain,nk_party,
5009,2010-554618-1-7-4,abstain,cssd_party,
5009,2010-554618-1-901-3,no,nk_party,
5009,2010-554618-1-901-4,no,nk_party,
5009,2010-554618-1-7-3,yes,cssd_party,
5009,2010-554618-1-901-2,no,nk_party,
5009,2010-554618-1-7-2,yes,cssd_party,
5009,2010-554618-1-901-5,no,nk_party,
5009,2010-554618-1-7-1,absent,cssd_party,
5009,2010-554618-1-901-1,yes,nk_party,
5009,2010-554618-1-7-5,yes,cssd_party,
5009,2010-554618-1-901-6,abstain,nk_party,
5009,2010-554618-1-7-6,abstain,cssd_party,
5009,2010-554618-1-901-7,abstain,nk_party,
5010,2010-554618-1-7-4,abstain,cssd_party,
5010,2010-554618-1-901-3,yes,nk_party,
5010,2010-554618-1-901-4,abstain,nk_party,
5010,2010-554618-1-7-3,yes,cssd_party,
5010,2010-554618-1-901-2,yes,nk_party,
5010,2010-554618-1-7-2,yes,cssd_party,
5010,2010-554618-1-901-5,abstain,nk_party,
5010,2010-554618-1-7-1,absent,cssd_party,
5010,2010-554618-1-901-1,yes,nk_party,
5010,2010-554618-1-7-5,yes,cssd_party,
5010,2010-554618-1-901-6,abstain,nk_party,
5010,2010-554618-1-7-6,abstain,cssd_party,
5010,2010-554618-1-901-7,abstain,nk_party,
6001,2010-554618-1-7-4,abstain,cssd_party,
6001,2010-554618-1-901-3,yes,nk_party,
6001,2010-554618-1-901-4,yes,nk_party,
